timestamp,status,latency_ms,budget,tool_name,regime
1773973950.759032,success,159.34,100,web_fetch,steady
1773973950.789991,success,8.85,100,calculate,steady
1773973950.866124,success,187.49,100,web_fetch,steady
1773973950.912853,success,836.97,100,mock_heavy,bursty
1773973950.914413,success,279.60,100,web_fetch,periodic
1773973950.943697,success,142.50,100,calculate,steady
1773973950.975750,success,125.42,100,calculate,steady
1773973951.036401,success,1040.37,100,mock_heavy,bursty
1773973951.038440,success,1145.79,100,mock_heavy,bursty
1773973951.054166,success,1224.44,100,mock_heavy,bursty
1773973951.055234,success,1021.54,100,web_fetch,bursty
1773973951.101174,success,1450.44,100,mock_heavy,periodic
1773973951.131410,error,3.43,100,calculate,periodic
1773973951.133012,error,4.29,100,calculate,periodic
1773973951.194553,rejected,1.24,100,mock_heavy,periodic
1773973951.223029,rejected,2.10,100,mock_heavy,periodic
1773973951.253791,rejected,1.62,100,mock_heavy,periodic
1773973951.299855,success,884.38,100,web_fetch,bursty
1773973951.300855,success,914.84,100,calculate,bursty
1773973951.301923,rejected,1.15,100,mock_heavy,periodic
1773973951.361587,success,946.91,100,calculate,bursty
1773973951.408463,rejected,5.69,100,mock_heavy,periodic
1773973951.410651,error,5.08,100,web_fetch,periodic
1773973951.412410,error,3.87,100,calculate,periodic
1773973951.439491,error,1.69,100,calculate,periodic
1773973951.517815,rejected,2.18,100,mock_heavy,periodic
1773973951.564327,success,975.95,100,web_fetch,periodic
1773973951.565665,error,2.20,100,calculate,periodic
1773973951.611089,error,2.30,100,calculate,periodic
1773973951.612261,error,1.69,100,calculate,periodic
1773973951.641943,rejected,1.73,100,mock_heavy,bursty
1773973951.703602,rejected,3.44,100,calculate,bursty
1773973951.704605,rejected,2.44,100,mock_heavy,bursty
1773973951.706059,rejected,2.83,100,web_fetch,bursty
1773973951.827733,rejected,2.67,100,web_fetch,bursty
1773973951.829305,rejected,1.10,100,mock_heavy,bursty
1773973951.936101,rejected,1.67,100,web_fetch,bursty
1773973951.983314,rejected,1.67,100,web_fetch,bursty
1773973952.044918,rejected,2.17,100,mock_heavy,bursty
1773973952.106219,rejected,0.70,100,web_fetch,bursty
1773973952.167984,rejected,2.55,100,web_fetch,bursty
1773973952.169375,rejected,2.14,100,mock_heavy,bursty
1773973952.170533,rejected,2.27,100,web_fetch,bursty
1773973952.171520,rejected,2.43,100,mock_heavy,bursty
1773973952.172807,rejected,1.69,100,calculate,bursty
1773973952.262609,rejected,1.15,100,mock_heavy,bursty
1773973952.337887,rejected,2.72,100,web_fetch,bursty
1773973952.339435,rejected,2.19,100,calculate,bursty
1773973952.340032,rejected,2.73,100,mock_heavy,bursty
1773973952.341658,rejected,1.26,100,web_fetch,bursty
1773973952.431111,rejected,1.64,100,mock_heavy,periodic
1773973952.508336,success,217.91,100,web_fetch,periodic
1773973952.551618,rejected,0.99,100,mock_heavy,periodic
1773973952.602011,rejected,1.62,100,mock_heavy,periodic
1773973952.633654,success,829.45,100,mock_heavy,bursty
1773973952.679715,success,275.52,100,web_fetch,periodic
1773973952.802129,success,954.51,100,mock_heavy,periodic
1773973952.833248,success,369.37,100,web_fetch,bursty
1773973952.833847,success,615.86,100,web_fetch,bursty
1773973952.878400,success,1203.91,100,mock_heavy,periodic
1773973952.879401,success,644.76,100,calculate,bursty
1773973952.955756,success,801.43,100,web_fetch,periodic
1773973953.078631,success,801.22,100,web_fetch,periodic
1773973953.079308,rejected,2.11,100,mock_heavy,periodic
1773973953.125378,success,799.51,100,calculate,periodic
1773973953.170928,rejected,0.00,100,calculate,bursty
1773973953.247921,rejected,1.68,100,calculate,bursty
1773973953.248603,rejected,2.08,100,calculate,bursty
1773973953.417046,rejected,2.19,100,calculate,bursty
1773973953.524159,rejected,1.99,100,web_fetch,bursty
1773973953.601847,rejected,1.18,100,web_fetch,bursty
1773973953.677917,rejected,1.27,100,web_fetch,bursty
1773973953.709029,success,247.12,100,calculate,periodic
1773973953.739789,success,383.17,100,web_fetch,periodic
1773973953.831583,success,370.03,100,web_fetch,periodic
1773973953.832603,success,402.34,100,web_fetch,periodic
1773973953.862866,success,373.11,100,web_fetch,periodic
1773973953.909043,success,328.05,100,web_fetch,periodic
1773973953.985402,success,253.64,100,web_fetch,periodic
1773973954.033305,rejected,1.67,100,mock_heavy,periodic
1773973954.034302,rejected,1.23,100,mock_heavy,periodic
1773973954.154324,success,156.70,100,web_fetch,periodic
1773973954.183989,success,157.17,100,web_fetch,periodic
