session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0012-826c6502,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.07,1774964996.792827,1774964996.795008
sess-0013-73f64f66,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.05,1774964996.829341,1774964996.831500
sess-0015-e02d2d8f,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.56,1774964996.839388,1774964996.842084
sess-0016-77515a81,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.86,1774964996.844340,1774964996.846338
sess-0017-c0bb9f9a,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.16,1774964996.852653,1774964996.854990
sess-0018-c86037a4,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.14,1774964996.868352,1774964996.869577
sess-0019-3ce671c4,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.06,1774964996.881127,1774964996.883380
sess-0020-df863b1f,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.37,1774964996.888695,1774964996.890156
sess-0021-71c3c6b8,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.92,1774964996.909541,1774964996.911616
sess-0022-e26670c1,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.54,1774964996.912893,1774964996.914538
sess-0023-5e748c4d,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.95,1774964996.920782,1774964996.922835
sess-0024-c6950798,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.74,1774964996.930239,1774964996.933136
sess-0026-67dad514,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,5.13,1774964996.974920,1774964996.980256
sess-0027-56cd84a1,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.48,1774964996.980354,1774964996.983045
sess-0028-6b62535f,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.29,1774964996.995357,1774964996.997738
sess-0029-5da54b40,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.05,1774964997.014005,1774964997.016170
sess-0030-dba27bce,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.33,1774964997.015555,1774964997.019013
sess-0031-380faa8c,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.35,1774964997.035149,1774964997.038721
sess-0033-e876c5a4,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.78,1774964997.042418,1774964997.045344
sess-0034-8de6e2d0,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.48,1774964997.103157,1774964997.106880
sess-0035-406d30b9,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.78,1774964997.171428,1774964997.175567
sess-0036-a86367e7,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.00,1774964997.204985,1774964997.208149
sess-0037-f204ef4d,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.50,1774964997.213477,1774964997.216106
sess-0038-aecbef49,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.57,1774964997.216214,1774964997.218993
sess-0039-e4d3bf33,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.66,1774964997.241390,1774964997.244255
sess-0040-3cdf739f,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.59,1774964997.253579,1774964997.257390
sess-0041-9cce4caf,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,2.97,1774964997.257656,1774964997.260916
sess-0042-c5b84354,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,5.04,1774964997.272466,1774964997.277715
sess-0043-a81fd351,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,5.41,1774964997.273691,1774964997.279292
sess-0044-977926c6,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,4.72,1774964997.324423,1774964997.329349
sess-0045-6f466e39,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,2.65,1774964997.330748,1774964997.333551
sess-0046-adae6e49,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.48,1774964997.353073,1774964997.356792
sess-0047-5bd32821,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,3.30,1774964997.361191,1774964997.364706
sess-0048-5916c070,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.37,1774964997.377273,1774964997.380887
sess-0014-7bc3f7f5,plan_and_solve,SUCCESS,3,500,3.0,3.0,556.63,1774964996.834782,1774964997.391757
sess-0049-c3be4189,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.88,1774964997.394172,1774964997.397319
sess-0000-13e58019,plan_and_solve,SUCCESS,3,500,7.0,7.0,895.50,1774964996.505571,1774964997.401471
sess-0050-94d6155a,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.12,1774964997.399134,1774964997.402457
sess-0051-1fb1fc7a,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.92,1774964997.470221,1774964997.473478
sess-0025-9ffbca8b,plan_and_solve,SUCCESS,4,500,4.0,4.0,543.11,1774964996.943618,1774964997.487215
sess-0052-4bc17e05,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.86,1774964997.501000,1774964997.504121
sess-0053-b85f53a3,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,3.27,1774964997.557714,1774964997.561401
sess-0003-5fa099b2,plan_and_solve,SUCCESS,3,500,7.0,7.0,981.57,1774964996.604808,1774964997.587090
sess-0054-30869172,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.43,1774964997.603755,1774964997.607445
sess-0055-25743d4d,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,3.43,1774964997.622482,1774964997.626139
sess-0056-0c330ff7,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,4.04,1774964997.674258,1774964997.678588
sess-0057-40c37f5f,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,3.03,1774964997.676981,1774964997.680193
sess-0058-10a26b30,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.72,1774964997.682729,1774964997.685720
sess-0059-42a1c0fa,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.90,1774964997.683863,1774964997.686945
sess-0060-6f42182f,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.77,1774964997.692433,1774964997.695435
sess-0061-db8c8e33,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.63,1774964997.702993,1774964997.706019
sess-0062-c72708b4,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.44,1774964997.710721,1774964997.714388
sess-0063-e0d6f0f2,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.13,1774964997.747251,1774964997.750674
sess-0064-33b27f6b,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.70,1774964997.757033,1774964997.759896
sess-0065-542f9430,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.00,1774964997.764196,1774964997.767449
sess-0066-6dcb5633,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.64,1774964997.781777,1774964997.784560
sess-0067-4c1f9cae,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.33,1774964997.786051,1774964997.788574
sess-0068-93de84b6,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.94,1774964997.819085,1774964997.821185
sess-0069-2af905ed,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.51,1774964997.821277,1774964997.822921
sess-0032-f02d7caf,plan_and_solve,SUCCESS,4,500,4.0,4.0,855.57,1774964997.040127,1774964997.896237
sess-0070-55888be9,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,2.64,1774964997.908586,1774964997.911384
sess-0071-3c5fc8b5,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.09,1774964997.938701,1774964997.940924
sess-0072-1fa509cf,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.84,1774964997.944150,1774964997.946094
sess-0073-7a1d3e98,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.22,1774964997.944619,1774964997.946911
sess-0008-a7d0f38f,plan_and_solve,SUCCESS,3,500,7.0,7.0,1297.91,1774964996.675893,1774964997.974286
sess-0074-6ea0c501,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.52,1774964997.979575,1774964997.982226
sess-0075-bdd9755c,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.89,1774964998.004666,1774964998.007686
sess-0076-17c8b041,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.40,1774964998.031927,1774964998.034431
sess-0077-167ba9c0,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.87,1774964998.062203,1774964998.065257
sess-0078-076ba36a,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.91,1774964998.064692,1774964998.067771
sess-0079-6cd37c2d,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.87,1774964998.074367,1774964998.077470
sess-0080-3f8c2934,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.04,1774964998.077665,1774964998.080911
sess-0081-952e0441,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.38,1774964998.118752,1774964998.122380
sess-0082-c935a2d9,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,3.44,1774964998.138921,1774964998.142594
sess-0083-17856286,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.70,1774964998.148148,1774964998.151046
sess-0084-8e9cca5b,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.31,1774964998.150461,1774964998.152918
sess-0085-f1a12a18,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,3.15,1774964998.158440,1774964998.161814
sess-0087-a79e9ad1,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1.48,1774964998.194106,1774964998.195705
sess-0004-7b9d751f,plan_and_solve,SUCCESS,7,500,11.0,11.0,1584.73,1774964996.623852,1774964998.209186
sess-0088-e7f83b3a,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.70,1774964998.215429,1774964998.217227
sess-0010-e93c6141,plan_and_solve,SUCCESS,5,500,9.0,9.0,1522.93,1774964996.720201,1774964998.243691
sess-0091-0003577f,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1.64,1774964998.276997,1774964998.278724
sess-0092-034e4db0,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.00,1774964998.303074,1774964998.305182
sess-0086-1d3bbd84,plan_and_solve,SUCCESS,3,500,3.0,3.0,166.39,1774964998.167320,1774964998.334075
sess-0093-51a90612,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.71,1774964998.332708,1774964998.335607
