session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0012-8714b578,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,4.11,1774675474.890744,1774675474.894858
sess-0013-12182f07,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,5.12,1774675474.941106,1774675474.946222
sess-0016-49f8a233,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,5.20,1774675474.946775,1774675474.951976
sess-0015-7a6d847f,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,7.40,1774675474.944578,1774675474.952552
sess-0017-d4e58d6b,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,6.52,1774675474.947992,1774675474.955523
sess-0019-2b4cbf8f,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.83,1774675474.953148,1774675474.956553
sess-0018-b86664cd,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,5.72,1774675474.950835,1774675474.956553
sess-0020-732de38e,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.45,1774675474.954915,1774675474.957361
sess-0021-4f333927,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.35,1774675474.986227,1774675474.989580
sess-0022-6e125d40,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,4.10,1774675474.987844,1774675474.992471
sess-0023-e184f90b,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,4.67,1774675474.989007,1774675474.993673
sess-0024-db4d44b8,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,4.03,1774675474.991385,1774675474.995429
sess-0004-04a85f38,plan_and_solve,CASCADE_FAILED,7,500,2.0,0.0,262.13,1774675474.733294,1774675474.995429
sess-0026-287b9ee8,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.59,1774675475.032428,1774675475.036016
sess-0027-fe9f55b3,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.41,1774675475.034288,1774675475.036695
sess-0028-7d883a1a,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.82,1774675475.035444,1774675475.037261
sess-0029-3438c290,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.33,1774675475.045937,1774675475.049269
sess-0030-3e87e78c,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.72,1774675475.047107,1774675475.049825
sess-0031-9c74d745,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.08,1774675475.078585,1774675475.081666
sess-0033-7b0344e5,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.85,1774675475.080951,1774675475.082797
sess-0034-fede8b9b,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.72,1774675475.144907,1774675475.146625
sess-0009-839e1e8f,plan_and_solve,CASCADE_FAILED,6,500,4.0,0.0,386.93,1774675474.816647,1774675475.204167
sess-0035-1899371e,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.22,1774675475.202817,1774675475.204686
sess-0036-c0bc5a5f,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.39,1774675475.247715,1774675475.251103
sess-0037-e73d6e0d,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.77,1774675475.248880,1774675475.251654
sess-0038-cf0f8139,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.25,1774675475.249989,1774675475.252234
sess-0039-93b7b799,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.96,1774675475.278539,1774675475.282018
sess-0040-97c4b40f,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.34,1774675475.279828,1774675475.283164
sess-0041-b63422fd,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,2.78,1774675475.280927,1774675475.283705
sess-0042-5e4034ec,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.35,1774675475.282618,1774675475.284968
sess-0044-7a8e692e,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.20,1774675475.338895,1774675475.342639
sess-0045-670ccbe3,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,3.78,1774675475.340505,1774675475.344282
sess-0046-02ad2bc0,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.72,1774675475.342110,1774675475.344834
sess-0047-64f445dc,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.68,1774675475.343750,1774675475.346462
sess-0048-e75fa2fe,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.09,1774675475.345376,1774675475.346972
sess-0011-ceb3b705,plan_and_solve,CASCADE_FAILED,7,500,3.0,0.0,530.77,1774675474.827671,1774675475.358537
sess-0049-892f8e58,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.46,1774675475.356666,1774675475.359125
sess-0050-0d6a2cea,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.32,1774675475.357936,1774675475.360259
sess-0010-33f55d61,plan_and_solve,CASCADE_FAILED,5,500,4.0,0.0,534.50,1774675474.825814,1774675475.361382
sess-0025-8c872a30,plan_and_solve,CASCADE_FAILED,4,500,2.0,0.0,372.41,1774675474.993673,1774675475.366663
sess-0043-7afe7e24,plan_and_solve,CASCADE_FAILED,3,500,1.0,0.0,87.38,1774675475.284218,1774675475.371771
sess-0014-6cb60569,plan_and_solve,SUCCESS,3,500,3.0,3.0,431.66,1774675474.942726,1774675475.374960
sess-0001-cdc92892,plan_and_solve,CASCADE_FAILED,3,500,5.0,0.0,809.56,1774675474.613098,1774675475.422655
sess-0051-0322e1e9,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.69,1774675475.421523,1774675475.423210
sess-0000-87dc9207,plan_and_solve,CASCADE_FAILED,3,500,6.0,0.0,812.96,1774675474.611472,1774675475.425505
sess-0032-1fb082f2,plan_and_solve,CASCADE_FAILED,4,500,1.0,0.0,378.90,1774675475.079734,1774675475.458630
sess-0052-8b20adb3,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.96,1774675475.457671,1774675475.459628
sess-0002-3befcbad,plan_and_solve,CASCADE_FAILED,7,500,5.0,0.0,810.83,1774675474.694616,1774675475.505978
sess-0053-18dbfd90,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,3.74,1774675475.503303,1774675475.507674
sess-0054-edde47bd,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.36,1774675475.546903,1774675475.550265
sess-0007-5e4191b2,plan_and_solve,CASCADE_FAILED,6,500,5.0,0.0,810.51,1774675474.740283,1774675475.550797
sess-0006-0c41c830,plan_and_solve,CASCADE_FAILED,7,500,6.0,0.0,816.89,1774675474.737537,1774675475.554946
sess-0005-0fa58878,plan_and_solve,CASCADE_FAILED,5,500,8.0,0.0,828.36,1774675474.735461,1774675475.563973
sess-0055-39e38c07,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.13,1774675475.562814,1774675475.564491
sess-0056-a89e03c1,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.84,1774675475.630009,1774675475.632845
sess-0057-38f20437,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,2.70,1774675475.631152,1774675475.633851
sess-0058-8953ecf4,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.61,1774675475.632628,1774675475.636242
sess-0059-1ec82e3e,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,3.67,1774675475.633851,1774675475.637523
sess-0060-caec6f80,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.20,1774675475.635499,1774675475.638845
sess-0061-d7824678,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.61,1774675475.636819,1774675475.639428
sess-0062-f7227976,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.80,1774675475.638203,1774675475.640007
sess-0063-e3d3dc04,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.03,1774675475.690504,1774675475.693533
sess-0064-c9c03dd8,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.61,1774675475.691643,1774675475.694248
sess-0065-e846854a,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.87,1774675475.692953,1774675475.694820
sess-0003-1da68315,plan_and_solve,SUCCESS,3,500,7.0,7.0,972.52,1774675474.724630,1774675475.697681
sess-0066-212adb22,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.61,1774675475.722197,1774675475.723807
sess-0067-38f0ed45,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.60,1774675475.723266,1774675475.724868
sess-0068-1f8fd43f,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.39,1774675475.751457,1774675475.753842
sess-0069-c971f2fd,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.65,1774675475.752745,1774675475.754390
sess-0071-644b9dff,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.07,1774675475.890409,1774675475.893477
sess-0072-482d2253,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.98,1774675475.891575,1774675475.894670
sess-0073-f3c6c0e5,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.77,1774675475.892902,1774675475.894670
sess-0008-e82ddaf8,plan_and_solve,SUCCESS,3,500,7.0,7.0,1120.54,1774675474.786233,1774675475.906770
sess-0074-e1112b57,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.90,1774675475.937087,1774675475.938987
sess-0070-0b21646a,plan_and_solve,SUCCESS,3,500,3.0,3.0,168.61,1774675475.844845,1774675476.014016
sess-0078-11e6fa60,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.70,1774675476.015087,1774675476.017787
sess-0079-fce6b56d,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.13,1774675476.016186,1774675476.018818
sess-0081-156b5756,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.32,1774675476.073881,1774675476.077205
sess-0083-77576605,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.29,1774675476.076231,1774675476.079517
sess-0084-643fe40b,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.52,1774675476.077205,1774675476.080725
sess-0088-df164067,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.22,1774675476.118418,1774675476.120643
sess-0092-1709d8e8,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.56,1774675476.173352,1774675476.176430
sess-0093-5b0d8727,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.70,1774675476.184834,1774675476.186529
sess-0094-694497e3,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.15,1774675476.210351,1774675476.212505
sess-0095-6b15cd45,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.76,1774675476.232655,1774675476.236504
sess-0096-2bcc283f,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.19,1774675476.234836,1774675476.237590
sess-0097-1f3ec552,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.17,1774675476.236504,1774675476.239210
sess-0098-0a818ed4,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.29,1774675476.237590,1774675476.240422
sess-0099-b2f13c1d,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.02,1774675476.239267,1774675476.242288
sess-0100-af434e81,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.59,1774675476.240422,1774675476.243014
sess-0101-3c0bf7fa,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.30,1774675476.241713,1774675476.243014
sess-0086-2eed442d,plan_and_solve,SUCCESS,3,500,3.0,3.0,167.15,1774675476.080040,1774675476.248374
sess-0102-42f12fc0,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.33,1774675476.248374,1774675476.250701
sess-0104-16abd663,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.71,1774675476.250138,1774675476.251847
sess-0105-a2a2441c,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.77,1774675476.302485,1774675476.305964
sess-0106-b0611209,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.20,1774675476.303747,1774675476.306949
sess-0107-34156cbf,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.54,1774675476.305411,1774675476.306949
sess-0109-43548583,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.77,1774675476.329039,1774675476.331807
sess-0112-32c17e7e,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.85,1774675476.332370,1774675476.335288
sess-0089-640146e4,plan_and_solve,SUCCESS,3,500,3.0,3.0,173.91,1774675476.164536,1774675476.338446
sess-0113-4c73e246,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.66,1774675476.393054,1774675476.395710
sess-0114-d94f3f5f,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.15,1774675476.439458,1774675476.442121
sess-0115-ea5a787b,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.83,1774675476.470608,1774675476.472440
sess-0108-45547c24,plan_and_solve,SUCCESS,3,500,3.0,3.0,161.85,1774675476.327294,1774675476.489143
sess-0116-47b95f0b,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.69,1774675476.502156,1774675476.503846
sess-0117-999bd8ee,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.87,1774675476.546865,1774675476.549739
sess-0118-9affae20,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.81,1774675476.548487,1774675476.550297
sess-0119-dadc5d82,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.76,1774675476.608207,1774675476.610963
sess-0120-88dea551,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.62,1774675476.609347,1774675476.611479
sess-0090-a906a6c8,plan_and_solve,SUCCESS,3,500,3.0,3.0,476.85,1774675476.165536,1774675476.642943
sess-0077-71876eb8,plan_and_solve,SUCCESS,5,500,5.0,5.0,630.17,1774675476.014016,1774675476.644711
sess-0121-25e6c8f8,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.32,1774675476.642943,1774675476.645260
sess-0103-efbe2cfd,plan_and_solve,SUCCESS,5,500,5.0,5.0,401.92,1774675476.249448,1774675476.651541
sess-0111-ebd8093a,plan_and_solve,SUCCESS,4,500,4.0,4.0,320.94,1774675476.331230,1774675476.652683
sess-0080-c001cafa,plan_and_solve,SUCCESS,5,500,5.0,5.0,637.53,1774675476.017254,1774675476.654780
sess-0122-1086ee03,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.71,1774675476.685639,1774675476.689347
sess-0123-09cd2321,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.31,1774675476.686631,1774675476.689898
sess-0124-41b09c0f,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.99,1774675476.688163,1774675476.691729
sess-0125-4e09700c,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.35,1774675476.689898,1774675476.692842
sess-0126-7a6890ab,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.68,1774675476.691158,1774675476.692842
sess-0127-b328fbf6,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.62,1774675476.731728,1774675476.733894
sess-0128-8c3a3750,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.65,1774675476.777609,1774675476.780261
sess-0129-0c47d715,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,3.03,1774675476.778719,1774675476.782263
sess-0130-5a3aeb1e,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,3.00,1774675476.780261,1774675476.783262
sess-0131-9fe08498,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,4.00,1774675476.781264,1774675476.785260
sess-0132-106e47e2,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.00,1774675476.783262,1774675476.786263
sess-0133-bb52334f,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.00,1774675476.784262,1774675476.787263
sess-0134-81942229,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.00,1774675476.786263,1774675476.787263
sess-0135-fa6512c7,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.82,1774675476.854724,1774675476.857545
sess-0136-bf36ec2c,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.34,1774675476.856322,1774675476.859663
sess-0137-c4555349,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.06,1774675476.858597,1774675476.860652
sess-0110-9c933e8c,plan_and_solve,SUCCESS,4,500,4.0,4.0,535.20,1774675476.330121,1774675476.867445
sess-0138-3e24b152,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1.37,1774675476.885154,1774675476.887078
sess-0139-f019c146,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.10,1774675476.885983,1774675476.887078
sess-0140-45bf76d3,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.05,1774675476.938011,1774675476.939091
sess-0075-33ed58b4,plan_and_solve,SUCCESS,4,500,8.0,8.0,973.28,1774675475.967390,1774675476.940670
sess-0141-0412ca11,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.30,1774675477.021540,1774675477.024837
sess-0142-8405e571,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.77,1774675477.022244,1774675477.026019
sess-0146-716fa8dc,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.69,1774675477.027675,1774675477.030361
sess-0147-cd05bef1,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.26,1774675477.028220,1774675477.031478
sess-0148-c2f88a1e,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.40,1774675477.029282,1774675477.033196
sess-0085-af6d11de,plan_and_solve,SUCCESS,3,500,7.0,7.0,966.34,1774675476.078898,1774675477.045786
sess-0082-3e6be098,plan_and_solve,SUCCESS,3,500,7.0,7.0,973.35,1774675476.075039,1774675477.048671
sess-0149-3204a0a8,plan_and_solve,SUCCESS,5,500,5.0,5.0,33.57,1774675477.030913,1774675477.064608
sess-0151-c8012583,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,2.79,1774675477.082655,1774675477.086005
sess-0152-f460c640,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,3.34,1774675477.083778,1774675477.087120
sess-0153-5a60654f,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.22,1774675477.085405,1774675477.088232
sess-0154-e765e61c,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.66,1774675477.086571,1774675477.088232
sess-0091-833b164e,plan_and_solve,SUCCESS,3,500,7.0,7.0,972.78,1774675476.166537,1774675477.140854
sess-0156-e62ddb8e,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,3.79,1774675477.176322,1774675477.180115
sess-0157-da9e3c9d,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.78,1774675477.185832,1774675477.189154
sess-0158-5b3b70c1,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,4.06,1774675477.201597,1774675477.205653
sess-0159-09dcf4e5,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.54,1774675477.203735,1774675477.207271
sess-0087-ac1bbed0,plan_and_solve,SUCCESS,3,500,7.0,7.0,1117.58,1774675476.092374,1774675477.210536
sess-0160-edce35c8,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.08,1774675477.250838,1774675477.253449
sess-0161-c0379f87,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.06,1774675477.251919,1774675477.253979
sess-0076-f341e10f,plan_and_solve,SUCCESS,5,500,9.0,9.0,1284.69,1774675476.002724,1774675477.287898
sess-0163-f5cf50a2,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.29,1774675477.313257,1774675477.316546
sess-0165-fab10a62,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1.72,1774675477.315969,1774675477.317690
sess-0168-85352a16,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.20,1774675477.345119,1774675477.347406
sess-0169-410041bc,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.18,1774675477.346228,1774675477.347406
sess-0143-92130cb7,plan_and_solve,SUCCESS,6,500,6.0,6.0,337.07,1774675477.024268,1774675477.362906
sess-0150-09a717de,plan_and_solve,SUCCESS,4,500,4.0,4.0,334.89,1774675477.033196,1774675477.368131
sess-0173-a3bb3050,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.81,1774675477.406480,1774675477.408862
sess-0174-925aa956,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.82,1774675477.407634,1774675477.409456
sess-0175-58f3c5fc,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.76,1774675477.434588,1774675477.437345
sess-0176-12f38a58,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.25,1774675477.435671,1774675477.437923
sess-0145-938dcbe7,plan_and_solve,SUCCESS,4,500,4.0,4.0,483.47,1774675477.026562,1774675477.510572
sess-0179-4861a3b7,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,4.44,1774675477.524934,1774675477.529372
sess-0181-06837249,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,3.39,1774675477.527701,1774675477.531186
sess-0182-7cfdb21a,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.39,1774675477.529886,1774675477.531401
sess-0184-d6a82829,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.89,1774675477.648306,1774675477.651264
sess-0185-b07d6555,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.28,1774675477.649515,1774675477.652339
sess-0171-cdd53d1d,plan_and_solve,SUCCESS,3,500,3.0,3.0,247.70,1774675477.404658,1774675477.652881
sess-0186-b267c5d0,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.08,1774675477.653415,1774675477.654495
sess-0162-b897e61f,plan_and_solve,SUCCESS,3,500,3.0,3.0,372.17,1774675477.282336,1774675477.655024
sess-0144-ae34500f,plan_and_solve,SUCCESS,5,500,5.0,5.0,650.08,1774675477.025481,1774675477.675564
sess-0178-664b2e4b,plan_and_solve,SUCCESS,3,500,3.0,3.0,209.59,1774675477.466460,1774675477.676564
sess-0187-17225bec,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1.62,1774675477.708930,1774675477.710555
sess-0188-50c25df7,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,3.00,1774675477.721664,1774675477.724663
sess-0189-a85252e6,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.92,1774675477.722856,1774675477.725773
sess-0190-b279dc63,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,2.18,1774675477.723561,1774675477.726305
sess-0191-5c88994d,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.60,1774675477.725246,1774675477.726843
sess-0192-f7c725a1,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.87,1774675477.747314,1774675477.749182
sess-0193-96b3d5b2,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.71,1774675477.799891,1774675477.801603
sess-0194-17ac9f11,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,2.67,1774675477.810554,1774675477.813761
sess-0195-f21cbc9f,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.99,1774675477.811949,1774675477.814934
sess-0196-788af19f,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.88,1774675477.812529,1774675477.814934
sess-0155-f0fb2af7,plan_and_solve,SUCCESS,5,500,5.0,5.0,643.70,1774675477.175200,1774675477.818897
sess-0167-ac2443a6,plan_and_solve,SUCCESS,3,500,3.0,3.0,476.52,1774675477.342487,1774675477.820101
sess-0197-ecccbe9d,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1.48,1774675477.860323,1774675477.861800
sess-0180-67c6286d,plan_and_solve,SUCCESS,3,500,3.0,3.0,374.99,1774675477.526696,1774675477.902494
sess-0198-6e629032,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1.63,1774675477.902554,1774675477.904181
sess-0199-8d798a1c,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.66,1774675477.936461,1774675477.939177
sess-0200-4c1b3a2e,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,2.05,1774675477.967538,1774675477.969590
sess-0183-2c6a259f,plan_and_solve,SUCCESS,4,500,4.0,4.0,381.73,1774675477.596181,1774675477.977966
sess-0201-8f448b5c,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.00,1774675477.999420,1774675478.002422
sess-0202-bf505c62,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,3.02,1774675478.000422,1774675478.003441
