session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0003-6fd7cc6b,plan_and_solve,SUCCESS,3,500,7.0,7.0,978.78,1774965257.264601,1774965258.244017
sess-0019-82812ba8,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1006.91,1774965257.541746,1774965258.548904
sess-0020-512605c3,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1006.01,1774965257.549577,1774965258.555791
sess-0022-fb2197aa,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1006.50,1774965257.572484,1774965258.579161
sess-0038-2cf99b03,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1007.61,1774965257.879541,1774965258.887410
sess-0043-6f73656e,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1009.38,1774965257.936544,1774965258.946196
sess-0044-b5f5dc91,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1007.73,1774965257.985261,1774965258.993285
sess-0045-6c9b6159,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1007.79,1774965257.991966,1774965258.999959
sess-0046-2cfa6899,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1008.46,1774965258.014843,1774965259.023577
sess-0047-16c45882,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1008.03,1774965258.022853,1774965259.031238
sess-0000-9e87487b,plan_and_solve,SUCCESS,3,500,7.0,7.0,1878.05,1774965257.166177,1774965259.044738
sess-0002-9d4826ae,plan_and_solve,CASCADE_FAILED,7,500,5.0,0.0,1815.30,1774965257.237548,1774965259.053334
sess-0050-94487cfe,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1009.64,1774965258.061143,1774965259.071037
sess-0007-faeddeee,plan_and_solve,CASCADE_FAILED,6,500,5.0,0.0,1818.06,1774965257.294591,1774965259.113009
sess-0008-79f8122a,plan_and_solve,CASCADE_FAILED,3,500,5.0,0.0,1817.94,1774965257.335752,1774965259.154078
sess-0052-0fdf3cdf,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1011.21,1774965258.162625,1774965259.174142
sess-0015-36111832,plan_and_solve,CASCADE_FAILED,7,500,1.0,0.0,1749.93,1774965257.500757,1774965259.251084
sess-0054-17c0ca17,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1007.23,1774965258.266074,1774965259.273601
sess-0010-06514627,plan_and_solve,CASCADE_FAILED,5,500,4.0,0.0,1903.32,1774965257.381170,1774965259.285180
sess-0025-71945ba2,plan_and_solve,CASCADE_FAILED,4,500,1.0,0.0,1695.13,1774965257.603792,1774965259.299247
sess-0057-0111cf3c,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1012.57,1774965258.343032,1774965259.355804
sess-0058-04e64669,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1041.95,1774965258.348027,1774965259.390232
sess-0059-4fb1ecc7,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1042.45,1774965258.349897,1774965259.392556
sess-0060-f47bde7c,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1011.89,1774965258.382161,1774965259.394293
sess-0061-37bb770e,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1008.05,1774965258.392696,1774965259.401041
sess-0014-a1c35b8c,plan_and_solve,CASCADE_FAILED,3,500,2.0,0.0,1934.02,1774965257.496184,1774965259.430849
sess-0051-d2d320e1,plan_and_solve,CASCADE_FAILED,7,500,1.0,0.0,1303.81,1774965258.131747,1774965259.436043
sess-0062-8d97e3d3,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1043.23,1774965258.399412,1774965259.442902
sess-0063-a293d982,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1007.94,1774965258.435913,1774965259.444095
sess-0017-497bdb8a,plan_and_solve,CASCADE_FAILED,7,500,5.0,0.0,1930.98,1774965257.514294,1774965259.445604
sess-0064-322ce866,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1007.99,1774965258.445884,1774965259.454093
sess-0065-76901b36,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1008.33,1774965258.453395,1774965259.462070
sess-0011-a144dc55,plan_and_solve,CASCADE_FAILED,7,500,3.0,0.0,2085.86,1774965257.383021,1774965259.469445
sess-0067-8eeb48e0,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1007.50,1774965258.473458,1774965259.481178
sess-0029-532690ea,plan_and_solve,CASCADE_FAILED,7,500,1.0,0.0,1848.07,1774965257.674814,1774965259.523365
sess-0026-965367cf,plan_and_solve,CASCADE_FAILED,7,500,1.0,0.0,1895.09,1774965257.635338,1774965259.530725
