session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0012-92ebc3cc,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,5.01,1774786952.157264,1774786952.162627
sess-0013-2ff720df,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,3.11,1774786952.194282,1774786952.197664
sess-0015-89e31e0c,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,4.17,1774786952.205281,1774786952.209701
sess-0016-8bd080a4,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.50,1774786952.209930,1774786952.212659
sess-0017-46d12640,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.82,1774786952.217923,1774786952.219826
sess-0018-bc8c627c,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.92,1774786952.233970,1774786952.235975
sess-0004-b439612e,plan_and_solve,CASCADE_FAILED,7,500,2.0,0.0,250.81,1774786951.987283,1774786952.238554
sess-0019-3ff62fbd,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.42,1774786952.245881,1774786952.247379
sess-0020-5ed607e9,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.75,1774786952.253575,1774786952.255414
sess-0021-4ba85bd4,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.82,1774786952.274654,1774786952.276564
sess-0022-368d02f3,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.66,1774786952.278779,1774786952.280523
sess-0023-4dd1e0c9,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.89,1774786952.286729,1774786952.288709
sess-0024-19731a25,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.74,1774786952.295949,1774786952.298842
sess-0026-b5e5840f,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.33,1774786952.340534,1774786952.344141
sess-0027-69c6cfa1,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,3.37,1774786952.345775,1774786952.349358
sess-0028-28983851,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.56,1774786952.360914,1774786952.363685
sess-0029-ccf1648a,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.37,1774786952.380186,1774786952.383886
sess-0030-52affd09,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,5.50,1774786952.381657,1774786952.387366
sess-0009-3b30c343,plan_and_solve,CASCADE_FAILED,6,500,4.0,0.0,336.29,1774786952.058746,1774786952.396319
sess-0031-f5c9f74e,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.47,1774786952.401032,1774786952.404777
sess-0033-fda67aaf,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.97,1774786952.407759,1774786952.410978
sess-0034-dac82272,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.72,1774786952.467982,1774786952.471006
sess-0035-e7bb3e53,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.29,1774786952.536736,1774786952.540258
sess-0010-4b065fac,plan_and_solve,CASCADE_FAILED,5,500,4.0,0.0,463.29,1774786952.084584,1774786952.548584
sess-0036-69eb3120,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.73,1774786952.571265,1774786952.574319
sess-0037-a86a8aca,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.43,1774786952.579620,1774786952.582181
sess-0038-e298be2e,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.50,1774786952.582295,1774786952.584927
sess-0014-b6d90236,plan_and_solve,SUCCESS,3,500,3.0,3.0,404.17,1774786952.200323,1774786952.605012
sess-0039-f84648e5,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.20,1774786952.606647,1774786952.610074
sess-0040-7f140de8,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.66,1774786952.620812,1774786952.624722
sess-0041-f33a271d,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,3.25,1774786952.624949,1774786952.628408
sess-0042-9572422c,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.98,1774786952.639042,1774786952.642227
sess-0043-fd271c7c,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,2.60,1774786952.640321,1774786952.643106
sess-0001-ffeefacf,plan_and_solve,CASCADE_FAILED,3,500,5.0,0.0,811.62,1774786951.879349,1774786952.691293
sess-0044-ff1f51ae,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.38,1774786952.689742,1774786952.693354
sess-0000-5a22598e,plan_and_solve,SUCCESS,3,500,7.0,7.0,824.35,1774786951.869048,1774786952.693789
sess-0025-50caaa69,plan_and_solve,SUCCESS,4,500,4.0,4.0,385.36,1774786952.309186,1774786952.695376
sess-0045-bddc897f,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,4.43,1774786952.696922,1774786952.701612
sess-0011-b948c9e9,plan_and_solve,CASCADE_FAILED,7,500,3.0,0.0,614.91,1774786952.086627,1774786952.702138
sess-0046-3191f5e8,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.19,1774786952.719604,1774786952.723041
sess-0047-5622a775,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,3.24,1774786952.727573,1774786952.731045
sess-0048-c7b2fbe6,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.41,1774786952.743635,1774786952.747316
sess-0049-32c59a28,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.76,1774786952.760810,1774786952.763793
sess-0050-1bf2e500,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.30,1774786952.765283,1774786952.768854
sess-0007-0cd7812a,plan_and_solve,CASCADE_FAILED,6,500,5.0,0.0,816.00,1774786951.998294,1774786952.814621
sess-0006-829c0cd9,plan_and_solve,CASCADE_FAILED,7,500,6.0,0.0,825.62,1774786951.996175,1774786952.822258
sess-0005-340e140c,plan_and_solve,CASCADE_FAILED,5,500,8.0,0.0,834.26,1774786951.991336,1774786952.826456
sess-0051-9ba29095,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.32,1774786952.836967,1774786952.840615
sess-0052-47e255c3,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.59,1774786952.867689,1774786952.871547
sess-0002-f4ab1ac9,plan_and_solve,CASCADE_FAILED,7,500,7.0,0.0,976.45,1774786951.940478,1774786952.917714
sess-0032-48c51125,plan_and_solve,SUCCESS,4,500,4.0,4.0,517.00,1774786952.405031,1774786952.922621
sess-0053-fbe4fe12,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,3.15,1774786952.925291,1774786952.928745
sess-0003-56fbdd7d,plan_and_solve,SUCCESS,3,500,7.0,7.0,982.19,1774786951.967163,1774786952.949850
sess-0054-edeb8623,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.12,1774786952.971326,1774786952.973623
sess-0055-f4f7811a,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.36,1774786952.989894,1774786952.992406
sess-0056-dd735f67,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,4.00,1774786953.041928,1774786953.046237
sess-0057-176a5c6a,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,3.27,1774786953.044727,1774786953.048211
sess-0058-9e969d4d,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.14,1774786953.049662,1774786953.053031
sess-0059-4b685ba1,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,3.30,1774786953.050813,1774786953.054305
sess-0060-830b2592,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.19,1774786953.059846,1774786953.063360
sess-0061-e6edae8d,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.13,1774786953.070837,1774786953.074247
sess-0062-e43695cc,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.47,1774786953.077740,1774786953.081457
sess-0065-d4dd135f,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,4.58,1774786953.132952,1774786953.137932
sess-0067-31b2249a,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.20,1774786953.153157,1774786953.155529
sess-0008-61e974a0,plan_and_solve,SUCCESS,3,500,7.0,7.0,1124.12,1774786952.039778,1774786953.164479
sess-0072-70500724,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.45,1774786953.312228,1774786953.314941
sess-0074-bf187fe2,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.66,1774786953.349530,1774786953.352541
sess-0078-f75187bc,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.20,1774786953.435278,1774786953.438750
sess-0079-2df61019,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.17,1774786953.445306,1774786953.448809
sess-0064-8af81b50,plan_and_solve,SUCCESS,4,500,4.0,4.0,332.64,1774786953.124748,1774786953.457966
sess-0070-fd2b8271,plan_and_solve,SUCCESS,3,500,3.0,3.0,188.12,1774786953.276897,1774786953.465502
sess-0081-e2150fa4,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.79,1774786953.489396,1774786953.492588
sess-0082-810b83d1,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,2.56,1774786953.509548,1774786953.512337
sess-0083-a2fb3b5a,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.65,1774786953.518622,1774786953.522499
sess-0084-2897e723,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.18,1774786953.521380,1774786953.524755
sess-0085-144fc622,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,2.19,1774786953.528941,1774786953.531260
sess-0087-aff43753,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,3.50,1774786953.566121,1774786953.569915
sess-0088-3a9896ad,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.47,1774786953.587396,1774786953.591217
sess-0063-b661daa9,plan_and_solve,SUCCESS,7,500,7.0,7.0,503.73,1774786953.114084,1774786953.618786
sess-0089-374a4712,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,2.86,1774786953.632365,1774786953.635547
sess-0073-7d5718dc,plan_and_solve,CASCADE_FAILED,6,500,3.0,0.0,321.88,1774786953.313447,1774786953.635859
sess-0090-0f1d670d,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,2.71,1774786953.646336,1774786953.649255
sess-0091-012f4cae,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,2.56,1774786953.649482,1774786953.652271
sess-0092-4d5cc1fc,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.09,1774786953.675164,1774786953.678668
sess-0069-2fb9a16d,plan_and_solve,SUCCESS,7,500,7.0,7.0,497.37,1774786953.188798,1774786953.687226
sess-0093-8272991a,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.14,1774786953.704791,1774786953.708219
sess-0094-b6010410,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,3.27,1774786953.722680,1774786953.726178
sess-0095-cb9c0632,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.14,1774786953.752687,1774786953.756168
sess-0086-e3a276bf,plan_and_solve,SUCCESS,3,500,3.0,3.0,226.80,1774786953.537832,1774786953.765115
sess-0096-50775020,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.98,1774786953.767524,1774786953.770810
sess-0097-45a991c5,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.85,1774786953.784424,1774786953.787716
sess-0098-3da7858c,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.27,1774786953.796198,1774786953.799727
sess-0099-c2409929,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.85,1774786953.797495,1774786953.801565
sess-0100-261e7dab,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.87,1774786953.799966,1774786953.803118
sess-0101-61358ebf,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.47,1774786953.801794,1774786953.804553
sess-0102-2d6d7d79,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.77,1774786953.824131,1774786953.827146
sess-0103-3ae67ee6,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.38,1774786953.832732,1774786953.836343
sess-0104-8f2cc7ad,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.39,1774786953.847987,1774786953.851737
sess-0105-96e3fcfa,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.94,1774786953.896267,1774786953.899639
sess-0106-efad350f,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.89,1774786953.903235,1774786953.906379
sess-0107-d9e9c177,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.15,1774786953.914916,1774786953.918326
sess-0077-c7c8491c,plan_and_solve,SUCCESS,5,500,5.0,5.0,490.34,1774786953.432627,1774786953.923770
sess-0080-a7b1b093,plan_and_solve,SUCCESS,5,500,5.0,5.0,490.46,1774786953.449017,1774786953.940296
sess-0108-613953a3,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,2.95,1774786953.943827,1774786953.946982
sess-0109-c9b3a9c1,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.91,1774786953.949348,1774786953.952506
sess-0110-228d7d87,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.74,1774786953.951693,1774786953.954639
sess-0111-db58ac04,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.53,1774786953.959109,1774786953.961834
sess-0112-26124a32,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.43,1774786953.963235,1774786953.965837
sess-0113-0b69f59a,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.35,1774786954.016855,1774786954.020632
sess-0114-0e76779d,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.28,1774786954.051173,1774786954.054785
sess-0115-63d8ecdd,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.41,1774786954.072359,1774786954.076128
sess-0116-27d49d4e,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.34,1774786954.114680,1774786954.118491
sess-0117-d632590c,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.69,1774786954.148396,1774786954.152586
sess-0118-aac67cc7,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.56,1774786954.152966,1774786954.156776
sess-0120-70ecb1d3,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.40,1774786954.215834,1774786954.218435
sess-0066-c8562a1c,plan_and_solve,SUCCESS,4,500,8.0,8.0,1127.06,1774786953.149059,1774786954.276701
sess-0071-ddbf076e,plan_and_solve,SUCCESS,5,500,9.0,9.0,984.10,1774786953.307139,1774786954.291987
sess-0122-1d69fbc5,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.39,1774786954.296796,1774786954.300556
sess-0123-de2b7d32,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.51,1774786954.304991,1774786954.308790
sess-0124-591490cc,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.97,1774786954.309015,1774786954.312270
sess-0068-7fc500bd,plan_and_solve,SUCCESS,4,500,8.0,8.0,1129.23,1774786953.186846,1774786954.316586
sess-0125-18dd9faf,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.30,1774786954.314567,1774786954.317014
sess-0126-a95637e3,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.81,1774786954.327241,1774786954.329167
sess-0075-40e409ce,plan_and_solve,SUCCESS,4,500,8.0,8.0,977.44,1774786953.375107,1774786954.353201
sess-0127-9d7229df,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.57,1774786954.363549,1774786954.365225
sess-0128-ac55a632,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.18,1774786954.404056,1774786954.406355
sess-0129-097e897b,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,2.49,1774786954.404715,1774786954.407288
sess-0130-9399a5db,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1.70,1774786954.419236,1774786954.421021
sess-0131-bb3355f1,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.69,1774786954.431230,1774786954.433018
sess-0132-2e550634,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.31,1774786954.437271,1774786954.438660
sess-0133-ddf1bf85,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.34,1774786954.440864,1774786954.442288
sess-0134-febf8099,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.59,1774786954.449541,1774786954.451286
sess-0135-6854a243,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.78,1774786954.507799,1774786954.510900
sess-0136-7d696e85,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.29,1774786954.516088,1774786954.518501
sess-0137-e78ebe01,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.38,1774786954.530946,1774786954.533462
sess-0138-a57928b4,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,3.51,1774786954.556032,1774786954.559865
sess-0139-d656905f,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.95,1774786954.566379,1774786954.569531
sess-0140-1f1586d5,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.62,1774786954.639174,1774786954.642023
sess-0076-fb11fdbe,plan_and_solve,SUCCESS,5,500,9.0,9.0,1282.12,1774786953.402036,1774786954.684829
sess-0141-7e353f19,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.60,1774786954.705328,1774786954.708112
sess-0142-379e0891,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.50,1774786954.711595,1774786954.714326
sess-0143-037a7c3f,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.69,1774786954.726799,1774786954.729722
sess-0144-930d441a,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.00,1774786954.735270,1774786954.738507
sess-0145-7c888b0d,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.90,1774786954.743052,1774786954.746169
sess-0146-e15c606b,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.67,1774786954.744336,1774786954.747432
sess-0147-7404d1d6,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.14,1774786954.763968,1774786954.767389
sess-0148-ae4214a3,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.23,1774786954.778867,1774786954.782373
sess-0149-d38a70f1,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.37,1774786954.780206,1774786954.783783
sess-0150-4586a330,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,3.55,1774786954.787248,1774786954.791014
sess-0151-62659b94,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,3.93,1774786954.835664,1774786954.839862
sess-0152-c3c9aca1,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.69,1774786954.842405,1774786954.845509
sess-0153-c22b40dc,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.29,1774786954.845813,1774786954.849326
sess-0154-423fb167,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.92,1774786954.859827,1774786954.862992
sess-0155-5e203ec2,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.09,1774786954.945487,1774786954.947799
sess-0156-28052cd2,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.81,1774786954.952046,1774786954.953985
sess-0157-8f58d439,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.77,1774786954.975296,1774786954.977182
sess-0158-1d78eef9,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,4.54,1774786955.004915,1774786955.009752
sess-0159-44deaabd,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.14,1774786955.011463,1774786955.014960
sess-0160-a60336ab,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.09,1774786955.038610,1774786955.042142
sess-0161-bceaad73,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.65,1774786955.048875,1774786955.052927
sess-0162-931739fa,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,2.75,1774786955.069269,1774786955.072154
