session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0012-ec3282c1,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,4.66,1774965110.726194,1774965110.731085
sess-0013-db2e6386,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,3.76,1774965110.762700,1774965110.766738
sess-0015-e4eddbea,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,4.58,1774965110.772685,1774965110.777490
sess-0016-916e38b6,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.90,1774965110.777744,1774965110.780896
sess-0017-0f161020,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.00,1774965110.785330,1774965110.788544
sess-0018-8cc0af17,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.97,1774965110.801020,1774965110.804305
sess-0019-e03248bb,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.42,1774965110.813311,1774965110.815834
sess-0020-b1113e85,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.63,1774965110.821277,1774965110.824085
sess-0021-c6be8c90,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.22,1774965110.841521,1774965110.844931
sess-0022-96d746fc,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.28,1774965110.845042,1774965110.847449
sess-0023-995a4bc6,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.40,1774965110.852739,1774965110.855255
sess-0024-064f865a,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.27,1774965110.861968,1774965110.864325
sess-0026-fd1b36a6,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,5.44,1774965110.906586,1774965110.912322
sess-0027-066b0a9f,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.82,1774965110.912526,1774965110.915582
sess-0028-6999177b,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,3.59,1774965110.928188,1774965110.932093
