timestamp,status,latency_ms,budget,tool_name
1773909192.939066,success,181.67,100,web_fetch
1773909192.941067,success,10.06,100,calculate
1773909192.989558,success,197.83,100,web_fetch
1773909193.021370,success,809.27,100,mock_heavy
1773909193.023026,success,267.74,100,web_fetch
1773909193.025475,success,207.88,100,calculate
1773909193.028321,success,229.44,100,calculate
1773909193.055360,success,1134.47,100,mock_heavy
1773909193.057503,success,1231.67,100,mock_heavy
1773909193.059615,success,1565.63,100,mock_heavy
1773909193.061602,error,5.34,100,web_fetch
1773909193.104961,error,3.10,100,mock_heavy
1773909193.105996,error,4.57,100,calculate
1773909193.107522,error,3.05,100,calculate
1773909193.170475,success,1585.70,100,mock_heavy
1773909193.171794,error,1.87,100,mock_heavy
1773909193.172492,error,1.78,100,mock_heavy
1773909193.187390,success,1153.88,100,web_fetch
1773909193.188451,error,2.19,100,calculate
1773909193.189008,error,2.72,100,mock_heavy
1773909193.232529,error,1.99,100,calculate
1773909193.257760,error,3.43,100,mock_heavy
1773909193.258296,error,3.65,100,web_fetch
1773909193.259425,error,2.53,100,calculate
1773909193.260654,error,1.83,100,calculate
1773909193.290761,success,1867.86,100,mock_heavy
1773909193.322044,success,1282.49,100,web_fetch
1773909193.322801,error,2.14,100,calculate
1773909193.352846,error,2.49,100,calculate
1773909193.353253,error,2.74,100,calculate
1773909193.354281,error,2.25,100,mock_heavy
1773909193.401867,error,2.83,100,calculate
1773909193.402342,error,2.87,100,mock_heavy
1773909193.403447,error,2.33,100,web_fetch
1773909193.474122,success,1361.07,100,web_fetch
1773909193.474412,error,2.33,100,mock_heavy
1773909193.539897,error,2.47,100,web_fetch
1773909193.571369,error,2.48,100,web_fetch
1773909193.605755,error,2.12,100,mock_heavy
1773909193.636867,error,2.11,100,web_fetch
1773909193.672803,success,1364.87,100,web_fetch
1773909193.672840,error,4.77,100,mock_heavy
1773909193.674096,error,3.51,100,web_fetch
1773909193.675308,error,5.25,100,mock_heavy
1773909193.676563,error,4.54,100,calculate
1773909193.723312,error,2.83,100,mock_heavy
1773909193.772801,error,2.40,100,web_fetch
1773909193.773831,error,2.40,100,calculate
1773909193.774659,error,2.70,100,mock_heavy
1773909193.775204,error,2.70,100,web_fetch
1773909193.831174,error,2.14,100,mock_heavy
1773909193.889127,error,2.33,100,web_fetch
1773909193.940003,error,2.56,100,mock_heavy
1773909193.974039,error,2.02,100,mock_heavy
1773909194.004983,success,1756.45,100,mock_heavy
1773909194.036569,error,2.93,100,web_fetch
1773909194.106385,error,3.08,100,mock_heavy
1773909194.106996,error,3.54,100,web_fetch
1773909194.108432,error,2.54,100,web_fetch
1773909194.137644,error,2.12,100,mock_heavy
1773909194.138039,error,2.37,100,calculate
1773909194.173374,error,2.31,100,web_fetch
1773909194.253068,error,2.52,100,web_fetch
1773909194.254237,error,1.90,100,mock_heavy
1773909194.288237,success,870.38,100,calculate
1773909194.308222,error,2.04,100,calculate
1773909194.339038,success,916.27,100,calculate
1773909194.340732,error,2.04,100,calculate
