session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0000-ac5036a4,plan_and_solve,SUCCESS,3,500,7.0,7.0,844.40,1774790060.273559,1774790061.118399
sess-0003-e17c63b0,plan_and_solve,SUCCESS,3,500,7.0,7.0,983.15,1774790060.598753,1774790061.582420
sess-0014-0f2a251f,plan_and_solve,SUCCESS,3,500,3.0,3.0,1138.91,1774790061.348615,1774790062.488081
sess-0010-3f1b41e6,plan_and_solve,SUCCESS,5,500,9.0,9.0,1537.90,1774790060.973145,1774790062.511960
sess-0001-c44c197a,plan_and_solve,SUCCESS,3,500,11.0,11.0,2573.42,1774790060.307184,1774790062.881053
sess-0032-e6c3be4b,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1024.17,1774790062.000976,1774790063.025937
sess-0033-a9264d76,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1020.80,1774790062.006428,1774790063.027658
sess-0031-76d34fda,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1042.24,1774790061.986308,1774790063.028820
sess-0008-9edc4ab4,plan_and_solve,SUCCESS,3,500,7.0,7.0,2601.31,1774790060.827421,1774790063.429152
sess-0009-f628d816,plan_and_solve,SUCCESS,6,500,14.0,14.0,3088.71,1774790060.889669,1774790063.979352
sess-0052-51ffca49,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1008.12,1774790063.568327,1774790064.576684
sess-0039-54fa4b8a,plan_and_solve,CASCADE_FAILED,6,500,1.0,0.0,1930.32,1774790062.653039,1774790064.583756
sess-0016-ce115ae9,plan_and_solve,CASCADE_FAILED,5,500,7.0,0.0,3241.55,1774790061.377656,1774790064.619934
sess-0007-7cf5b78c,plan_and_solve,CASCADE_FAILED,6,500,11.0,0.0,3931.60,1774790060.692309,1774790064.624605
sess-0005-4cfe8a41,plan_and_solve,SUCCESS,5,500,13.0,13.0,3978.45,1774790060.674104,1774790064.653270
sess-0046-afda0bfc,plan_and_solve,CASCADE_FAILED,5,500,1.0,0.0,2040.37,1774790063.006624,1774790065.047424
sess-0006-9fe8f9e6,plan_and_solve,CASCADE_FAILED,7,500,12.0,0.0,4404.44,1774790060.687317,1774790065.092753
sess-0057-9b1a6bd7,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1009.22,1774790064.150668,1774790065.160123
sess-0058-55c64e00,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1015.78,1774790064.167577,1774790065.183649
sess-0059-07b7ef63,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1012.54,1774790064.171653,1774790065.184508
sess-0061-12406f99,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1018.87,1774790064.233112,1774790065.252361
sess-0062-7ef5ff63,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1009.04,1774790064.255566,1774790065.265053
sess-0050-143d033d,plan_and_solve,CASCADE_FAILED,7,500,1.0,0.0,2144.70,1774790063.151239,1774790065.296335
