timestamp,session_id,mode,session_state,step_id,tool_name,status,latency_ms,budget,locked_price,regime,raw_goodput,effective_goodput,shadow_would_reject
1774790132.139109,sess-0000-9b61a87a,plan_and_solve,SUCCESS,s1,calculate,success,7.72,500,0,,7.0,7.0,False
1774790132.146971,sess-0000-9b61a87a,plan_and_solve,SUCCESS,s2,mock_heavy,success,808.26,500,0,,7.0,7.0,False
1774790132.955353,sess-0000-9b61a87a,plan_and_solve,SUCCESS,s3,calculate,success,30.66,500,0,,7.0,7.0,False
1774790132.463008,sess-0003-817c0737,plan_and_solve,SUCCESS,s1,calculate,success,7.77,500,0,,7.0,7.0,False
1774790132.470857,sess-0003-817c0737,plan_and_solve,SUCCESS,s2,web_fetch,success,157.40,500,0,,7.0,7.0,False
1774790132.628394,sess-0003-817c0737,plan_and_solve,SUCCESS,s3,mock_heavy,success,808.36,500,0,,7.0,7.0,False
1774790133.212343,sess-0014-6fef7495,plan_and_solve,SUCCESS,s1,calculate,success,151.13,500,10,,3.0,3.0,False
1774790133.363513,sess-0014-6fef7495,plan_and_solve,SUCCESS,s2,web_fetch,success,311.74,500,10,,3.0,3.0,False
1774790133.675454,sess-0014-6fef7495,plan_and_solve,SUCCESS,s3,calculate,success,746.79,500,0,,3.0,3.0,False
1774790132.837313,sess-0010-e6361b5a,plan_and_solve,SUCCESS,s1,calculate,success,89.10,500,0,,9.0,9.0,False
1774790132.926572,sess-0010-e6361b5a,plan_and_solve,SUCCESS,s2,calculate,success,55.70,500,0,,9.0,9.0,False
1774790132.982438,sess-0010-e6361b5a,plan_and_solve,SUCCESS,s3,web_fetch,success,247.97,500,0,,9.0,9.0,False
1774790133.230536,sess-0010-e6361b5a,plan_and_solve,SUCCESS,s4,calculate,success,140.80,500,10,,9.0,9.0,False
1774790133.371445,sess-0010-e6361b5a,plan_and_solve,SUCCESS,s5,mock_heavy,success,1053.82,500,10,,9.0,9.0,False
1774790132.537735,sess-0005-5a9fd1a8,plan_and_solve,CASCADE_FAILED,s1,mock_heavy,success,807.86,500,0,,7.0,0.0,False
1774790133.345664,sess-0005-5a9fd1a8,plan_and_solve,CASCADE_FAILED,s2,calculate,success,103.14,500,10,,7.0,0.0,False
1774790133.449142,sess-0005-5a9fd1a8,plan_and_solve,CASCADE_FAILED,s3,calculate,success,371.36,500,10,,7.0,0.0,False
1774790133.820684,sess-0005-5a9fd1a8,plan_and_solve,CASCADE_FAILED,s4,calculate,error,1005.99,500,,,7.0,0.0,False
1774790132.171529,sess-0001-74e959c2,plan_and_solve,SUCCESS,s1,mock_heavy,success,809.21,500,0,,11.0,11.0,False
1774790132.980889,sess-0001-74e959c2,plan_and_solve,SUCCESS,s2,mock_heavy,success,809.33,500,0,,11.0,11.0,False
1774790133.790320,sess-0001-74e959c2,plan_and_solve,SUCCESS,s3,web_fetch,success,1044.22,500,0,,11.0,11.0,False
1774790133.860834,sess-0032-6d5808cc,plan_and_solve,REJECTED_AT_STEP_0,s1,web_fetch,error,1009.58,500,,,0.0,0.0,False
1774790133.866216,sess-0033-cb6bffb1,plan_and_solve,REJECTED_AT_STEP_0,s1,web_fetch,error,1009.53,500,,,0.0,0.0,False
1774790132.690301,sess-0008-4cb51708,plan_and_solve,SUCCESS,s1,mock_heavy,success,807.67,500,0,,7.0,7.0,False
1774790133.498086,sess-0008-4cb51708,plan_and_solve,SUCCESS,s2,web_fetch,success,609.56,500,20,,7.0,7.0,False
1774790134.107721,sess-0008-4cb51708,plan_and_solve,SUCCESS,s3,web_fetch,success,1128.55,500,20,,7.0,7.0,False
1774790132.753460,sess-0009-db04ef08,plan_and_solve,SUCCESS,s1,calculate,success,7.84,500,0,,14.0,14.0,False
1774790132.761471,sess-0009-db04ef08,plan_and_solve,SUCCESS,s2,calculate,success,6.28,500,0,,14.0,14.0,False
1774790132.767828,sess-0009-db04ef08,plan_and_solve,SUCCESS,s3,web_fetch,success,156.91,500,0,,14.0,14.0,False
1774790132.924952,sess-0009-db04ef08,plan_and_solve,SUCCESS,s4,web_fetch,success,183.52,500,0,,14.0,14.0,False
1774790133.108607,sess-0009-db04ef08,plan_and_solve,SUCCESS,s5,mock_heavy,success,808.15,500,0,,14.0,14.0,False
1774790133.916885,sess-0009-db04ef08,plan_and_solve,SUCCESS,s6,mock_heavy,success,1819.66,500,0,,14.0,14.0,False
1774790135.348352,sess-0052-e8c39671,plan_and_solve,REJECTED_AT_STEP_0,s1,mock_heavy,error,1008.31,500,,,0.0,0.0,False
1774790132.839919,sess-0011-792154d4,plan_and_solve,CASCADE_FAILED,s1,web_fetch,success,240.11,500,0,,9.0,0.0,False
