gateway,run_idx,sweep_key,sweep_val,success,rejected_s0,cascade_failed,raw_goodput,effective_goodput,raw_goodput_s,effective_goodput_s,p50_ms,p95_ms,p99_ms,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms,csv,error
ng,1,concurrency,10,200,0,0,2124.0,2124.0,67.52,67.52,155.6,808.0,1435.0,1289.7,3346.3,4186.1,ng_concurrency10_run1.csv,
ng,2,concurrency,10,200,0,0,2124.0,2124.0,69.16,69.16,156.9,808.5,810.1,1293.9,2752.6,3805.0,ng_concurrency10_run2.csv,
ng,3,concurrency,10,200,0,0,2124.0,2124.0,65.92,65.92,157.2,808.7,1554.1,1301.4,3554.0,4637.4,ng_concurrency10_run3.csv,
ng,4,concurrency,10,200,0,0,2124.0,2124.0,67.53,67.53,156.3,808.5,934.0,1296.8,3111.9,4200.8,ng_concurrency10_run4.csv,
ng,5,concurrency,10,200,0,0,2124.0,2124.0,67.41,67.41,156.9,808.7,812.8,1302.5,3541.6,4084.7,ng_concurrency10_run5.csv,
srl,1,concurrency,10,200,0,0,2124.0,2124.0,67.37,67.37,157.1,808.6,1398.0,1298.5,3247.8,4195.5,srl_concurrency10_run1.csv,
srl,2,concurrency,10,200,0,0,2124.0,2124.0,67.48,67.48,156.9,808.5,1365.0,1296.3,3248.8,4216.7,srl_concurrency10_run2.csv,
srl,3,concurrency,10,200,0,0,2124.0,2124.0,67.37,67.37,157.0,808.6,1385.1,1292.6,3301.5,4133.1,srl_concurrency10_run3.csv,
srl,4,concurrency,10,200,0,0,2124.0,2124.0,67.36,67.36,156.9,808.5,810.1,1293.6,2756.0,4196.6,srl_concurrency10_run4.csv,
srl,5,concurrency,10,200,0,0,2124.0,2124.0,67.38,67.38,157.0,808.6,938.1,1301.1,3441.5,4101.0,srl_concurrency10_run5.csv,
rajomon,1,concurrency,10,154,37,9,1722.0,1654.0,67.24,64.58,155.4,808.0,1589.1,1299.6,3141.8,4192.5,rajomon_concurrency10_run1.csv,
rajomon,2,concurrency,10,181,12,7,1981.0,1922.0,68.79,66.74,156.7,808.4,1376.6,1295.7,3291.5,4114.1,rajomon_concurrency10_run2.csv,
rajomon,3,concurrency,10,178,16,6,1943.0,1888.0,68.61,66.67,156.8,808.7,925.1,1297.7,3350.5,4190.9,rajomon_concurrency10_run3.csv,
rajomon,4,concurrency,10,200,0,0,2124.0,2124.0,67.36,67.36,157.1,808.6,927.7,1302.6,3164.2,4202.1,rajomon_concurrency10_run4.csv,
rajomon,5,concurrency,10,195,0,5,2107.0,2056.0,68.6,66.94,156.9,808.4,1413.6,1296.1,2900.5,4127.7,rajomon_concurrency10_run5.csv,
dagor,1,concurrency,10,200,0,0,2124.0,2124.0,67.3,67.3,157.0,808.8,1402.9,1297.8,3324.5,4195.5,dagor_concurrency10_run1.csv,
dagor,2,concurrency,10,200,0,0,2124.0,2124.0,65.95,65.95,157.0,809.1,1393.2,1302.6,3397.8,4126.9,dagor_concurrency10_run2.csv,
dagor,3,concurrency,10,200,0,0,2124.0,2124.0,69.06,69.06,155.7,807.9,811.5,1288.9,2899.7,3554.4,dagor_concurrency10_run3.csv,
dagor,4,concurrency,10,200,0,0,2124.0,2124.0,67.4,67.4,156.8,808.2,809.7,1294.1,2750.5,4194.8,dagor_concurrency10_run4.csv,
dagor,5,concurrency,10,200,0,0,2124.0,2124.0,67.3,67.3,157.0,808.5,1387.7,1299.8,3461.6,4118.7,dagor_concurrency10_run5.csv,
sbac,1,concurrency,10,200,0,0,2124.0,2124.0,67.34,67.34,156.8,808.5,943.8,1305.2,3163.2,4194.1,sbac_concurrency10_run1.csv,
sbac,2,concurrency,10,200,0,0,2124.0,2124.0,67.2,67.2,157.0,808.5,1445.0,1299.0,3540.4,4172.1,sbac_concurrency10_run2.csv,
sbac,3,concurrency,10,200,0,0,2124.0,2124.0,67.36,67.36,157.0,808.7,934.4,1296.4,3296.1,4192.3,sbac_concurrency10_run3.csv,
sbac,4,concurrency,10,200,0,0,2124.0,2124.0,67.47,67.47,156.9,808.7,1389.2,1297.8,3250.9,4216.4,sbac_concurrency10_run4.csv,
sbac,5,concurrency,10,200,0,0,2124.0,2124.0,67.2,67.2,157.0,808.4,943.3,1296.4,3057.3,4985.9,sbac_concurrency10_run5.csv,
plangate_full,1,concurrency,10,184,16,0,1921.0,1921.0,69.31,69.31,157.5,809.5,811.2,1289.4,2753.3,3566.3,plangate_full_concurrency10_run1.csv,
plangate_full,2,concurrency,10,184,16,0,1921.0,1921.0,66.1,66.1,157.2,809.1,810.4,1296.1,2909.7,4197.7,plangate_full_concurrency10_run2.csv,
plangate_full,3,concurrency,10,184,16,0,1921.0,1921.0,66.23,66.23,156.8,809.0,1409.3,1287.8,3317.8,4190.2,plangate_full_concurrency10_run3.csv,
plangate_full,4,concurrency,10,183,17,0,1910.0,1910.0,65.73,65.73,157.4,809.7,1432.2,1295.0,3511.0,4166.0,plangate_full_concurrency10_run4.csv,
plangate_full,5,concurrency,10,183,17,0,1910.0,1910.0,67.72,67.72,157.7,809.7,813.6,1297.9,2915.5,3559.3,plangate_full_concurrency10_run5.csv,
ng,1,concurrency,20,200,0,0,2124.0,2124.0,63.57,63.57,443.8,1271.4,2436.5,2955.8,5479.5,6518.0,ng_concurrency20_run1.csv,
ng,2,concurrency,20,200,0,0,2124.0,2124.0,64.63,64.63,442.6,1246.4,1935.4,2839.9,5146.8,6017.4,ng_concurrency20_run2.csv,
ng,3,concurrency,20,200,0,0,2124.0,2124.0,65.33,65.33,452.5,1218.6,1808.4,2989.5,5165.7,6522.8,ng_concurrency20_run3.csv,
ng,4,concurrency,20,200,0,0,2124.0,2124.0,65.28,65.28,451.8,1232.8,2287.2,2877.8,5317.1,6567.8,ng_concurrency20_run4.csv,
ng,5,concurrency,20,200,0,0,2124.0,2124.0,65.07,65.07,444.1,1206.1,2320.9,2971.4,5237.6,5860.9,ng_concurrency20_run5.csv,
srl,1,concurrency,20,200,0,0,2124.0,2124.0,65.03,65.03,448.8,1259.0,1972.3,2908.6,5347.1,5976.2,srl_concurrency20_run1.csv,
srl,2,concurrency,20,199,0,1,2123.0,2116.0,64.68,64.47,446.4,1260.5,2022.2,3007.9,5098.2,6449.9,srl_concurrency20_run2.csv,
srl,3,concurrency,20,200,0,0,2124.0,2124.0,65.16,65.16,443.6,1208.6,1849.8,2993.8,5369.3,6042.4,srl_concurrency20_run3.csv,
srl,4,concurrency,20,200,0,0,2124.0,2124.0,64.71,64.71,442.4,1238.0,2081.1,2956.5,5279.4,6331.0,srl_concurrency20_run4.csv,
srl,5,concurrency,20,200,0,0,2124.0,2124.0,65.46,65.46,447.1,1221.9,1678.3,2950.1,5061.0,6384.6,srl_concurrency20_run5.csv,
rajomon,1,concurrency,20,26,162,12,394.0,321.0,30.75,25.05,5.8,1151.4,1283.8,2993.9,4996.5,5160.6,rajomon_concurrency20_run1.csv,
rajomon,2,concurrency,20,27,162,11,408.0,325.0,28.74,22.89,9.2,1159.2,1274.3,2936.2,5126.9,5220.9,rajomon_concurrency20_run2.csv,
rajomon,3,concurrency,20,27,159,14,411.0,311.0,32.02,24.23,14.5,1108.9,1272.1,2906.8,4825.6,5424.9,rajomon_concurrency20_run3.csv,
