session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0000-fb3dfbd7,plan_and_solve,SUCCESS,3,500,7.0,7.0,822.13,1774965343.620838,1774965344.443511
sess-0003-a0943160,plan_and_solve,SUCCESS,3,500,7.0,7.0,973.25,1774965343.944931,1774965344.918730
sess-0008-28a037a2,plan_and_solve,SUCCESS,3,500,7.0,7.0,1124.46,1774965344.175521,1774965345.300418
sess-0004-ffe8973e,plan_and_solve,SUCCESS,7,500,11.0,11.0,1300.36,1774965344.008426,1774965345.309833
sess-0010-79fecca8,plan_and_solve,SUCCESS,5,500,9.0,9.0,983.03,1774965344.443624,1774965345.427474
sess-0001-1b0b5a23,plan_and_solve,SUCCESS,3,500,11.0,11.0,1775.36,1774965343.653504,1774965345.429306
sess-0014-121b1022,plan_and_solve,SUCCESS,3,500,3.0,3.0,169.10,1774965345.427624,1774965345.597185
sess-0005-55cbb525,plan_and_solve,SUCCESS,5,500,13.0,13.0,1639.61,1774965344.021335,1774965345.661610
sess-0007-bedec4c6,plan_and_solve,SUCCESS,6,500,14.0,14.0,1944.15,1774965344.038795,1774965345.983908
sess-0009-b398eef1,plan_and_solve,SUCCESS,6,500,14.0,14.0,1944.53,1774965344.238458,1774965346.183771
sess-0016-a900d692,plan_and_solve,SUCCESS,5,500,9.0,9.0,983.04,1774965345.597267,1774965346.581094
sess-0012-37941001,plan_and_solve,SUCCESS,6,500,10.0,10.0,1291.82,1774965345.300506,1774965346.593249
sess-0015-2f6281de,plan_and_solve,SUCCESS,7,500,11.0,11.0,1301.32,1774965345.429401,1774965346.731983
sess-0011-64681e18,plan_and_solve,SUCCESS,7,500,15.0,15.0,1952.95,1774965344.918826,1774965346.872787
sess-0013-074308b5,plan_and_solve,SUCCESS,4,500,12.0,12.0,1626.51,1774965345.309965,1774965346.937028
sess-0002-2b2e5e4e,plan_and_solve,SUCCESS,7,500,23.0,23.0,3552.95,1774965343.855198,1774965347.409230
sess-0025-9b06b887,plan_and_solve,SUCCESS,4,500,4.0,4.0,25.39,1774965347.409308,1774965347.435278
sess-0006-4fa11716,plan_and_solve,SUCCESS,7,500,23.0,23.0,3553.70,1774965344.034040,1774965347.588613
sess-0019-28202f3f,plan_and_solve,SUCCESS,7,500,15.0,15.0,1949.41,1774965346.183861,1774965348.134184
