session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0009-a9eeeeec,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,5.15,1774788927.389461,1774788927.395079
sess-0011-4aefbb48,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,5.10,1774788927.474767,1774788927.480258
sess-0000-edeb5ab8,plan_and_solve,SUCCESS,3,500,7.0,7.0,825.84,1774788926.775887,1774788927.602331
sess-0012-e7f490a1,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.92,1774788927.709492,1774788927.713701
sess-0013-716cbc49,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.96,1774788927.831347,1774788927.834589
sess-0014-1c8599dc,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,3.08,1774788927.849210,1774788927.852499
sess-0015-b1d96ac3,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.38,1774788927.863123,1774788927.866754
sess-0016-5216659c,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.16,1774788927.877328,1774788927.880724
sess-0017-c8bd72be,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.04,1774788927.902322,1774788927.905704
sess-0018-8792c4a8,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.59,1774788927.953460,1774788927.957340
sess-0019-b2ab2e5f,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.25,1774788927.992083,1774788927.995571
sess-0020-7a81353e,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,3.34,1774788928.016033,1774788928.019588
sess-0003-a81fd4a5,plan_and_solve,SUCCESS,3,500,7.0,7.0,978.26,1774788927.099066,1774788928.078155
sess-0021-c11a46d3,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.85,1774788928.079725,1774788928.083834
sess-0022-51cf61d3,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.03,1774788928.090495,1774788928.093781
sess-0023-113a4fc6,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.91,1774788928.114398,1774788928.117543
sess-0024-fd2683b8,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.34,1774788928.146520,1774788928.149079
sess-0025-6065c32b,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.52,1774788928.188345,1774788928.190991
sess-0008-19f4c351,plan_and_solve,SUCCESS,3,500,7.0,7.0,1129.29,1774788927.327179,1774788928.456983
sess-0010-74f61352,plan_and_solve,SUCCESS,5,500,9.0,9.0,984.86,1774788927.473069,1774788928.458741
sess-0004-d594e439,plan_and_solve,SUCCESS,7,500,11.0,11.0,1312.41,1774788927.161519,1774788928.475163
sess-0001-6a6ab717,plan_and_solve,SUCCESS,3,500,11.0,11.0,1801.03,1774788926.808076,1774788928.609558
sess-0005-5c35c29a,plan_and_solve,SUCCESS,5,500,13.0,13.0,1651.26,1774788927.174723,1774788928.826864
sess-0035-f7baad96,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.74,1774788928.929762,1774788928.934085
sess-0036-6f9a50f7,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,4.07,1774788929.040858,1774788929.045189
sess-0037-89aa62e1,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.41,1774788929.065839,1774788929.069669
sess-0038-432aa33e,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.46,1774788929.073329,1774788929.077035
sess-0031-58fa2d58,plan_and_solve,SUCCESS,5,500,5.0,5.0,643.61,1774788928.485458,1774788929.130017
sess-0032-6be2a697,plan_and_solve,SUCCESS,4,500,4.0,4.0,648.84,1774788928.498404,1774788929.147910
sess-0039-d1660c9e,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.04,1774788929.151453,1774788929.154814
sess-0040-6df4f582,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.55,1774788929.192401,1774788929.196340
sess-0041-810e8da4,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,3.21,1774788929.202093,1774788929.205521
sess-0042-74834e2b,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,3.11,1774788929.249412,1774788929.252785
