session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0000-4e7ccd6d,plan_and_solve,SUCCESS,3,500,7.0,7.0,817.06,1774787500.742541,1774787501.559874
sess-0003-df997451,plan_and_solve,SUCCESS,3,500,7.0,7.0,977.34,1774787501.066655,1774787502.044512
sess-0008-bea32530,plan_and_solve,SUCCESS,3,500,7.0,7.0,1122.13,1774787501.294487,1774787502.417050
sess-0004-b6db915a,plan_and_solve,SUCCESS,7,500,11.0,11.0,1292.22,1774787501.128654,1774787502.421754
sess-0010-fe1c49a9,plan_and_solve,SUCCESS,5,500,9.0,9.0,972.47,1774787501.559921,1774787502.532870
sess-0001-d7d08e31,plan_and_solve,SUCCESS,3,500,11.0,11.0,1768.44,1774787500.775061,1774787502.543824
sess-0014-ea80bf0a,plan_and_solve,SUCCESS,3,500,3.0,3.0,173.75,1774787502.532972,1774787502.707216
sess-0005-0d434fb8,plan_and_solve,SUCCESS,5,500,13.0,13.0,1621.24,1774787501.141656,1774787502.763331
sess-0007-25c3feaf,plan_and_solve,SUCCESS,6,500,14.0,14.0,1940.51,1774787501.159572,1774787503.100895
sess-0009-fb873a73,plan_and_solve,SUCCESS,6,500,14.0,14.0,1941.91,1774787501.356157,1774787503.299148
sess-0016-3fe76444,plan_and_solve,SUCCESS,5,500,9.0,9.0,986.73,1774787502.707403,1774787503.695035
sess-0012-4e25830b,plan_and_solve,SUCCESS,6,500,10.0,10.0,1292.87,1774787502.417207,1774787503.710914
sess-0015-1182fc59,plan_and_solve,SUCCESS,7,500,11.0,11.0,1301.47,1774787502.543908,1774787503.846745
sess-0011-717d44a3,plan_and_solve,SUCCESS,7,500,15.0,15.0,1945.79,1774787502.044736,1774787503.991753
sess-0013-8b78626b,plan_and_solve,SUCCESS,4,500,12.0,12.0,1627.56,1774787502.421850,1774787504.049953
sess-0002-8132cbc5,plan_and_solve,SUCCESS,7,500,23.0,23.0,3545.10,1774787500.976673,1774787504.522556
sess-0025-64d1a0e6,plan_and_solve,SUCCESS,4,500,4.0,4.0,23.54,1774787504.522657,1774787504.546734
sess-0006-5dca1a5d,plan_and_solve,SUCCESS,7,500,23.0,23.0,3541.95,1774787501.154900,1774787504.697761
sess-0019-5b6f3b8d,plan_and_solve,SUCCESS,7,500,15.0,15.0,1948.52,1774787503.299251,1774787505.248904
sess-0020-62be7f13,plan_and_solve,SUCCESS,4,500,12.0,12.0,1783.75,1774787503.695096,1774787505.479562
sess-0017-769608b1,plan_and_solve,SUCCESS,7,500,19.0,19.0,2749.57,1774787502.763429,1774787505.514079
sess-0021-689488b2,plan_and_solve,SUCCESS,7,500,15.0,15.0,1945.34,1774787503.710956,1774787505.657171
sess-0026-9070eb22,plan_and_solve,SUCCESS,7,500,11.0,11.0,1144.40,1774787504.546824,1774787505.692397
sess-0018-837ed750,plan_and_solve,SUCCESS,7,500,19.0,19.0,2598.85,1774787503.100991,1774787505.700953
sess-0023-1ec3f2b5,plan_and_solve,SUCCESS,5,500,13.0,13.0,1785.46,1774787503.991858,1774787505.778279
