session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0000-43482aac,plan_and_solve,SUCCESS,3,500,7.0,7.0,846.45,1774789598.034928,1774789598.881748
sess-0003-2053c94a,plan_and_solve,SUCCESS,3,500,7.0,7.0,972.29,1774789598.357119,1774789599.329800
sess-0010-4c4ca807,plan_and_solve,SUCCESS,5,500,9.0,9.0,1525.10,1774789598.729266,1774789600.255251
sess-0005-05504a11,plan_and_solve,CASCADE_FAILED,5,500,6.0,0.0,1866.65,1774789598.432163,1774789600.299257
sess-0001-e07fd693,plan_and_solve,SUCCESS,3,500,11.0,11.0,2694.36,1774789598.067360,1774789600.762395
sess-0012-32718759,plan_and_solve,CASCADE_FAILED,6,500,6.0,0.0,1847.81,1774789598.966419,1774789600.814751
sess-0021-5f3ce7b0,plan_and_solve,CASCADE_FAILED,7,500,1.0,0.0,1496.34,1774789599.334452,1774789600.831178
sess-0023-c4a857e2,plan_and_solve,CASCADE_FAILED,5,500,1.0,0.0,1689.86,1774789599.370981,1774789601.061139
sess-0014-cfc711a4,plan_and_solve,SUCCESS,3,500,3.0,3.0,1997.33,1774789599.104146,1774789601.101988
sess-0008-57dc6b0f,plan_and_solve,SUCCESS,3,500,7.0,7.0,2683.50,1774789598.584586,1774789601.268615
sess-0009-2cf8cf19,plan_and_solve,SUCCESS,6,500,14.0,14.0,3093.85,1774789598.646504,1774789601.741524
sess-0011-287d439e,plan_and_solve,CASCADE_FAILED,7,500,9.0,0.0,3598.50,1774789598.732133,1774789602.331665
sess-0004-b0ff0ef7,plan_and_solve,SUCCESS,7,500,11.0,11.0,4022.28,1774789598.419065,1774789602.442600
sess-0027-b6a4ecea,plan_and_solve,CASCADE_FAILED,4,500,6.0,0.0,3462.46,1774789599.564426,1774789603.027370
sess-0048-9b15b443,plan_and_solve,CASCADE_FAILED,6,500,1.0,0.0,1936.92,1774789601.102029,1774789603.039249
sess-0025-9cff54a8,plan_and_solve,CASCADE_FAILED,4,500,3.0,0.0,3602.59,1774789599.444574,1774789603.047789
sess-0002-86a28b57,plan_and_solve,CASCADE_FAILED,7,500,13.0,0.0,4779.59,1774789598.268847,1774789603.049488
sess-0036-fe3c2156,plan_and_solve,CASCADE_FAILED,6,500,2.0,0.0,2915.47,1774789600.299737,1774789603.215836
sess-0041-ebc74cfb,plan_and_solve,CASCADE_FAILED,3,500,2.0,0.0,2907.24,1774789600.459857,1774789603.367643
sess-0013-73033fd6,plan_and_solve,SUCCESS,4,500,12.0,12.0,4287.42,1774789599.086736,1774789603.374730
sess-0007-10ffe1d0,plan_and_solve,SUCCESS,6,500,14.0,14.0,4994.55,1774789598.449474,1774789603.444930
sess-0016-584afc65,plan_and_solve,SUCCESS,5,500,9.0,9.0,4359.21,1774789599.132483,1774789603.492459
sess-0043-8ad87fa7,plan_and_solve,SUCCESS,3,500,3.0,3.0,3097.96,1774789600.510005,1774789603.608548
sess-0032-c20d82b0,plan_and_solve,SUCCESS,4,500,4.0,4.0,4109.92,1774789599.756839,1774789603.867584
sess-0020-91f72374,plan_and_solve,SUCCESS,4,500,12.0,12.0,4760.50,1774789599.270308,1774789604.031688
sess-0045-18865acd,plan_and_solve,SUCCESS,3,500,7.0,7.0,3527.85,1774789600.814804,1774789604.343177
sess-0058-3127e2d7,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1007.74,1774789603.367732,1774789604.375727
sess-0059-6747e70f,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1007.66,1774789603.374873,1774789604.382766
sess-0033-3589e692,plan_and_solve,CASCADE_FAILED,5,500,7.0,0.0,4650.47,1774789599.762592,1774789604.413823
sess-0026-0e2ac269,plan_and_solve,CASCADE_FAILED,7,500,4.0,0.0,4870.31,1774789599.548870,1774789604.420073
sess-0060-61a326b4,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1007.21,1774789603.445030,1774789604.452502
sess-0028-0a18cae4,plan_and_solve,SUCCESS,4,500,8.0,8.0,5048.39,1774789599.613816,1774789604.662938
