session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0000-95fa37a6,plan_and_solve,SUCCESS,3,500,7.0,7.0,844.68,1774789241.175987,1774789242.021180
sess-0003-64e34aa9,plan_and_solve,SUCCESS,3,500,7.0,7.0,979.23,1774789241.497574,1774789242.477312
sess-0014-5e84111e,plan_and_solve,SUCCESS,3,500,3.0,3.0,1134.29,1774789242.246969,1774789243.381891
sess-0010-54add291,plan_and_solve,SUCCESS,5,500,9.0,9.0,1518.39,1774789241.872792,1774789243.392223
sess-0008-0a9fca90,plan_and_solve,SUCCESS,3,500,7.0,7.0,1702.20,1774789241.726554,1774789243.429417
sess-0022-0ee610c5,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1009.51,1774789242.489429,1774789243.499287
sess-0002-7554bba8,plan_and_solve,CASCADE_FAILED,7,500,7.0,0.0,2194.51,1774789241.409389,1774789243.604553
sess-0001-cb6fa136,plan_and_solve,SUCCESS,3,500,11.0,11.0,2443.06,1774789241.207687,1774789243.651203
sess-0030-ef9bbfb6,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1012.28,1774789242.817778,1774789243.830342
sess-0009-4dbacaee,plan_and_solve,SUCCESS,6,500,14.0,14.0,2731.34,1774789241.789466,1774789244.521824
sess-0033-96c714f8,plan_and_solve,CASCADE_FAILED,5,500,1.0,0.0,1949.16,1774789242.900610,1774789244.850208
sess-0005-82c01011,plan_and_solve,SUCCESS,5,500,13.0,13.0,3577.39,1774789241.573068,1774789245.151369
sess-0013-39a2a160,plan_and_solve,CASCADE_FAILED,4,500,7.0,0.0,3755.95,1774789242.229874,1774789245.986610
sess-0029-f17cb09a,plan_and_solve,CASCADE_FAILED,7,500,6.0,0.0,3175.23,1774789242.814403,1774789245.990178
sess-0024-626f12e0,plan_and_solve,CASCADE_FAILED,5,500,6.0,0.0,3447.67,1774789242.544561,1774789245.992831
sess-0035-0a6566ba,plan_and_solve,CASCADE_FAILED,7,500,2.0,0.0,2742.05,1774789243.326016,1774789246.068779
