session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0000-a9455f89,react,SUCCESS,1,500,1.0,1.0,6.62,1775020934.990999,1775020934.997680
sess-0002-ff47dfe9,react,SUCCESS,1,500,1.0,1.0,10.70,1775020935.225404,1775020935.236301
sess-0005-23c21d76,react,SUCCESS,1,500,1.0,1.0,7.96,1775020935.388571,1775020935.396660
sess-0001-ba4a859f,react,CASCADE_FAILED,6,500,5.0,0.0,810.58,1775020935.023022,1775020935.833841
sess-0011-c2ce91d3,react,CASCADE_FAILED,4,500,1.0,0.0,164.63,1775020935.688792,1775020935.853673
sess-0004-fc5c8ec2,react,CASCADE_FAILED,7,500,3.0,0.0,483.00,1775020935.375229,1775020935.859884
sess-0013-6ff52f3b,react,SUCCESS,1,500,1.0,1.0,159.34,1775020936.044555,1775020936.204251
sess-0007-b64de578,react,SUCCESS,2,500,6.0,6.0,812.60,1775020935.405427,1775020936.218327
sess-0017-57834f6c,react,SUCCESS,1,500,1.0,1.0,6.17,1775020936.218407,1775020936.224691
sess-0010-9544e743,react,SUCCESS,4,500,8.0,8.0,835.98,1775020935.686405,1775020936.522752
sess-0019-65884601,react,SUCCESS,1,500,1.0,1.0,11.11,1775020936.523026,1775020936.534254
sess-0016-4c7aa272,react,CASCADE_FAILED,5,500,3.0,0.0,330.70,1775020936.204366,1775020936.535622
sess-0020-56ef5f9d,react,REJECTED_AT_STEP_0,3,500,0.0,0.0,2.51,1775020936.534389,1775020936.537006
sess-0021-ee30f6a1,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,2.46,1775020936.535713,1775020936.538280
sess-0022-79a990fb,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.26,1775020936.537123,1775020936.539485
sess-0023-47370a5f,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.40,1775020936.538378,1775020936.540879
sess-0024-c2cc41c0,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.53,1775020936.539566,1775020936.542197
sess-0025-93041d0b,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.39,1775020936.540958,1775020936.543447
sess-0026-2606bf81,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.51,1775020936.542297,1775020936.545004
sess-0027-7f44fc6a,react,REJECTED_AT_STEP_0,3,500,0.0,0.0,1.79,1775020936.543587,1775020936.545471
sess-0009-94cfba2d,react,CASCADE_FAILED,4,500,6.0,0.0,967.24,1775020935.603207,1775020936.570979
sess-0028-36f84f67,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.09,1775020936.572607,1775020936.574866
sess-0029-05120573,react,CASCADE_FAILED,4,500,3.0,0.0,326.61,1775020936.633520,1775020936.960744
sess-0032-62433e4d,react,REJECTED_AT_STEP_0,1,500,0.0,0.0,1.83,1775020936.960906,1775020936.962858
sess-0033-eabf35d6,react,REJECTED_AT_STEP_0,3,500,0.0,0.0,1.64,1775020936.962933,1775020936.964679
