gateway,run_idx,sweep_key,sweep_val,success,rejected_s0,cascade_failed,raw_goodput,effective_goodput,raw_goodput_s,effective_goodput_s,p50_ms,p95_ms,p99_ms,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms,csv,error
ng,1,concurrency,10,200,0,0,1675.0,1675.0,64.3,64.3,157.5,809.5,1638.5,990.3,3250.4,4696.3,ng_concurrency10_run1.csv,
ng,2,concurrency,10,200,0,0,1675.0,1675.0,64.13,64.13,157.9,809.7,1643.6,990.5,3395.0,4520.3,ng_concurrency10_run2.csv,
ng,3,concurrency,10,200,0,0,1675.0,1675.0,64.11,64.11,158.0,809.9,1637.2,1123.6,3236.8,4389.9,ng_concurrency10_run3.csv,
ng,4,concurrency,10,200,0,0,1675.0,1675.0,64.08,64.08,158.1,809.6,1653.3,993.2,3396.5,4413.5,ng_concurrency10_run4.csv,
ng,5,concurrency,10,200,0,0,1675.0,1675.0,64.37,64.37,157.1,809.0,812.6,983.6,2916.8,4382.8,ng_concurrency10_run5.csv,
srl,1,concurrency,10,200,0,0,1675.0,1675.0,68.94,68.94,158.0,809.4,811.2,983.3,2747.4,3393.1,srl_concurrency10_run1.csv,
srl,2,concurrency,10,200,0,0,1675.0,1675.0,69.04,69.04,157.4,809.1,811.0,980.8,2738.7,3394.2,srl_concurrency10_run2.csv,
srl,3,concurrency,10,200,0,0,1675.0,1675.0,68.87,68.87,158.0,809.7,811.8,982.2,2743.2,3387.3,srl_concurrency10_run3.csv,
srl,4,concurrency,10,200,0,0,1675.0,1675.0,69.06,69.06,157.1,808.9,810.6,982.4,2733.0,3401.2,srl_concurrency10_run4.csv,
srl,5,concurrency,10,200,0,0,1675.0,1675.0,64.28,64.28,157.8,809.7,1782.7,987.4,3242.0,5021.0,srl_concurrency10_run5.csv,
rajomon,1,concurrency,10,172,19,9,1454.0,1394.0,64.66,61.99,158.2,809.9,1785.2,983.0,3246.8,5049.5,rajomon_concurrency10_run1.csv,
rajomon,2,concurrency,10,166,27,7,1402.0,1356.0,64.52,62.4,157.8,809.5,2662.3,977.8,3477.9,4607.8,rajomon_concurrency10_run2.csv,
rajomon,3,concurrency,10,196,0,4,1660.0,1619.0,64.96,63.35,158.1,810.0,1662.1,989.3,3136.2,4112.6,rajomon_concurrency10_run3.csv,
rajomon,4,concurrency,10,190,3,7,1608.0,1556.0,65.75,63.62,158.1,809.7,1600.6,983.7,3248.0,4691.3,rajomon_concurrency10_run4.csv,
rajomon,5,concurrency,10,189,5,6,1581.0,1542.0,65.68,64.06,158.0,809.4,1619.3,989.3,3252.3,4363.0,rajomon_concurrency10_run5.csv,
dagor,1,concurrency,10,79,76,45,738.0,495.0,49.48,33.19,10.8,809.2,811.4,808.3,2589.8,2759.4,dagor_concurrency10_run1.csv,
dagor,2,concurrency,10,63,90,47,661.0,364.0,39.57,21.79,8.7,809.2,1018.6,493.4,2593.4,3738.3,dagor_concurrency10_run2.csv,
