session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0000-03104e76,react,SUCCESS,1,500,1.0,1.0,5.62,1775021378.378568,1775021378.384247
sess-0002-579ba3c0,react,SUCCESS,1,500,1.0,1.0,7.19,1775021378.613572,1775021378.620894
sess-0005-c5f5f317,react,SUCCESS,1,500,1.0,1.0,8.33,1775021378.777412,1775021378.785880
sess-0011-4bcf1c16,react,SUCCESS,4,500,4.0,4.0,329.98,1775021379.076645,1775021379.407301
sess-0013-1384a780,react,SUCCESS,1,500,1.0,1.0,158.00,1775021379.430887,1775021379.589046
sess-0017-e390e962,react,SUCCESS,1,500,1.0,1.0,96.92,1775021379.501168,1775021379.598215
sess-0007-90b5eb43,react,SUCCESS,2,500,6.0,6.0,814.24,1775021378.793740,1775021379.608241
sess-0019-51a7007e,react,SUCCESS,1,500,1.0,1.0,169.68,1775021379.590591,1775021379.760432
sess-0010-6ef5b9d5,react,SUCCESS,4,500,8.0,8.0,830.76,1775021379.074214,1775021379.905505
sess-0018-678c6c35,react,SUCCESS,1,500,5.0,5.0,869.20,1775021379.551784,1775021380.421139
sess-0003-2223c23b,react,SUCCESS,3,500,11.0,11.0,2156.91,1775021378.702491,1775021380.859934
sess-0014-f08ca460,react,SUCCESS,5,500,9.0,9.0,1938.58,1775021379.447466,1775021381.386689
sess-0021-b61b02d5,react,SUCCESS,2,500,6.0,6.0,1743.03,1775021379.678608,1775021381.421960
sess-0006-6f446315,react,SUCCESS,4,500,12.0,12.0,2648.25,1775021378.789323,1775021381.438145
sess-0020-1506f89a,react,SUCCESS,3,500,7.0,7.0,1849.16,1775021379.614148,1775021381.463849
sess-0009-1462b7a0,react,SUCCESS,4,500,12.0,12.0,2705.11,1775021378.991150,1775021381.696815
sess-0008-bb6a0b4f,react,SUCCESS,6,500,14.0,14.0,3079.51,1775021378.928659,1775021382.008950
sess-0030-8bc3ba37,react,SUCCESS,2,500,6.0,6.0,1501.30,1775021380.860034,1775021382.361644
sess-0029-42c8e830,react,SUCCESS,4,500,4.0,4.0,1998.20,1775021380.421226,1775021382.419892
sess-0016-aee7e981,react,SUCCESS,5,500,9.0,9.0,3037.98,1775021379.475744,1775021382.514340
sess-0027-0a4af3f4,react,SUCCESS,3,500,11.0,11.0,2623.44,1775021379.907045,1775021382.530821
sess-0037-68651863,react,SUCCESS,1,500,1.0,1.0,290.72,1775021382.361842,1775021382.652693
sess-0012-81cd9036,react,SUCCESS,5,500,13.0,13.0,3357.41,1775021379.311232,1775021382.669341
sess-0004-2b27ce83,react,SUCCESS,7,500,15.0,15.0,3915.05,1775021378.764094,1775021382.680058
sess-0032-270770a1,react,SUCCESS,1,500,5.0,5.0,1404.22,1775021381.422053,1775021382.826424
sess-0028-e1c6e8d9,react,SUCCESS,5,500,9.0,9.0,3113.54,1775021379.956001,1775021383.070219
sess-0001-e45bffdc,react,SUCCESS,6,500,22.0,22.0,4790.39,1775021378.411812,1775021383.203148
sess-0026-cd1ff9f4,react,SUCCESS,6,500,10.0,10.0,3327.21,1775021379.890857,1775021383.219042
sess-0034-cf82304f,react,SUCCESS,6,500,6.0,6.0,1897.40,1775021381.463950,1775021383.362176
sess-0035-d62a9630,react,SUCCESS,5,500,5.0,5.0,1720.80,1775021381.696903,1775021383.418424
sess-0025-bfcfe210,react,SUCCESS,5,500,17.0,17.0,3646.69,1775021379.787143,1775021383.434655
sess-0033-08569d2e,react,SUCCESS,3,500,7.0,7.0,2024.89,1775021381.438239,1775021383.463516
sess-0041-0c211ec4,react,SUCCESS,3,500,3.0,3.0,951.91,1775021382.652777,1775021383.605019
sess-0042-59fde9e6,react,SUCCESS,4,500,4.0,4.0,999.59,1775021382.669481,1775021383.669582
sess-0046-164619e5,react,SUCCESS,2,500,2.0,2.0,525.66,1775021383.203248,1775021383.729176
sess-0050-f1608e57,react,SUCCESS,1,500,1.0,1.0,362.69,1775021383.434747,1775021383.797584
sess-0023-bb28a6e5,react,SUCCESS,7,500,15.0,15.0,4141.99,1775021379.714365,1775021383.857491
sess-0036-93d8150e,react,SUCCESS,3,500,7.0,7.0,1854.99,1775021382.009033,1775021383.864450
sess-0022-13aec41d,react,SUCCESS,6,500,18.0,18.0,4340.11,1775021379.690222,1775021384.031327
sess-0024-79385641,react,SUCCESS,4,500,20.0,20.0,4374.27,1775021379.745774,1775021384.120577
sess-0043-81d371f5,react,SUCCESS,5,500,5.0,5.0,1603.68,1775021382.680235,1775021384.284839
sess-0015-960b0b6c,react,SUCCESS,7,500,23.0,23.0,4869.62,1775021379.461386,1775021384.331873
sess-0048-15d93c61,react,SUCCESS,3,500,3.0,3.0,1108.33,1775021383.362325,1775021384.471138
sess-0058-3695cbb1,react,SUCCESS,1,500,1.0,1.0,452.71,1775021384.031412,1775021384.484296
sess-0038-ef9db617,react,SUCCESS,4,500,8.0,8.0,2246.63,1775021382.419971,1775021384.667150
sess-0057-1391a36f,react,SUCCESS,3,500,3.0,3.0,881.34,1775021383.864545,1775021384.746350
sess-0049-44adae23,react,SUCCESS,3,500,7.0,7.0,1379.36,1775021383.418510,1775021384.798287
sess-0052-fc2bcf99,react,SUCCESS,4,500,4.0,4.0,1253.04,1775021383.605106,1775021384.858630
sess-0054-ba893fc4,react,SUCCESS,3,500,3.0,3.0,1183.01,1775021383.729257,1775021384.912870
sess-0044-b5fbeff9,react,SUCCESS,6,500,10.0,10.0,2102.30,1775021382.826513,1775021384.929587
sess-0047-3d14d1b3,react,SUCCESS,5,500,5.0,5.0,1778.09,1775021383.219141,1775021384.997976
sess-0051-3069ee2d,react,SUCCESS,4,500,8.0,8.0,1719.49,1775021383.463594,1775021385.183619
sess-0068-722216d7,react,SUCCESS,1,500,1.0,1.0,272.19,1775021384.912946,1775021385.185260
sess-0056-af2ad6ab,react,SUCCESS,2,500,6.0,6.0,1509.56,1775021383.857599,1775021385.367409
sess-0039-b35ad9fe,react,SUCCESS,5,500,13.0,13.0,2970.87,1775021382.514421,1775021385.485939
sess-0031-4b9609e2,react,SUCCESS,5,500,17.0,17.0,4113.60,1775021381.386738,1775021385.500970
sess-0061-23261a46,react,SUCCESS,3,500,7.0,7.0,1852.47,1775021384.331954,1775021386.184909
sess-0063-5b0da0c8,react,SUCCESS,4,500,4.0,4.0,1704.18,1775021384.484371,1775021386.189075
sess-0040-167a3265,react,SUCCESS,7,500,15.0,15.0,3689.92,1775021382.530903,1775021386.221946
sess-0045-a480cc4a,react,SUCCESS,6,500,14.0,14.0,3239.66,1775021383.070303,1775021386.310684
sess-0059-c6c9f6f1,react,SUCCESS,4,500,12.0,12.0,2728.92,1775021384.120665,1775021386.850332
sess-0060-226f2bd4,react,SUCCESS,5,500,13.0,13.0,2775.88,1775021384.284928,1775021387.061536
sess-0062-83dd3551,react,SUCCESS,5,500,9.0,9.0,2644.53,1775021384.471283,1775021387.116468
sess-0064-92ad59f2,react,SUCCESS,3,500,11.0,11.0,2457.87,1775021384.667226,1775021387.125477
sess-0053-21270f2e,react,SUCCESS,6,500,14.0,14.0,3679.71,1775021383.669854,1775021387.350306
sess-0055-437cbb2a,react,SUCCESS,7,500,15.0,15.0,3886.28,1775021383.797842,1775021387.685232
sess-0071-e4356f3b,react,SUCCESS,4,500,8.0,8.0,2551.05,1775021385.183720,1775021387.735290
sess-0072-62cca84d,react,SUCCESS,3,500,11.0,11.0,2685.19,1775021385.185353,1775021387.870971
sess-0067-49e4443a,react,SUCCESS,5,500,13.0,13.0,3043.04,1775021384.858772,1775021387.902600
sess-0077-1d854507,react,SUCCESS,4,500,4.0,4.0,1730.13,1775021386.189154,1775021387.919828
sess-0076-5b7113d7,react,SUCCESS,6,500,6.0,6.0,2395.54,1775021386.185004,1775021388.581491
