session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0000-63c6b996,react,SUCCESS,1,500,1.0,1.0,7.71,1775022001.449152,1775022001.456923
sess-0002-0ba9970f,react,SUCCESS,1,500,1.0,1.0,11.67,1775022001.683458,1775022001.695286
sess-0005-44fb1362,react,SUCCESS,1,500,1.0,1.0,9.40,1775022001.847016,1775022001.856635
sess-0011-49b1a94b,react,SUCCESS,4,500,4.0,4.0,342.71,1775022002.147173,1775022002.490461
sess-0018-ccc75f83,react,REJECTED_AT_STEP_0,1,500,0.0,0.0,5.40,1775022002.623400,1775022002.629012
sess-0013-02e553db,react,SUCCESS,1,500,1.0,1.0,159.56,1775022002.500991,1775022002.660704
sess-0019-e865c078,react,REJECTED_AT_STEP_0,1,500,0.0,0.0,3.37,1775022002.662400,1775022002.665904
sess-0017-f2f4b688,react,SUCCESS,1,500,1.0,1.0,94.03,1775022002.572664,1775022002.666823
sess-0007-85c66866,react,SUCCESS,2,500,6.0,6.0,816.62,1775022001.864435,1775022002.681329
sess-0020-c0acddb7,react,REJECTED_AT_STEP_0,3,500,0.0,0.0,2.76,1775022002.685977,1775022002.688856
sess-0021-23e4266a,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,2.98,1775022002.750441,1775022002.753554
sess-0022-323bbd7d,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.64,1775022002.760856,1775022002.763563
sess-0023-6de08e08,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.91,1775022002.785100,1775022002.789145
sess-0024-e805be8d,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,3.89,1775022002.816786,1775022002.820835
sess-0003-ba519174,react,CASCADE_FAILED,3,500,6.0,0.0,1050.95,1775022001.772018,1775022002.823265
sess-0006-3e3a49e0,react,CASCADE_FAILED,4,500,6.0,0.0,973.82,1775022001.859091,1775022002.833317
sess-0025-b836f1c7,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.23,1775022002.857770,1775022002.861132
sess-0010-938a5b02,react,SUCCESS,4,500,8.0,8.0,844.13,1775022002.145083,1775022002.989815
sess-0009-e995f0b7,react,CASCADE_FAILED,4,500,6.0,0.0,974.97,1775022002.061877,1775022003.037263
sess-0028-66219233,react,CASCADE_FAILED,5,500,1.0,0.0,14.20,1775022003.026895,1775022003.041341
sess-0026-365a371a,react,CASCADE_FAILED,6,500,1.0,0.0,165.04,1775022002.961979,1775022003.127278
sess-0012-8576d82a,react,CASCADE_FAILED,5,500,6.0,0.0,979.04,1775022002.381502,1775022003.360962
sess-0015-0df97917,react,CASCADE_FAILED,7,500,6.0,0.0,860.29,1775022002.532008,1775022003.392743
sess-0037-779be7a5,react,REJECTED_AT_STEP_0,1,500,0.0,0.0,2.40,1775022003.734227,1775022003.736715
sess-0038-217ee39e,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,3.03,1775022003.742121,1775022003.745277
sess-0027-c24aa75c,react,CASCADE_FAILED,3,500,5.0,0.0,810.27,1775022002.977643,1775022003.788225
sess-0029-91ba6473,react,SUCCESS,4,500,4.0,4.0,699.91,1775022003.088234,1775022003.788665
sess-0014-fa31c3bb,react,SUCCESS,5,500,9.0,9.0,1270.78,1775022002.517709,1775022003.789048
sess-0039-06c31eff,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.42,1775022003.820009,1775022003.822551
sess-0040-813490fd,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.68,1775022003.860043,1775022003.862859
sess-0041-536f0848,react,REJECTED_AT_STEP_0,3,500,0.0,0.0,3.30,1775022003.869313,1775022003.872736
sess-0042-b6ce46b5,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.73,1775022003.915947,1775022003.918794
sess-0030-b181799d,react,SUCCESS,2,500,6.0,6.0,828.21,1775022003.091884,1775022003.920380
sess-0043-a46c6934,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.94,1775022003.919064,1775022003.921101
sess-0034-f40d50fd,react,SUCCESS,6,500,6.0,6.0,553.84,1775022003.373521,1775022003.928296
sess-0036-94a8d899,react,CASCADE_FAILED,3,500,2.0,0.0,243.90,1775022003.709781,1775022003.954028
sess-0008-18cc3470,react,SUCCESS,6,500,14.0,14.0,1955.81,1775022001.999807,1775022003.956415
sess-0016-2b1266e8,react,SUCCESS,5,500,9.0,9.0,1413.93,1775022002.546140,1775022003.960788
sess-0035-97a30132,react,SUCCESS,5,500,5.0,5.0,370.72,1775022003.598855,1775022003.970179
sess-0031-2773ba02,react,CASCADE_FAILED,5,500,5.0,0.0,896.42,1775022003.155030,1775022004.051716
sess-0032-6a0dfaa9,react,SUCCESS,1,500,5.0,5.0,920.74,1775022003.168765,1775022004.089642
sess-0033-11d0fba0,react,SUCCESS,3,500,7.0,7.0,1155.65,1775022003.174394,1775022004.330470
sess-0046-1899594c,react,SUCCESS,2,500,2.0,2.0,167.44,1775022004.176326,1775022004.344043
sess-0004-fbf2bd13,react,SUCCESS,7,500,15.0,15.0,2520.43,1775022001.833800,1775022004.355282
sess-0050-a06b5549,react,SUCCESS,1,500,1.0,1.0,159.27,1775022004.320056,1775022004.479548
sess-0048-2d8ba818,react,SUCCESS,3,500,3.0,3.0,476.69,1775022004.251863,1775022004.728994
sess-0047-392a2492,react,SUCCESS,5,500,5.0,5.0,644.47,1775022004.202282,1775022004.847502
sess-0001-410ea457,react,SUCCESS,6,500,22.0,22.0,3407.95,1775022001.481437,1775022004.890461
sess-0044-e45e03fc,react,SUCCESS,6,500,10.0,10.0,844.53,1775022004.081935,1775022004.927243
sess-0052-188faf91,react,SUCCESS,4,500,4.0,4.0,335.73,1775022004.654338,1775022004.990721
sess-0049-098dcc58,react,SUCCESS,3,500,7.0,7.0,824.56,1775022004.305491,1775022005.130473
sess-0057-a8c6357d,react,SUCCESS,3,500,3.0,3.0,22.20,1775022005.233245,1775022005.255838
sess-0054-90be0e4c,react,SUCCESS,3,500,3.0,3.0,328.98,1775022004.993307,1775022005.322676
sess-0058-db856da2,react,SUCCESS,1,500,1.0,1.0,159.93,1775022005.249920,1775022005.409997
sess-0051-770b6239,react,SUCCESS,4,500,8.0,8.0,1214.20,1775022004.553866,1775022005.768698
sess-0045-8eb71cd7,react,SUCCESS,6,500,14.0,14.0,1798.42,1775022004.102612,1775022005.901829
sess-0068-503e06ed,react,SUCCESS,1,500,1.0,1.0,232.93,1775022005.681562,1775022005.914630
sess-0056-a17a25b8,react,SUCCESS,2,500,6.0,6.0,883.18,1775022005.226111,1775022006.109587
sess-0063-69ed1aa2,react,SUCCESS,4,500,4.0,4.0,733.90,1775022005.456330,1775022006.190876
sess-0074-b31379eb,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.76,1775022006.207579,1775022006.211531
sess-0075-6ca57bca,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.54,1775022006.290155,1775022006.293923
sess-0066-5f278613,react,CASCADE_FAILED,6,500,3.0,0.0,745.23,1775022005.561884,1775022006.307920
sess-0072-9a085b40,react,CASCADE_FAILED,3,500,1.0,0.0,222.44,1775022006.092502,1775022006.315277
sess-0073-7798b544,react,CASCADE_FAILED,5,500,1.0,0.0,231.53,1775022006.093715,1775022006.325478
sess-0076-551ce6c1,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.98,1775022006.379063,1775022006.382175
sess-0064-c5c0305d,react,CASCADE_FAILED,3,500,6.0,0.0,932.53,1775022005.486633,1775022006.419612
sess-0077-d8096504,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,3.69,1775022006.478564,1775022006.482420
sess-0069-ca670d7f,react,CASCADE_FAILED,7,500,3.0,0.0,795.80,1775022005.687561,1775022006.483964
sess-0078-fb55dc59,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,3.75,1775022006.484289,1775022006.488378
sess-0079-84909508,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.76,1775022006.516001,1775022006.520066
sess-0080-c01f74bc,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.14,1775022006.525371,1775022006.528627
sess-0060-eab9b32f,react,CASCADE_FAILED,5,500,7.0,0.0,1295.20,1775022005.281591,1775022006.577416
sess-0065-d039779c,react,CASCADE_FAILED,7,500,7.0,0.0,1068.78,1775022005.509302,1775022006.578602
sess-0061-07177b07,react,SUCCESS,3,500,7.0,7.0,1325.76,1775022005.315012,1775022006.641230
sess-0053-e1d01db1,react,SUCCESS,6,500,14.0,14.0,2030.34,1775022004.842137,1775022006.873320
sess-0062-a7bc8dcc,react,SUCCESS,5,500,9.0,9.0,1548.37,1775022005.337312,1775022006.886319
sess-0059-25df19b1,react,SUCCESS,4,500,12.0,12.0,1700.46,1775022005.254122,1775022006.955317
sess-0086-62eb66e0,react,SUCCESS,3,500,3.0,3.0,143.80,1775022006.811542,1775022006.955768
sess-0071-574924a9,react,SUCCESS,4,500,8.0,8.0,949.67,1775022006.076640,1775022007.026839
sess-0055-7ec82f50,react,SUCCESS,7,500,15.0,15.0,2226.92,1775022005.054870,1775022007.282741
sess-0097-a492868c,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,4.24,1775022008.427660,1775022008.432097
sess-0098-8ef02091,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,7.72,1775022008.467214,1775022008.475152
sess-0099-d40ac530,react,REJECTED_AT_STEP_0,1,500,0.0,0.0,9.88,1775022008.469884,1775022008.479885
sess-0100-847783d3,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,2.52,1775022008.478137,1775022008.480766
sess-0101-8d59ecae,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.33,1775022008.480955,1775022008.484390
sess-0102-3bf394d4,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,3.17,1775022008.548992,1775022008.552286
sess-0087-10f46c58,react,CASCADE_FAILED,6,500,5.0,0.0,1651.55,1775022006.900867,1775022008.552693
sess-0103-fdb55a79,react,REJECTED_AT_STEP_0,1,500,0.0,0.0,2.98,1775022008.575299,1775022008.578398
sess-0104-0ec70f3c,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,3.96,1775022008.623321,1775022008.627403
sess-0092-624e43b2,react,CASCADE_FAILED,3,500,2.0,0.0,1373.22,1775022007.254937,1775022008.628586
sess-0067-43f384cc,react,SUCCESS,5,500,13.0,13.0,3075.51,1775022005.572857,1775022008.649163
sess-0084-ba055800,react,CASCADE_FAILED,5,500,7.0,0.0,2873.24,1775022006.758643,1775022009.632483
sess-0070-2d60d5fc,react,CASCADE_FAILED,6,500,11.0,0.0,3671.80,1775022005.977113,1775022009.649552
sess-0088-3bf27256,react,SUCCESS,4,500,8.0,8.0,2680.49,1775022006.970368,1775022009.651441
sess-0105-9b2fa82c,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,3.97,1775022009.756007,1775022009.760176
