timestamp,session_id,mode,session_state,step_id,tool_name,status,latency_ms,budget,locked_price,regime,raw_goodput,effective_goodput,shadow_would_reject
1775022708.033542,sess-0000-1fc2c602,react,SUCCESS,r1,calculate,success,9.34,500,0,,1.0,1.0,False
1775022709.249908,sess-0002-20b9efe7,react,SUCCESS,r1,calculate,success,10.15,500,0,,1.0,1.0,False
1775022709.413955,sess-0005-4b68dc63,react,SUCCESS,r1,calculate,success,9.24,500,0,,1.0,1.0,False
1775022709.712925,sess-0011-bf2e4a6b,react,SUCCESS,r1,web_fetch,success,165.15,500,15,,4.0,4.0,False
1775022709.878205,sess-0011-bf2e4a6b,react,SUCCESS,r2,web_fetch,success,159.38,500,45,,4.0,4.0,False
1775022710.037721,sess-0011-bf2e4a6b,react,SUCCESS,r3,calculate,success,7.12,500,60,,4.0,4.0,False
1775022710.044971,sess-0011-bf2e4a6b,react,SUCCESS,r4,calculate,success,6.17,500,60,,4.0,4.0,False
1775022710.188377,sess-0018-4571fff5,react,REJECTED_AT_STEP_0,r1,mock_heavy,rejected,3.75,500,,,0.0,0.0,False
1775022710.066894,sess-0013-236b89a6,react,SUCCESS,r1,web_fetch,success,159.30,500,60,,1.0,1.0,False
1775022710.226669,sess-0019-ed4826b6,react,REJECTED_AT_STEP_0,r1,calculate,rejected,3.67,500,,,0.0,0.0,False
1775022710.138227,sess-0017-2ae215b8,react,SUCCESS,r1,calculate,success,94.73,500,105,,1.0,1.0,False
1775022709.430212,sess-0007-916b16d7,react,SUCCESS,r1,calculate,success,8.51,500,0,,6.0,6.0,False
1775022709.438838,sess-0007-916b16d7,react,SUCCESS,r2,mock_heavy,success,808.34,500,0,,6.0,6.0,False
1775022710.250812,sess-0020-adb1fe9c,react,REJECTED_AT_STEP_0,r1,calculate,rejected,3.20,500,,,0.0,0.0,False
1775022710.314771,sess-0021-166320f3,react,REJECTED_AT_STEP_0,r1,mock_heavy,rejected,3.42,500,,,0.0,0.0,False
1775022710.325813,sess-0022-594e0b03,react,REJECTED_AT_STEP_0,r1,mock_heavy,rejected,2.85,500,,,0.0,0.0,False
1775022710.349444,sess-0023-7589670f,react,REJECTED_AT_STEP_0,r1,web_fetch,rejected,3.38,500,,,0.0,0.0,False
1775022710.380601,sess-0024-fa8af2f8,react,REJECTED_AT_STEP_0,r1,mock_heavy,rejected,3.68,500,,,0.0,0.0,False
1775022709.338660,sess-0003-a25c2aa1,react,CASCADE_FAILED,r1,mock_heavy,success,806.97,500,0,,6.0,0.0,False
1775022710.145688,sess-0003-a25c2aa1,react,CASCADE_FAILED,r2,web_fetch,success,241.09,500,105,,6.0,0.0,False
1775022710.386910,sess-0003-a25c2aa1,react,CASCADE_FAILED,r3,mock_heavy,rejected,2.53,500,,,6.0,0.0,False
1775022709.425873,sess-0006-1e585de8,react,CASCADE_FAILED,r1,web_fetch,success,158.32,500,0,,6.0,0.0,False
1775022709.584307,sess-0006-1e585de8,react,CASCADE_FAILED,r2,mock_heavy,success,806.51,500,0,,6.0,0.0,False
1775022710.390924,sess-0006-1e585de8,react,CASCADE_FAILED,r3,mock_heavy,rejected,2.56,500,,,6.0,0.0,False
1775022710.422433,sess-0025-2cff0829,react,REJECTED_AT_STEP_0,r1,mock_heavy,rejected,3.29,500,,,0.0,0.0,False
1775022709.710786,sess-0010-a8dd7212,react,SUCCESS,r1,calculate,success,13.67,500,15,,8.0,8.0,False
1775022709.724577,sess-0010-a8dd7212,react,SUCCESS,r2,calculate,success,6.90,500,30,,8.0,8.0,False
1775022709.731598,sess-0010-a8dd7212,react,SUCCESS,r3,calculate,success,6.33,500,30,,8.0,8.0,False
1775022709.738043,sess-0010-a8dd7212,react,SUCCESS,r4,mock_heavy,success,811.45,500,45,,8.0,8.0,False
1775022709.627756,sess-0009-0fea08b0,react,CASCADE_FAILED,r1,web_fetch,success,160.54,500,0,,6.0,0.0,False
1775022709.788426,sess-0009-0fea08b0,react,CASCADE_FAILED,r2,mock_heavy,success,809.75,500,45,,6.0,0.0,False
1775022710.598307,sess-0009-0fea08b0,react,CASCADE_FAILED,r3,mock_heavy,rejected,4.07,500,,,6.0,0.0,False
1775022710.591382,sess-0028-9b188a81,react,CASCADE_FAILED,r1,calculate,success,9.43,500,500,,1.0,0.0,False
1775022710.600933,sess-0028-9b188a81,react,CASCADE_FAILED,r2,mock_heavy,rejected,2.82,500,,,1.0,0.0,False
1775022710.526417,sess-0026-092207b6,react,CASCADE_FAILED,r1,web_fetch,success,159.22,500,500,,1.0,0.0,True
1775022710.685773,sess-0026-092207b6,react,CASCADE_FAILED,r2,mock_heavy,rejected,3.23,500,,,1.0,0.0,True
1775022709.947132,sess-0012-9c63d9f7,react,CASCADE_FAILED,r1,web_fetch,success,163.54,500,45,,6.0,0.0,False
1775022710.110800,sess-0012-9c63d9f7,react,CASCADE_FAILED,r2,mock_heavy,success,808.73,500,75,,6.0,0.0,False
1775022710.919671,sess-0012-9c63d9f7,react,CASCADE_FAILED,r3,mock_heavy,rejected,2.34,500,,,6.0,0.0,False
1775022710.097437,sess-0015-a00c26b7,react,CASCADE_FAILED,r1,calculate,success,17.31,500,75,,6.0,0.0,False
1775022710.114853,sess-0015-a00c26b7,react,CASCADE_FAILED,r2,mock_heavy,success,835.52,500,75,,6.0,0.0,False
1775022710.950540,sess-0015-a00c26b7,react,CASCADE_FAILED,r3,mock_heavy,rejected,2.32,500,,,6.0,0.0,False
1775022711.298606,sess-0037-8dcf42fe,react,REJECTED_AT_STEP_0,r1,calculate,rejected,3.94,500,,,0.0,0.0,False
1775022711.306121,sess-0038-7b5cd017,react,REJECTED_AT_STEP_0,r1,calculate,rejected,2.89,500,,,0.0,0.0,False
1775022710.083449,sess-0014-7a4a62ab,react,SUCCESS,r1,calculate,success,28.82,500,60,,9.0,9.0,False
1775022710.112418,sess-0014-7a4a62ab,react,SUCCESS,r2,calculate,success,34.16,500,75,,9.0,9.0,False
1775022710.146626,sess-0014-7a4a62ab,react,SUCCESS,r3,calculate,success,105.52,500,105,,9.0,9.0,False
1775022710.252254,sess-0014-7a4a62ab,react,SUCCESS,r4,web_fetch,success,286.62,500,550,,9.0,9.0,False
1775022710.539007,sess-0014-7a4a62ab,react,SUCCESS,r5,mock_heavy,success,809.21,500,500,,9.0,9.0,False
1775022710.652478,sess-0029-2a6e00a9,react,SUCCESS,r1,web_fetch,success,159.82,500,500,,4.0,4.0,True
1775022710.812435,sess-0029-2a6e00a9,react,SUCCESS,r2,calculate,success,141.10,500,500,,4.0,4.0,True
1775022710.953640,sess-0029-2a6e00a9,react,SUCCESS,r3,web_fetch,success,156.95,500,500,,4.0,4.0,True
