session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0000-74915cdd,react,SUCCESS,1,500,1.0,1.0,6.68,1775023028.792816,1775023028.799586
sess-0002-3611469f,react,SUCCESS,1,500,1.0,1.0,10.28,1775023029.027087,1775023029.037639
sess-0005-9353a95a,react,SUCCESS,1,500,1.0,1.0,8.90,1775023029.191034,1775023029.200072
sess-0011-7510d3c2,react,SUCCESS,4,500,4.0,4.0,336.29,1775023029.491413,1775023029.828398
sess-0013-ea97ddb2,react,SUCCESS,1,500,1.0,1.0,158.42,1775023029.846024,1775023030.004578
sess-0017-219dc5c0,react,SUCCESS,1,500,1.0,1.0,96.85,1775023029.916903,1775023030.013886
sess-0007-64ce8e6c,react,SUCCESS,2,500,6.0,6.0,817.00,1775023029.208712,1775023030.026118
sess-0019-012cfd5d,react,SUCCESS,1,500,1.0,1.0,172.03,1775023030.005964,1775023030.178116
sess-0010-befab286,react,SUCCESS,4,500,8.0,8.0,841.05,1775023029.489351,1775023030.330893
sess-0018-ce1a7e97,react,SUCCESS,1,500,5.0,5.0,871.07,1775023029.967123,1775023030.838337
sess-0003-0fc66e3f,react,SUCCESS,3,500,11.0,11.0,2069.81,1775023029.116149,1775023031.186444
sess-0014-4f18d8a7,react,SUCCESS,5,500,9.0,9.0,1721.54,1775023029.862711,1775023031.584863
sess-0035-822eba9f,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,1007.91,1775023030.942518,1775023031.950565
sess-0032-61c6ef95,react,SUCCESS,1,500,5.0,5.0,1500.30,1775023030.512679,1775023032.013112
sess-0038-b0f832bd,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1008.67,1775023031.088090,1775023032.096846
sess-0037-a8136d57,react,SUCCESS,1,500,1.0,1.0,1018.72,1775023031.080153,1775023032.098969
sess-0023-6e18558e,react,CASCADE_FAILED,7,500,2.0,0.0,2055.96,1775023030.129119,1775023032.185410
sess-0040-c471243a,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,1007.53,1775023031.205975,1775023032.213611
sess-0041-91f41946,react,REJECTED_AT_STEP_0,3,500,0.0,0.0,1009.13,1775023031.215567,1775023032.224769
sess-0042-7a03501b,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1011.30,1775023031.262097,1775023032.273532
sess-0043-f19632de,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,1009.57,1775023031.264650,1775023032.274285
sess-0006-cd07ad32,react,CASCADE_FAILED,4,500,11.0,0.0,3079.92,1775023029.203427,1775023032.283887
sess-0021-5d8251a0,react,SUCCESS,2,500,6.0,6.0,2194.19,1775023030.093721,1775023032.288123
sess-0004-7779723b,react,CASCADE_FAILED,7,500,9.0,0.0,3141.16,1775023029.177980,1775023032.319996
sess-0008-b6627393,react,SUCCESS,6,500,14.0,14.0,3018.77,1775023029.344121,1775023032.363753
sess-0030-db359cbb,react,SUCCESS,2,500,6.0,6.0,2228.20,1775023030.436215,1775023032.664696
sess-0009-2698da31,react,SUCCESS,4,500,12.0,12.0,3315.79,1775023029.406585,1775023032.722921
sess-0050-0b1d1878,react,SUCCESS,1,500,1.0,1.0,1123.98,1775023031.665860,1775023032.789990
sess-0020-c8cd1e4b,react,SUCCESS,3,500,7.0,7.0,2818.45,1775023030.029752,1775023032.848656
sess-0029-9493da1c,react,SUCCESS,4,500,4.0,4.0,2626.39,1775023030.432766,1775023033.059609
sess-0025-7d4c078b,react,CASCADE_FAILED,5,500,10.0,0.0,2940.04,1775023030.201832,1775023033.142122
sess-0028-14681bcf,react,CASCADE_FAILED,5,500,7.0,0.0,2770.33,1775023030.371510,1775023033.142265
sess-0053-57d32b93,react,CASCADE_FAILED,6,500,1.0,0.0,982.12,1775023032.188891,1775023033.171212
sess-0057-08380f76,react,CASCADE_FAILED,3,500,1.0,0.0,618.72,1775023032.578432,1775023033.197266
sess-0045-5444e886,react,CASCADE_FAILED,6,500,2.0,0.0,1750.10,1775023031.447093,1775023033.197407
sess-0027-c4b0a5ec,react,CASCADE_FAILED,3,500,10.0,0.0,2916.13,1775023030.322293,1775023033.238813
sess-0046-34fa549a,react,SUCCESS,2,500,2.0,2.0,1738.09,1775023031.520776,1775023033.259160
sess-0059-b7677ded,react,CASCADE_FAILED,4,500,1.0,0.0,661.77,1775023032.598715,1775023033.260594
sess-0070-24cf0656,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.31,1775023033.321204,1775023033.323652
sess-0058-355ca50d,react,SUCCESS,1,500,1.0,1.0,786.60,1775023032.594347,1775023033.381090
sess-0060-ffd5fcd4,react,CASCADE_FAILED,5,500,1.0,0.0,792.09,1775023032.625570,1775023033.418072
sess-0071-49400251,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.78,1775023033.420578,1775023033.422463
sess-0072-0704bb93,react,REJECTED_AT_STEP_0,3,500,0.0,0.0,2.52,1775023033.436878,1775023033.439592
sess-0073-c3bedb62,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.70,1775023033.438231,1775023033.440111
sess-0047-a0f59efd,react,CASCADE_FAILED,5,500,2.0,0.0,1911.15,1775023031.546322,1775023033.457863
sess-0061-3054e8bd,react,CASCADE_FAILED,3,500,1.0,0.0,819.40,1775023032.659237,1775023033.478853
sess-0062-35305858,react,CASCADE_FAILED,5,500,1.0,0.0,801.93,1775023032.681313,1775023033.483461
sess-0051-fa1d6f97,react,CASCADE_FAILED,4,500,5.0,0.0,1631.50,1775023031.899678,1775023033.531593
sess-0074-07f5f04d,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.04,1775023033.552083,1775023033.554243
sess-0031-4779838a,react,CASCADE_FAILED,5,500,10.0,0.0,3075.27,1775023030.499671,1775023033.575359
sess-0048-6df56882,react,CASCADE_FAILED,3,500,2.0,0.0,2005.40,1775023031.596461,1775023033.602115
sess-0075-0c260db9,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.80,1775023033.634705,1775023033.636649
sess-0016-0d48f408,react,SUCCESS,5,500,9.0,9.0,3776.48,1775023029.891569,1775023033.668667
sess-0063-56cab96a,react,CASCADE_FAILED,4,500,1.0,0.0,874.78,1775023032.800085,1775023033.675093
sess-0076-eba92aec,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.12,1775023033.722866,1775023033.725114
sess-0022-11882f0c,react,CASCADE_FAILED,6,500,11.0,0.0,3644.97,1775023030.105200,1775023033.750804
sess-0052-42973eab,react,CASCADE_FAILED,4,500,2.0,0.0,1749.96,1775023032.000923,1775023033.751240
sess-0066-88614073,react,CASCADE_FAILED,6,500,1.0,0.0,893.45,1775023032.906445,1775023033.800187
sess-0077-88d0a556,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.80,1775023033.821768,1775023033.823747
sess-0078-644d4145,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.99,1775023033.828210,1775023033.830364
sess-0067-4798d9df,react,CASCADE_FAILED,5,500,1.0,0.0,915.41,1775023032.917296,1775023033.832913
sess-0079-a5bbc870,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.85,1775023033.858401,1775023033.860371
sess-0080-0ccb8ad3,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.90,1775023033.867872,1775023033.869890
sess-0033-b185fb8a,react,SUCCESS,3,500,7.0,7.0,3391.62,1775023030.518126,1775023033.909998
sess-0049-4847fe04,react,CASCADE_FAILED,3,500,6.0,0.0,2299.06,1775023031.651139,1775023033.950582
sess-0056-2a0b1e29,react,CASCADE_FAILED,2,500,5.0,0.0,1403.40,1775023032.571816,1775023033.975442
sess-0039-4e1b0252,react,CASCADE_FAILED,5,500,3.0,0.0,2809.54,1775023031.165826,1775023033.975842
sess-0068-e0846198,react,SUCCESS,1,500,1.0,1.0,966.88,1775023033.026117,1775023033.993169
sess-0081-04c69c60,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.87,1775023034.001812,1775023034.003809
sess-0054-0a400541,react,CASCADE_FAILED,3,500,2.0,0.0,1689.10,1775023032.339542,1775023034.028968
sess-0069-a3761c6d,react,CASCADE_FAILED,7,500,1.0,0.0,1004.20,1775023033.031687,1775023034.036001
sess-0055-5546e26c,react,CASCADE_FAILED,7,500,2.0,0.0,1660.74,1775023032.401005,1775023034.062074
sess-0082-c322a800,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.24,1775023034.067396,1775023034.068689
sess-0012-1331eb03,react,SUCCESS,5,500,13.0,13.0,4349.63,1775023029.725709,1775023034.075961
sess-0083-f4be9c52,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.03,1775023034.095473,1775023034.097603
sess-0084-fb22ee35,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.10,1775023034.101126,1775023034.103323
sess-0044-323f643e,react,CASCADE_FAILED,6,500,3.0,0.0,2694.36,1775023031.425197,1775023034.120144
sess-0085-d785b527,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.71,1775023034.126561,1775023034.128386
sess-0034-8635e5fb,react,CASCADE_FAILED,6,500,4.0,0.0,3427.41,1775023030.717114,1775023034.145072
sess-0086-fabcf718,react,REJECTED_AT_STEP_0,3,500,0.0,0.0,1.94,1775023034.153610,1775023034.155751
sess-0087-b9fa45ba,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.30,1775023034.241447,1775023034.244033
sess-0026-9b858104,react,CASCADE_FAILED,6,500,8.0,0.0,3952.51,1775023030.305323,1775023034.258692
sess-0024-2a08e488,react,CASCADE_FAILED,4,500,15.0,0.0,4121.19,1775023030.160503,1775023034.282312
sess-0088-9e02f3e4,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.11,1775023034.309943,1775023034.312175
sess-0064-f756b028,react,CASCADE_FAILED,3,500,5.0,0.0,1520.03,1775023032.830470,1775023034.350861
sess-0065-584357c2,react,CASCADE_FAILED,7,500,5.0,0.0,1501.58,1775023032.853421,1775023034.355471
sess-0001-4242474d,react,SUCCESS,6,500,22.0,22.0,5575.17,1775023028.824844,1775023034.400806
sess-0089-ea5d4dd8,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.22,1775023034.456398,1775023034.458747
sess-0090-74b95dc1,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.81,1775023034.500303,1775023034.502240
sess-0091-0da9be13,react,REJECTED_AT_STEP_0,3,500,0.0,0.0,1.38,1775023034.509823,1775023034.511320
sess-0092-167ff5d3,react,REJECTED_AT_STEP_0,3,500,0.0,0.0,2.34,1775023034.593889,1775023034.596409
sess-0036-f0ea60af,react,SUCCESS,3,500,7.0,7.0,3571.97,1775023031.054886,1775023034.627142
sess-0093-fea2bac7,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.09,1775023034.689856,1775023034.692076
sess-0094-83d362bb,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,2.17,1775023034.745670,1775023034.747971
sess-0095-d871f6e8,react,REJECTED_AT_STEP_0,3,500,0.0,0.0,1.86,1775023034.844529,1775023034.846570
sess-0015-377afdd6,react,CASCADE_FAILED,7,500,17.0,0.0,4980.95,1775023029.876521,1775023034.858655
sess-0096-47225174,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.98,1775023034.891502,1775023034.893611
sess-0097-25f6a3e9,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.14,1775023034.942322,1775023034.944594
sess-0098-aeec6ef7,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.93,1775023034.979938,1775023034.981956
sess-0099-29410824,react,REJECTED_AT_STEP_0,1,500,0.0,0.0,1.21,1775023034.982112,1775023034.983394
sess-0100-b44cf6dd,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,1.40,1775023034.990697,1775023034.992218
sess-0101-402cfaa7,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.21,1775023034.993429,1775023034.994776
sess-0102-1ab68150,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.28,1775023035.063381,1775023035.065797
sess-0103-0ce3f7a8,react,REJECTED_AT_STEP_0,1,500,0.0,0.0,2.07,1775023035.089273,1775023035.091473
sess-0104-fb8085cf,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,2.29,1775023035.138267,1775023035.140683
sess-0105-771be31b,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,1.32,1775023035.298212,1775023035.299612
sess-0106-81a96cce,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.01,1775023035.318951,1775023035.320034
sess-0107-35fcea52,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,0.98,1775023035.355345,1775023035.356406
sess-0108-dcde0200,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.37,1775023035.449803,1775023035.451244
sess-0109-54c50961,react,REJECTED_AT_STEP_0,1,500,0.0,0.0,1.46,1775023035.467592,1775023035.469129
sess-0110-c34fec27,react,REJECTED_AT_STEP_0,1,500,0.0,0.0,0.88,1775023035.473411,1775023035.474350
sess-0111-81f081da,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.01,1775023035.496688,1775023035.497759
sess-0112-f4a97ac0,react,REJECTED_AT_STEP_0,3,500,0.0,0.0,1.07,1775023035.509088,1775023035.510219
sess-0113-5c4f3c15,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.08,1775023035.686711,1775023035.688911
sess-0114-65ccb2a4,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.34,1775023035.797748,1775023035.800225
sess-0115-f3160da7,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.27,1775023035.865942,1775023035.868410
sess-0116-77da24de,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.44,1775023036.004110,1775023036.006685
sess-0117-e1e77849,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.38,1775023036.113306,1775023036.115821
sess-0118-5a2569ae,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.36,1775023036.128317,1775023036.130806
sess-0119-4d0fc63f,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,1.18,1775023036.278206,1775023036.279514
sess-0120-73136a14,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,0.98,1775023036.330830,1775023036.331878
sess-0121-190d1ed5,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.05,1775023036.441312,1775023036.442429
sess-0122-3f8f94f4,react,REJECTED_AT_STEP_0,1,500,0.0,0.0,1.92,1775023036.592919,1775023036.594952
sess-0123-455269be,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.05,1775023036.619640,1775023036.621814
sess-0124-1afb6934,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.00,1775023036.628264,1775023036.630378
sess-0125-dbacd1d3,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.87,1775023036.646827,1775023036.648810
sess-0126-a4ae4807,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,1.99,1775023036.686276,1775023036.688389
sess-0127-71a82aa9,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,2.35,1775023036.801066,1775023036.803554
sess-0128-0606d925,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.61,1775023036.933102,1775023036.935832
sess-0129-695ea585,react,REJECTED_AT_STEP_0,1,500,0.0,0.0,1.60,1775023036.934542,1775023036.936231
sess-0130-7f0eacc8,react,REJECTED_AT_STEP_0,3,500,0.0,0.0,1.68,1775023036.982634,1775023036.984406
sess-0131-12d7add1,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.26,1775023037.020058,1775023037.022432
sess-0132-64fdbcf1,react,REJECTED_AT_STEP_0,1,500,0.0,0.0,1.84,1775023037.037855,1775023037.039800
sess-0133-e4abd7b8,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.81,1775023037.047536,1775023037.049505
sess-0134-f3b9d371,react,REJECTED_AT_STEP_0,1,500,0.0,0.0,2.22,1775023037.077055,1775023037.079359
sess-0135-4df6296d,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.39,1775023037.269087,1775023037.271610
sess-0136-91313bde,react,REJECTED_AT_STEP_0,3,500,0.0,0.0,1.89,1775023037.296112,1775023037.298166
sess-0137-c1835bb8,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,0.86,1775023037.345423,1775023037.346340
sess-0138-c145f615,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,2.52,1775023037.426801,1775023037.429554
sess-0139-df3031f6,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.09,1775023037.457794,1775023037.458927
sess-0140-b48dac59,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.23,1775023037.697711,1775023037.700073
sess-0141-8e2b1f5c,react,REJECTED_AT_STEP_0,3,500,0.0,0.0,2.24,1775023037.917877,1775023037.920252
sess-0142-21efe7dc,react,REJECTED_AT_STEP_0,1,500,0.0,0.0,2.28,1775023037.937683,1775023037.940077
sess-0143-bea3d333,react,REJECTED_AT_STEP_0,1,500,0.0,0.0,1.91,1775023037.984532,1775023037.986637
sess-0144-c8885b4f,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.15,1775023038.009080,1775023038.011353
sess-0145-42f57114,react,REJECTED_AT_STEP_0,1,500,0.0,0.0,1.93,1775023038.031879,1775023038.033927
sess-0146-164e0afc,react,REJECTED_AT_STEP_0,1,500,0.0,0.0,1.85,1775023038.035254,1775023038.037215
sess-0147-fb1c55f0,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,2.12,1775023038.098707,1775023038.100953
sess-0148-7193d308,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.03,1775023038.146436,1775023038.148638
sess-0149-d7a13cae,react,REJECTED_AT_STEP_0,3,500,0.0,0.0,2.08,1775023038.151081,1775023038.153274
sess-0150-25c7d5d3,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.64,1775023038.173823,1775023038.175649
sess-0151-aacfd341,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.65,1775023038.334322,1775023038.337101
sess-0152-8101a754,react,REJECTED_AT_STEP_0,3,500,0.0,0.0,2.24,1775023038.353624,1775023038.355984
sess-0153-3aac9dbe,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.82,1775023038.364509,1775023038.366527
sess-0154-4ed06d72,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.83,1775023038.410048,1775023038.411985
sess-0155-b6bc7b36,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.22,1775023038.693739,1775023038.696082
sess-0156-06cf3645,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.92,1775023038.713589,1775023038.715620
sess-0157-7945a0a8,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.53,1775023038.789046,1775023038.791696
sess-0158-cd0c679e,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.19,1775023038.885310,1775023038.887615
sess-0159-2bce8cfa,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.85,1775023038.904408,1775023038.906439
sess-0160-877293b9,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.96,1775023038.991922,1775023038.994004
sess-0161-ad537d5b,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.86,1775023039.023422,1775023039.025393
sess-0162-73804240,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.21,1775023039.091151,1775023039.093520
sess-0163-9f024248,react,REJECTED_AT_STEP_0,1,500,0.0,0.0,2.05,1775023039.159036,1775023039.161202
sess-0164-9a3122bf,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.30,1775023039.210743,1775023039.213164
