session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0000-011c520a,react,SUCCESS,1,500,1.0,1.0,8.44,1775021034.559385,1775021034.567965
sess-0002-c690d802,react,SUCCESS,1,500,1.0,1.0,8.01,1775021034.793454,1775021034.801616
sess-0005-6a4d921a,react,SUCCESS,1,500,1.0,1.0,5.19,1775021034.956703,1775021034.961980
sess-0011-51044e2e,react,SUCCESS,4,500,4.0,4.0,338.51,1775021035.255582,1775021035.594751
sess-0013-29eafe61,react,SUCCESS,1,500,1.0,1.0,157.76,1775021035.611136,1775021035.769033
sess-0007-64e4f3e6,react,SUCCESS,2,500,6.0,6.0,810.36,1775021034.973166,1775021035.783788
sess-0010-88a577e0,react,SUCCESS,4,500,8.0,8.0,828.85,1775021035.253258,1775021036.082605
sess-0003-9ecd6840,react,SUCCESS,3,500,11.0,11.0,1775.18,1775021034.882138,1775021036.657879
sess-0017-f99a0f94,react,SUCCESS,1,500,1.0,1.0,7.51,1775021036.657976,1775021036.665630
sess-0006-eabf40f3,react,SUCCESS,4,500,12.0,12.0,1778.36,1775021034.968344,1775021036.747251
sess-0019-254e02a5,react,SUCCESS,1,500,1.0,1.0,6.51,1775021036.747338,1775021036.754154
sess-0014-f6e8f220,react,SUCCESS,5,500,9.0,9.0,991.78,1775021035.769153,1775021036.761665
sess-0008-82bcec46,react,SUCCESS,6,500,14.0,14.0,1945.26,1775021035.108537,1775021037.054954
sess-0009-acc8c209,react,SUCCESS,4,500,12.0,12.0,1927.18,1775021035.170334,1775021037.098109
sess-0004-3b2c3ac7,react,SUCCESS,7,500,15.0,15.0,2258.21,1775021034.943819,1775021037.203031
sess-0016-9d5a7c3d,react,SUCCESS,5,500,9.0,9.0,1288.09,1775021036.082694,1775021037.371506
sess-0012-74c47b82,react,SUCCESS,5,500,13.0,13.0,1937.98,1775021035.491177,1775021037.429882
sess-0018-8192952b,react,SUCCESS,1,500,5.0,5.0,809.22,1775021036.665723,1775021037.475086
sess-0020-acf3297f,react,SUCCESS,3,500,7.0,7.0,973.32,1775021036.754286,1775021037.727981
sess-0021-7c27a526,react,SUCCESS,2,500,6.0,6.0,967.22,1775021036.761792,1775021037.729296
sess-0001-775e1de9,react,SUCCESS,6,500,22.0,22.0,3391.62,1775021034.591594,1775021037.983854
sess-0029-21082c82,react,SUCCESS,4,500,4.0,4.0,329.80,1775021037.729752,1775021038.060224
sess-0028-f6825816,react,SUCCESS,5,500,9.0,9.0,986.90,1775021037.728175,1775021038.715873
sess-0026-363913a5,react,SUCCESS,6,500,10.0,10.0,1297.14,1775021037.429968,1775021038.728348
sess-0030-5fd96df2,react,SUCCESS,2,500,6.0,6.0,815.85,1775021037.983957,1775021038.800080
sess-0034-b36e7b70,react,SUCCESS,6,500,6.0,6.0,39.17,1775021038.800286,1775021038.840408
sess-0035-76078ae3,react,SUCCESS,5,500,5.0,5.0,179.15,1775021038.840580,1775021039.020253
sess-0015-f231c712,react,SUCCESS,7,500,23.0,23.0,3250.79,1775021035.783899,1775021039.036269
sess-0037-6a6ffd24,react,SUCCESS,1,500,1.0,1.0,6.02,1775021039.036366,1775021039.042456
sess-0023-8b1c0c6d,react,SUCCESS,7,500,15.0,15.0,1948.90,1775021037.098230,1775021039.047980
sess-0027-5e0b9ae5,react,SUCCESS,3,500,11.0,11.0,1619.15,1775021037.475265,1775021039.094793
sess-0032-edbb3be7,react,SUCCESS,1,500,5.0,5.0,808.84,1775021038.715920,1775021039.524888
sess-0022-f842cfcc,react,SUCCESS,6,500,18.0,18.0,2596.53,1775021037.055045,1775021039.652547
sess-0033-44a771b5,react,SUCCESS,3,500,7.0,7.0,967.81,1775021038.728484,1775021039.696648
sess-0025-5eadccc2,react,SUCCESS,5,500,17.0,17.0,2437.90,1775021037.371596,1775021039.810694
sess-0042-7027170c,react,SUCCESS,4,500,4.0,4.0,180.00,1775021039.652622,1775021039.832997
sess-0041-0b1d8203,react,SUCCESS,3,500,3.0,3.0,325.69,1775021039.524980,1775021039.850833
sess-0036-4460e53d,react,SUCCESS,3,500,7.0,7.0,972.65,1775021039.020292,1775021039.993604
sess-0046-e40e5db1,react,SUCCESS,2,500,2.0,2.0,166.28,1775021039.850868,1775021040.017723
