timestamp,session_id,mode,session_state,step_id,tool_name,status,latency_ms,budget,locked_price,regime,raw_goodput,effective_goodput,shadow_would_reject
1775021115.704510,sess-0000-e1fc14db,react,SUCCESS,r1,calculate,success,6.32,500,1,,1.0,1.0,False
1775021115.938461,sess-0002-64b9e499,react,SUCCESS,r1,calculate,success,9.30,500,3,,1.0,1.0,False
1775021116.102822,sess-0005-3cd7d61a,react,SUCCESS,r1,calculate,success,7.97,500,6,,1.0,1.0,False
1775021116.403097,sess-0011-8d2ebc5b,react,SUCCESS,r1,web_fetch,success,161.08,500,12,,4.0,4.0,False
1775021116.564308,sess-0011-8d2ebc5b,react,SUCCESS,r2,web_fetch,success,157.76,500,13,,4.0,4.0,False
1775021116.722209,sess-0011-8d2ebc5b,react,SUCCESS,r3,calculate,success,6.44,500,13,,4.0,4.0,False
1775021116.728849,sess-0011-8d2ebc5b,react,SUCCESS,r4,calculate,success,6.06,500,13,,4.0,4.0,False
1775021116.758684,sess-0013-ca466350,react,SUCCESS,r1,web_fetch,success,158.39,500,14,,1.0,1.0,False
1775021116.119771,sess-0007-b7458a93,react,SUCCESS,r1,calculate,success,7.11,500,8,,6.0,6.0,False
1775021116.127130,sess-0007-b7458a93,react,SUCCESS,r2,mock_heavy,success,809.49,500,15,,6.0,6.0,False
1775021116.400573,sess-0010-36cbe8e6,react,SUCCESS,r1,calculate,success,10.97,500,12,,8.0,8.0,False
1775021116.411660,sess-0010-36cbe8e6,react,SUCCESS,r2,calculate,success,6.35,500,12,,8.0,8.0,False
1775021116.418116,sess-0010-36cbe8e6,react,SUCCESS,r3,calculate,success,6.23,500,12,,8.0,8.0,False
1775021116.424570,sess-0010-36cbe8e6,react,SUCCESS,r4,mock_heavy,success,807.69,500,16,,8.0,8.0,False
1775021116.027479,sess-0003-6038ea58,react,SUCCESS,r1,mock_heavy,success,808.18,500,14,,11.0,11.0,False
1775021116.835800,sess-0003-6038ea58,react,SUCCESS,r2,web_fetch,success,157.74,500,16,,11.0,11.0,False
1775021116.993673,sess-0003-6038ea58,react,SUCCESS,r3,mock_heavy,success,2634.05,500,17,,11.0,11.0,False
1775021119.627963,sess-0017-ff731c64,react,SUCCESS,r1,calculate,success,7.52,500,18,,1.0,1.0,False
1775021116.115409,sess-0006-a129ef48,react,SUCCESS,r1,web_fetch,success,156.74,500,9,,12.0,12.0,False
1775021116.272254,sess-0006-a129ef48,react,SUCCESS,r2,mock_heavy,success,807.15,500,16,,12.0,12.0,False
1775021117.079609,sess-0006-a129ef48,react,SUCCESS,r3,mock_heavy,success,2632.92,500,19,,12.0,12.0,False
1775021119.712813,sess-0006-a129ef48,react,SUCCESS,r4,calculate,success,6.68,500,19,,12.0,12.0,False
1775021119.719714,sess-0019-51ee43c4,react,SUCCESS,r1,calculate,success,6.39,500,20,,1.0,1.0,False
1775021116.917326,sess-0014-b73fc3ef,react,SUCCESS,r1,calculate,success,6.97,500,15,,9.0,9.0,False
1775021116.924422,sess-0014-b73fc3ef,react,SUCCESS,r2,calculate,success,6.63,500,15,,9.0,9.0,False
1775021116.931179,sess-0014-b73fc3ef,react,SUCCESS,r3,calculate,success,6.88,500,15,,9.0,9.0,False
1775021116.938165,sess-0014-b73fc3ef,react,SUCCESS,r4,web_fetch,success,157.44,500,16,,9.0,9.0,False
1775021117.095731,sess-0014-b73fc3ef,react,SUCCESS,r5,mock_heavy,success,2633.32,500,20,,9.0,9.0,False
1775021116.255241,sess-0008-988ba8a8,react,SUCCESS,r1,calculate,success,7.64,500,9,,14.0,14.0,False
1775021116.263107,sess-0008-988ba8a8,react,SUCCESS,r2,calculate,success,6.03,500,9,,14.0,14.0,False
1775021116.269253,sess-0008-988ba8a8,react,SUCCESS,r3,mock_heavy,success,807.71,500,16,,14.0,14.0,False
1775021117.077096,sess-0008-988ba8a8,react,SUCCESS,r4,web_fetch,success,157.46,500,17,,14.0,14.0,False
1775021117.234765,sess-0008-988ba8a8,react,SUCCESS,r5,mock_heavy,success,2634.07,500,20,,14.0,14.0,False
1775021119.869015,sess-0008-988ba8a8,react,SUCCESS,r6,web_fetch,success,157.65,500,21,,14.0,14.0,False
1775021116.317727,sess-0009-03f29427,react,SUCCESS,r1,web_fetch,success,159.44,500,12,,12.0,12.0,False
1775021116.477373,sess-0009-03f29427,react,SUCCESS,r2,mock_heavy,success,1661.52,500,17,,12.0,12.0,False
1775021118.139023,sess-0009-03f29427,react,SUCCESS,r3,mock_heavy,success,1780.71,500,21,,12.0,12.0,False
1775021119.919861,sess-0009-03f29427,react,SUCCESS,r4,web_fetch,success,158.10,500,22,,12.0,12.0,False
1775021116.089603,sess-0004-6b0c79e9,react,SUCCESS,r1,web_fetch,success,159.75,500,8,,15.0,15.0,False
1775021116.249489,sess-0004-6b0c79e9,react,SUCCESS,r2,web_fetch,success,160.40,500,12,,15.0,15.0,False
1775021116.410012,sess-0004-6b0c79e9,react,SUCCESS,r3,web_fetch,success,158.99,500,12,,15.0,15.0,False
1775021116.569125,sess-0004-6b0c79e9,react,SUCCESS,r4,mock_heavy,success,1660.98,500,17,,15.0,15.0,False
1775021118.230237,sess-0004-6b0c79e9,react,SUCCESS,r5,web_fetch,success,1129.72,500,16,,15.0,15.0,False
1775021119.360094,sess-0004-6b0c79e9,react,SUCCESS,r6,calculate,success,5.39,500,17,,15.0,15.0,False
1775021119.365610,sess-0004-6b0c79e9,react,SUCCESS,r7,mock_heavy,success,807.32,500,23,,15.0,15.0,False
1775021117.232498,sess-0016-fd0eefd2,react,SUCCESS,r1,calculate,success,7.78,500,17,,9.0,9.0,False
1775021117.240444,sess-0016-fd0eefd2,react,SUCCESS,r2,web_fetch,success,1011.11,500,17,,9.0,9.0,False
1775021118.251698,sess-0016-fd0eefd2,react,SUCCESS,r3,web_fetch,success,1129.87,500,17,,9.0,9.0,False
1775021119.381705,sess-0016-fd0eefd2,react,SUCCESS,r4,web_fetch,success,157.94,500,17,,9.0,9.0,False
1775021119.539777,sess-0016-fd0eefd2,react,SUCCESS,r5,mock_heavy,success,808.17,500,23,,9.0,9.0,False
1775021116.638637,sess-0012-ab0f14da,react,SUCCESS,r1,web_fetch,success,160.02,500,14,,13.0,13.0,False
1775021116.798867,sess-0012-ab0f14da,react,SUCCESS,r2,mock_heavy,success,2633.57,500,17,,13.0,13.0,False
1775021119.432567,sess-0012-ab0f14da,react,SUCCESS,r3,mock_heavy,success,807.45,500,24,,13.0,13.0,False
1775021120.240066,sess-0012-ab0f14da,react,SUCCESS,r4,web_fetch,success,155.75,500,24,,13.0,13.0,False
1775021120.395870,sess-0012-ab0f14da,react,SUCCESS,r5,calculate,success,4.41,500,23,,13.0,13.0,False
1775021119.635701,sess-0018-76464378,react,SUCCESS,r1,mock_heavy,success,807.99,500,24,,5.0,5.0,False
1775021119.729254,sess-0021-479240a8,react,SUCCESS,r1,mock_heavy,success,807.99,500,25,,6.0,6.0,False
1775021120.537381,sess-0021-479240a8,react,SUCCESS,r2,web_fetch,success,157.96,500,25,,6.0,6.0,False
1775021119.726311,sess-0020-8f09476f,react,SUCCESS,r1,calculate,success,5.47,500,21,,7.0,7.0,False
1775021119.731850,sess-0020-8f09476f,react,SUCCESS,r2,web_fetch,success,156.26,500,21,,7.0,7.0,False
1775021119.888183,sess-0020-8f09476f,react,SUCCESS,r3,mock_heavy,success,808.92,500,25,,7.0,7.0,False
1775021115.736187,sess-0001-097f6629,react,SUCCESS,r1,mock_heavy,success,807.04,500,12,,22.0,22.0,False
1775021116.543477,sess-0001-097f6629,react,SUCCESS,r2,calculate,success,7.01,500,12,,22.0,22.0,False
1775021116.550615,sess-0001-097f6629,react,SUCCESS,r3,mock_heavy,success,1661.44,500,17,,22.0,22.0,False
1775021118.212188,sess-0001-097f6629,react,SUCCESS,r4,mock_heavy,success,1779.32,500,21,,22.0,22.0,False
1775021119.991655,sess-0001-097f6629,react,SUCCESS,r5,web_fetch,success,156.82,500,22,,22.0,22.0,False
1775021120.148741,sess-0001-097f6629,react,SUCCESS,r6,mock_heavy,success,807.88,500,27,,22.0,22.0,False
1775021120.697360,sess-0029-44b079f9,react,SUCCESS,r1,web_fetch,success,156.97,500,27,,4.0,4.0,False
1775021120.854417,sess-0029-44b079f9,react,SUCCESS,r2,calculate,success,4.97,500,27,,4.0,4.0,False
1775021120.859474,sess-0029-44b079f9,react,SUCCESS,r3,web_fetch,success,156.57,500,28,,4.0,4.0,False
1775021121.016183,sess-0029-44b079f9,react,SUCCESS,r4,calculate,success,6.98,500,28,,4.0,4.0,False
1775021120.695653,sess-0028-1361cdb0,react,SUCCESS,r1,calculate,success,8.20,500,27,,9.0,9.0,False
1775021120.703977,sess-0028-1361cdb0,react,SUCCESS,r2,mock_heavy,success,806.94,500,29,,9.0,9.0,False
1775021121.511050,sess-0028-1361cdb0,react,SUCCESS,r3,calculate,success,6.34,500,29,,9.0,9.0,False
1775021121.517520,sess-0028-1361cdb0,react,SUCCESS,r4,calculate,success,6.34,500,29,,9.0,9.0,False
1775021121.523983,sess-0028-1361cdb0,react,SUCCESS,r5,web_fetch,success,157.31,500,28,,9.0,9.0,False
1775021120.400376,sess-0026-18610c7d,react,SUCCESS,r1,web_fetch,success,155.62,500,25,,10.0,10.0,False
1775021120.556058,sess-0026-18610c7d,react,SUCCESS,r2,mock_heavy,success,806.69,500,29,,10.0,10.0,False
