session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0000-3c484b6d,react,SUCCESS,1,500,1.0,1.0,5.99,1775021498.561125,1775021498.567172
sess-0002-e6bd49ae,react,SUCCESS,1,500,1.0,1.0,10.20,1775021499.632226,1775021499.642580
sess-0005-2218da3f,react,SUCCESS,1,500,1.0,1.0,7.84,1775021499.794806,1775021499.802833
sess-0011-2c802bc4,react,SUCCESS,4,500,4.0,4.0,329.74,1775021501.079259,1775021501.409596
sess-0013-53109170,react,SUCCESS,1,500,1.0,1.0,157.87,1775021501.434279,1775021501.592385
sess-0017-4937d21b,react,SUCCESS,1,500,1.0,1.0,92.49,1775021501.505248,1775021501.597980
sess-0007-04facc78,react,SUCCESS,2,500,6.0,6.0,1800.47,1775021499.811943,1775021501.612681
sess-0019-43e97192,react,SUCCESS,1,500,1.0,1.0,171.64,1775021501.594907,1775021501.766679
sess-0010-a4870caa,react,SUCCESS,4,500,8.0,8.0,831.77,1775021501.077191,1775021501.909516
sess-0018-cae8dea5,react,SUCCESS,1,500,5.0,5.0,1000.90,1775021501.556212,1775021502.557268
sess-0003-f96273c7,react,SUCCESS,3,500,11.0,11.0,3048.35,1775021499.721308,1775021502.770029
sess-0014-ca09aa91,react,SUCCESS,5,500,9.0,9.0,1687.06,1775021501.450754,1775021503.138442
sess-0021-1715ff46,react,SUCCESS,2,500,6.0,6.0,1582.10,1775021501.683541,1775021503.265932
sess-0006-0e4e2092,react,SUCCESS,4,500,12.0,12.0,3761.73,1775021499.807360,1775021503.569686
sess-0009-e9f34e3a,react,SUCCESS,4,500,12.0,12.0,2997.69,1775021500.994471,1775021503.992726
sess-0020-dcf7fe2f,react,SUCCESS,3,500,7.0,7.0,2462.37,1775021501.619081,1775021504.081932
sess-0008-df7919c6,react,SUCCESS,6,500,14.0,14.0,3266.49,1775021500.932034,1775021504.199365
sess-0016-05cdec47,react,SUCCESS,5,500,9.0,9.0,2899.41,1775021501.479847,1775021504.379854
