gateway,run_idx,sweep_key,sweep_val,success,rejected_s0,cascade_failed,raw_goodput,effective_goodput,raw_goodput_s,effective_goodput_s,p50_ms,p95_ms,p99_ms,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms,csv,error
plangate_full,1,price_ttl,0.1,101,399,0,733.0,733.0,58.41,58.41,6.8,809.3,829.4,827.0,1955.0,3591.4,plangate_full_price_ttl0.1_run1.csv,
plangate_full,2,price_ttl,0.1,106,394,0,826.0,826.0,63.38,63.38,6.4,813.7,1114.6,976.6,3406.1,3744.1,plangate_full_price_ttl0.1_run2.csv,
plangate_full,3,price_ttl,0.1,96,404,0,680.0,680.0,63.9,63.9,6.2,809.0,867.0,827.1,2159.6,3645.8,plangate_full_price_ttl0.1_run3.csv,
plangate_full,4,price_ttl,0.1,98,402,0,693.0,693.0,62.96,62.96,5.4,809.0,835.0,825.2,2430.2,3649.2,plangate_full_price_ttl0.1_run4.csv,
plangate_full,5,price_ttl,0.1,100,400,0,708.0,708.0,65.86,65.86,5.9,808.7,839.4,822.8,2249.5,3645.7,plangate_full_price_ttl0.1_run5.csv,
plangate_full,1,price_ttl,0.2,99,401,0,717.0,717.0,58.65,58.65,5.7,809.6,841.9,798.4,2491.9,3653.4,plangate_full_price_ttl0.2_run1.csv,
plangate_full,2,price_ttl,0.2,96,404,0,677.0,677.0,62.74,62.74,6.6,809.9,883.6,805.7,2159.4,3651.7,plangate_full_price_ttl0.2_run2.csv,
plangate_full,3,price_ttl,0.2,94,406,0,671.0,671.0,62.66,62.66,5.5,809.7,870.0,834.6,2261.7,3637.8,plangate_full_price_ttl0.2_run3.csv,
plangate_full,4,price_ttl,0.2,93,407,0,722.0,722.0,56.57,56.57,5.3,809.1,890.2,893.8,2399.5,3743.6,plangate_full_price_ttl0.2_run4.csv,
plangate_full,5,price_ttl,0.2,99,401,0,717.0,717.0,58.85,58.85,5.7,808.6,882.3,791.8,2484.4,3643.4,plangate_full_price_ttl0.2_run5.csv,
plangate_full,1,price_ttl,0.5,100,400,0,686.0,686.0,61.74,61.74,6.3,808.9,886.5,651.6,2239.3,3744.2,plangate_full_price_ttl0.5_run1.csv,
plangate_full,2,price_ttl,0.5,110,390,0,862.0,862.0,64.78,64.78,7.6,817.9,1049.3,949.4,3594.1,3659.1,plangate_full_price_ttl0.5_run2.csv,
plangate_full,3,price_ttl,0.5,100,400,0,725.0,725.0,60.98,60.98,7.4,809.4,884.4,691.9,2163.3,3722.9,plangate_full_price_ttl0.5_run3.csv,
plangate_full,4,price_ttl,0.5,100,400,0,687.0,687.0,62.27,62.27,6.9,808.3,817.0,645.8,2163.5,3658.6,plangate_full_price_ttl0.5_run4.csv,
plangate_full,5,price_ttl,0.5,103,397,0,740.0,740.0,62.29,62.29,7.6,809.7,885.7,657.4,2125.2,3668.4,plangate_full_price_ttl0.5_run5.csv,
plangate_full,1,price_ttl,1.0,84,416,0,543.0,543.0,46.22,46.22,4.0,808.2,817.4,523.6,2118.0,3644.7,plangate_full_price_ttl1.0_run1.csv,
plangate_full,2,price_ttl,1.0,84,416,0,561.0,561.0,44.24,44.24,3.7,808.4,887.0,532.9,2427.9,3718.4,plangate_full_price_ttl1.0_run2.csv,
plangate_full,3,price_ttl,1.0,88,412,0,540.0,540.0,44.24,44.24,3.9,806.6,813.4,495.4,2158.8,3618.0,plangate_full_price_ttl1.0_run3.csv,
plangate_full,4,price_ttl,1.0,86,414,0,525.0,525.0,42.94,42.94,3.7,808.5,825.6,501.5,2161.7,3653.2,plangate_full_price_ttl1.0_run4.csv,
plangate_full,5,price_ttl,1.0,98,401,1,747.0,741.0,60.05,59.57,6.5,852.8,1263.7,1013.2,3642.3,5336.8,plangate_full_price_ttl1.0_run5.csv,
plangate_full,1,price_ttl,2.0,86,414,0,516.0,516.0,46.85,46.85,3.7,400.6,825.1,492.7,1970.5,3655.0,plangate_full_price_ttl2.0_run1.csv,
plangate_full,2,price_ttl,2.0,90,410,0,549.0,549.0,49.3,49.3,5.1,303.5,820.2,495.0,1979.1,3647.8,plangate_full_price_ttl2.0_run2.csv,
plangate_full,3,price_ttl,2.0,84,416,0,508.0,508.0,46.01,46.01,4.2,355.4,817.5,496.8,1972.3,3656.6,plangate_full_price_ttl2.0_run3.csv,
plangate_full,4,price_ttl,2.0,86,414,0,520.0,520.0,46.81,46.81,4.2,309.4,830.2,496.8,1954.7,3656.5,plangate_full_price_ttl2.0_run4.csv,
plangate_full,5,price_ttl,2.0,83,417,0,515.0,515.0,46.75,46.75,3.8,807.0,822.4,492.3,2159.0,3645.5,plangate_full_price_ttl2.0_run5.csv,
