session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0012-e3939d71,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,4.57,1774790367.252455,1774790367.257249
sess-0013-b847179c,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,3.94,1774790367.288969,1774790367.293121
sess-0015-66da800d,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,4.57,1774790367.299099,1774790367.303959
sess-0016-8f242d8e,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.67,1774790367.304158,1774790367.307032
sess-0017-6cc0f7dd,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.89,1774790367.312555,1774790367.315721
sess-0018-923c9690,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,4.22,1774790367.328325,1774790367.332732
sess-0019-bb9979d5,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.37,1774790367.340689,1774790367.343250
sess-0020-f72f75be,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,3.15,1774790367.348864,1774790367.352268
sess-0021-5a49d42c,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.50,1774790367.369009,1774790367.372775
sess-0022-3fa61adf,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.19,1774790367.373037,1774790367.376386
sess-0023-cbd3d348,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.49,1774790367.380903,1774790367.384572
sess-0024-91c65f18,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.53,1774790367.390889,1774790367.392485
sess-0026-907836f4,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,4.08,1774790367.435783,1774790367.440046
sess-0027-e8c0f466,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.74,1774790367.441607,1774790367.444593
sess-0028-b6722ea5,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,3.09,1774790367.457215,1774790367.460490
sess-0029-73d0a7d4,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.07,1774790367.476163,1774790367.479603
sess-0030-80996998,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,5.28,1774790367.477706,1774790367.483197
sess-0031-f4e2577f,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.06,1774790367.497260,1774790367.500655
sess-0033-4e68a698,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.95,1774790367.504665,1774790367.507841
sess-0034-3a76992f,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.36,1774790367.565705,1774790367.569307
sess-0035-e12cf402,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.67,1774790367.634273,1774790367.638205
sess-0036-48ad2b8a,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.84,1774790367.668125,1774790367.672214
sess-0037-e605e861,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,4.46,1774790367.676727,1774790367.681548
sess-0038-c28abebd,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,4.85,1774790367.679738,1774790367.684872
sess-0039-7356f950,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.35,1774790367.703359,1774790367.705847
