session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0000-b7fa2764,plan_and_solve,SUCCESS,3,500,7.0,7.0,820.04,1774597234.492672,1774597235.312708
sess-0014-32c0343f,plan_and_solve,SUCCESS,3,500,3.0,3.0,174.90,1774597235.560991,1774597235.735989
sess-0003-c8d46645,plan_and_solve,SUCCESS,3,500,7.0,7.0,971.13,1774597234.840361,1774597235.811493
sess-0008-115e7cb7,plan_and_solve,SUCCESS,3,500,7.0,7.0,1122.81,1774597235.053694,1774597236.176500
sess-0001-9400e8fe,plan_and_solve,SUCCESS,3,500,11.0,11.0,1771.78,1774597234.532746,1774597236.304651
sess-0010-1b271e91,plan_and_solve,SUCCESS,5,500,9.0,9.0,1146.97,1774597235.206833,1774597236.354331
sess-0025-c48bc471,plan_and_solve,SUCCESS,4,500,4.0,4.0,21.03,1774597236.354331,1774597236.375357
sess-0004-a2b69924,plan_and_solve,SUCCESS,7,500,11.0,11.0,1528.72,1774597234.901415,1774597236.431736
sess-0016-86c0f2c0,plan_and_solve,SUCCESS,5,500,9.0,9.0,1267.56,1774597235.564893,1774597236.832453
sess-0012-7098e8ac,plan_and_solve,SUCCESS,6,500,10.0,10.0,1547.36,1774597235.443986,1774597236.991877
sess-0005-e1d9346e,plan_and_solve,SUCCESS,5,500,13.0,13.0,2508.74,1774597234.903566,1774597237.412356
sess-0007-b72943cc,plan_and_solve,SUCCESS,6,500,14.0,14.0,2727.84,1774597234.907803,1774597237.637162
sess-0015-0f687f9f,plan_and_solve,SUCCESS,7,500,11.0,11.0,2076.15,1774597235.562693,1774597237.638843
sess-0031-f657517b,plan_and_solve,SUCCESS,5,500,5.0,5.0,327.02,1774597237.637162,1774597237.964180
sess-0032-81b6e461,plan_and_solve,SUCCESS,4,500,4.0,4.0,477.87,1774597237.638843,1774597238.116714
sess-0009-df0ae4b6,plan_and_solve,SUCCESS,6,500,14.0,14.0,3098.45,1774597235.115104,1774597238.213558
sess-0011-d6f4efd0,plan_and_solve,SUCCESS,7,500,15.0,15.0,3058.84,1774597235.209444,1774597238.269805
sess-0013-36dd36a9,plan_and_solve,SUCCESS,4,500,12.0,12.0,2994.46,1774597235.554936,1774597238.549410
sess-0026-b3e2322b,plan_and_solve,SUCCESS,7,500,11.0,11.0,2287.57,1774597236.375357,1774597238.663504
sess-0035-6a5bba29,plan_and_solve,SUCCESS,7,500,7.0,7.0,789.28,1774597238.213558,1774597239.002842
sess-0028-83003f79,plan_and_solve,SUCCESS,4,500,8.0,8.0,2392.48,1774597236.832453,1774597239.225443
sess-0019-eb8335a4,plan_and_solve,SUCCESS,7,500,15.0,15.0,3579.62,1774597235.665983,1774597239.245652
sess-0038-8a70f8a7,plan_and_solve,SUCCESS,7,500,7.0,7.0,637.29,1774597238.663504,1774597239.301425
sess-0021-7fdc8c2a,plan_and_solve,SUCCESS,7,500,15.0,15.0,3767.43,1774597235.735989,1774597239.504040
sess-0030-4cc9c5ca,plan_and_solve,SUCCESS,6,500,10.0,10.0,2131.02,1774597237.412356,1774597239.543374
sess-0043-26749149,plan_and_solve,SUCCESS,3,500,3.0,3.0,162.46,1774597239.504040,1774597239.666504
sess-0020-f10f6d81,plan_and_solve,SUCCESS,4,500,12.0,12.0,4054.61,1774597235.668810,1774597239.723701
sess-0023-4e594667,plan_and_solve,SUCCESS,5,500,13.0,13.0,3638.73,1774597236.176500,1774597239.815232
sess-0027-9fdfb35f,plan_and_solve,SUCCESS,4,500,12.0,12.0,3435.20,1774597236.431736,1774597239.866933
sess-0034-869c6874,plan_and_solve,SUCCESS,7,500,11.0,11.0,2043.65,1774597238.116714,1774597240.161359
sess-0024-a9bd62dd,plan_and_solve,SUCCESS,5,500,13.0,13.0,3960.71,1774597236.305201,1774597240.265910
sess-0036-b22e82db,plan_and_solve,SUCCESS,6,500,10.0,10.0,2247.64,1774597238.269805,1774597240.517959
sess-0002-b9277af7,plan_and_solve,SUCCESS,7,500,23.0,23.0,5775.95,1774597234.747592,1774597240.523668
sess-0017-99e5d0fb,plan_and_solve,SUCCESS,7,500,19.0,19.0,5091.91,1774597235.576463,1774597240.668376
sess-0041-0f7fc30b,plan_and_solve,SUCCESS,3,500,7.0,7.0,1665.51,1774597239.245652,1774597240.911162
sess-0042-d5af2136,plan_and_solve,SUCCESS,4,500,8.0,8.0,1811.81,1774597239.301425,1774597241.113748
sess-0006-0e90c0ba,plan_and_solve,SUCCESS,7,500,23.0,23.0,6412.07,1774597234.905547,1774597241.318563
sess-0018-b8bf84c5,plan_and_solve,SUCCESS,7,500,19.0,19.0,5690.69,1774597235.634876,1774597241.325564
sess-0022-155da921,plan_and_solve,SUCCESS,7,500,19.0,19.0,5609.90,1774597235.811493,1774597241.422390
sess-0033-2b042702,plan_and_solve,SUCCESS,5,500,13.0,13.0,3505.16,1774597237.964180,1774597241.469902
sess-0045-2b90da19,plan_and_solve,SUCCESS,3,500,7.0,7.0,2051.75,1774597239.666504,1774597241.718259
sess-0059-275a73fe,plan_and_solve,SUCCESS,4,500,4.0,4.0,474.29,1774597241.469902,1774597241.944727
sess-0049-542192a7,plan_and_solve,SUCCESS,4,500,8.0,8.0,1966.77,1774597240.161359,1774597242.128751
sess-0046-0a7e3bfa,plan_and_solve,SUCCESS,5,500,9.0,9.0,2549.85,1774597239.723851,1774597242.273755
sess-0029-2ea88cc9,plan_and_solve,SUCCESS,7,500,19.0,19.0,5384.99,1774597236.992876,1774597242.379381
