session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0000-7190f653,plan_and_solve,SUCCESS,3,500,7.0,7.0,818.97,1774573422.939009,1774573423.759187
sess-0014-43fea424,plan_and_solve,SUCCESS,3,500,3.0,3.0,169.96,1774573424.082519,1774573424.252476
sess-0003-1b84c28a,plan_and_solve,SUCCESS,3,500,7.0,7.0,970.97,1774573423.309631,1774573424.280600
sess-0008-95b3ae0b,plan_and_solve,SUCCESS,3,500,7.0,7.0,1121.21,1774573423.541599,1774573424.663354
sess-0001-f365af15,plan_and_solve,SUCCESS,3,500,11.0,11.0,1773.99,1774573422.987725,1774573424.761710
sess-0010-68cb6f3a,plan_and_solve,SUCCESS,5,500,9.0,9.0,1117.21,1774573423.695273,1774573424.813029
sess-0025-3dbc55ec,plan_and_solve,SUCCESS,4,500,4.0,4.0,25.40,1774573424.813029,1774573424.839523
sess-0004-099e2555,plan_and_solve,SUCCESS,7,500,11.0,11.0,1490.64,1774573423.387127,1774573424.877869
sess-0012-55107ea4,plan_and_solve,SUCCESS,6,500,10.0,10.0,1552.20,1774573423.928192,1774573425.481493
sess-0016-edc39b74,plan_and_solve,SUCCESS,5,500,9.0,9.0,1436.02,1774573424.086388,1774573425.522921
sess-0005-70f27ec9,plan_and_solve,SUCCESS,5,500,13.0,13.0,2417.52,1774573423.389380,1774573425.806897
sess-0007-166c293d,plan_and_solve,SUCCESS,6,500,14.0,14.0,2735.29,1774573423.393342,1774573426.130222
sess-0015-0d27a133,plan_and_solve,SUCCESS,7,500,11.0,11.0,2123.71,1774573424.084213,1774573426.209095
sess-0031-9915a342,plan_and_solve,SUCCESS,5,500,5.0,5.0,324.17,1774573426.130222,1774573426.456996
sess-0009-47530eed,plan_and_solve,SUCCESS,6,500,14.0,14.0,3080.74,1774573423.603240,1774573426.684552
sess-0032-43281a38,plan_and_solve,SUCCESS,4,500,4.0,4.0,477.01,1774573426.209095,1774573426.686105
sess-0011-86eeebe0,plan_and_solve,SUCCESS,7,500,15.0,15.0,3062.39,1774573423.696874,1774573426.760299
sess-0013-fc28dcf2,plan_and_solve,SUCCESS,4,500,12.0,12.0,2954.16,1774573424.052009,1774573427.006172
sess-0026-edff45ce,plan_and_solve,SUCCESS,7,500,11.0,11.0,2270.47,1774573424.839523,1774573427.109998
sess-0035-6418ed70,plan_and_solve,SUCCESS,7,500,7.0,7.0,791.11,1774573426.686105,1774573427.478813
sess-0038-e18a0903,plan_and_solve,SUCCESS,7,500,7.0,7.0,638.24,1774573427.109998,1774573427.749267
sess-0019-6f469d82,plan_and_solve,SUCCESS,7,500,15.0,15.0,3613.07,1774573424.199851,1774573427.813541
sess-0028-559dc7ad,plan_and_solve,SUCCESS,4,500,8.0,8.0,2393.00,1774573425.481493,1774573427.875052
sess-0030-137b788e,plan_and_solve,SUCCESS,6,500,10.0,10.0,2224.72,1774573425.806897,1774573428.032788
sess-0043-b0ed187c,plan_and_solve,SUCCESS,3,500,3.0,3.0,167.42,1774573428.032788,1774573428.200210
sess-0023-881cde27,plan_and_solve,SUCCESS,5,500,13.0,13.0,3547.07,1774573424.663354,1774573428.210424
sess-0020-042fc2f3,plan_and_solve,SUCCESS,4,500,12.0,12.0,4012.50,1774573424.202815,1774573428.215930
sess-0027-31b3ba16,plan_and_solve,SUCCESS,4,500,12.0,12.0,3477.84,1774573424.877869,1774573428.356273
sess-0021-299e29bf,plan_and_solve,SUCCESS,7,500,15.0,15.0,4080.60,1774573424.280600,1774573428.363034
sess-0034-b2f94387,plan_and_solve,SUCCESS,7,500,11.0,11.0,1936.25,1774573426.684552,1774573428.621985
sess-0024-f001e85e,plan_and_solve,SUCCESS,5,500,13.0,13.0,3953.47,1774573424.761710,1774573428.715706
sess-0036-d7f9c157,plan_and_solve,SUCCESS,6,500,10.0,10.0,2243.99,1774573426.760299,1774573429.006489
sess-0002-e3f969e1,plan_and_solve,SUCCESS,7,500,23.0,23.0,5807.69,1774573423.202853,1774573429.011123
sess-0017-01e3aa08,plan_and_solve,SUCCESS,7,500,19.0,19.0,5063.43,1774573424.092678,1774573429.157208
sess-0022-de23aa81,plan_and_solve,SUCCESS,7,500,19.0,19.0,5084.28,1774573424.281168,1774573429.366020
sess-0041-86288fe6,plan_and_solve,SUCCESS,3,500,7.0,7.0,1596.79,1774573427.813608,1774573429.410396
sess-0042-83e0347f,plan_and_solve,SUCCESS,4,500,8.0,8.0,1914.67,1774573427.875052,1774573429.789723
sess-0006-67097828,plan_and_solve,SUCCESS,7,500,23.0,23.0,6416.14,1774573423.391433,1774573429.808727
sess-0018-7d54826b,plan_and_solve,SUCCESS,7,500,19.0,19.0,5660.56,1774573424.159057,1774573429.820190
sess-0033-79fc758c,plan_and_solve,SUCCESS,5,500,13.0,13.0,3500.65,1774573426.456996,1774573429.958158
sess-0045-47d9fe01,plan_and_solve,SUCCESS,3,500,7.0,7.0,2005.00,1774573428.210424,1774573430.216490
sess-0059-1e4a35ae,plan_and_solve,SUCCESS,4,500,4.0,4.0,474.24,1774573429.958158,1774573430.432489
sess-0049-f0476516,plan_and_solve,SUCCESS,4,500,8.0,8.0,1995.33,1774573428.621985,1774573430.617860
sess-0046-739aa133,plan_and_solve,SUCCESS,5,500,9.0,9.0,2519.06,1774573428.215930,1774573430.736074
sess-0029-b7466a06,plan_and_solve,SUCCESS,7,500,19.0,19.0,5335.14,1774573425.522921,1774573430.859695
sess-0064-60b3644a,plan_and_solve,SUCCESS,4,500,4.0,4.0,323.33,1774573430.859695,1774573431.183590
sess-0063-e7416b76,plan_and_solve,SUCCESS,7,500,7.0,7.0,495.39,1774573430.736174,1774573431.231784
sess-0054-5181336d,plan_and_solve,SUCCESS,6,500,10.0,10.0,2060.63,1774573429.366061,1774573431.426692
sess-0040-793cdd2a,plan_and_solve,SUCCESS,5,500,13.0,13.0,3973.17,1774573427.749267,1774573431.724005
sess-0044-f1746c21,plan_and_solve,SUCCESS,6,500,14.0,14.0,3782.72,1774573428.200210,1774573431.983496
sess-0057-0622f8c2,plan_and_solve,SUCCESS,3,500,7.0,7.0,2266.42,1774573429.808727,1774573432.075143
sess-0058-02d6da62,plan_and_solve,SUCCESS,6,500,10.0,10.0,2359.30,1774573429.820190,1774573432.180058
sess-0048-20ba18c1,plan_and_solve,SUCCESS,6,500,14.0,14.0,3853.13,1774573428.363034,1774573432.216273
