session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0025-7c416c49,plan_and_solve,SUCCESS,4,500,4.0,4.0,25.09,1774602503.354442,1774602503.379584
sess-0014-09c1165c,plan_and_solve,SUCCESS,3,500,3.0,3.0,173.10,1774602503.303454,1774602503.477609
sess-0031-890d70f8,plan_and_solve,SUCCESS,5,500,5.0,5.0,329.72,1774602503.407896,1774602503.737621
sess-0043-5de74e1c,plan_and_solve,SUCCESS,3,500,3.0,3.0,164.98,1774602503.586914,1774602503.752403
sess-0032-7b7b1381,plan_and_solve,SUCCESS,4,500,4.0,4.0,471.67,1774602503.408439,1774602503.881156
sess-0038-f985f3b6,plan_and_solve,SUCCESS,7,500,7.0,7.0,633.33,1774602503.573123,1774602504.206960
sess-0070-3a2f3743,plan_and_solve,SUCCESS,3,500,3.0,3.0,172.08,1774602504.107692,1774602504.280365
sess-0064-d0476911,plan_and_solve,SUCCESS,4,500,4.0,4.0,321.58,1774602503.983424,1774602504.305004
sess-0035-f249a0d0,plan_and_solve,SUCCESS,7,500,7.0,7.0,785.84,1774602503.531820,1774602504.318192
sess-0059-d0cc77c5,plan_and_solve,SUCCESS,4,500,4.0,4.0,479.59,1774602503.947118,1774602504.428083
sess-0086-7676b939,plan_and_solve,SUCCESS,3,500,3.0,3.0,162.87,1774602504.289055,1774602504.452495
sess-0063-1bf65f40,plan_and_solve,SUCCESS,7,500,7.0,7.0,492.65,1774602503.982285,1774602504.475001
sess-0089-58afe88a,plan_and_solve,SUCCESS,3,500,3.0,3.0,175.38,1774602504.348622,1774602504.524594
sess-0108-f8dd4aae,plan_and_solve,SUCCESS,3,500,3.0,3.0,31.96,1774602504.509457,1774602504.541417
sess-0069-836422b1,plan_and_solve,SUCCESS,7,500,7.0,7.0,506.91,1774602504.035718,1774602504.542628
sess-0103-35119939,plan_and_solve,SUCCESS,5,500,5.0,5.0,173.05,1774602504.428676,1774602504.602233
sess-0080-cf167f48,plan_and_solve,SUCCESS,5,500,5.0,5.0,487.38,1774602504.209704,1774602504.697089
sess-0077-0bcde107,plan_and_solve,SUCCESS,5,500,5.0,5.0,492.83,1774602504.207504,1774602504.700896
sess-0111-5635d06a,plan_and_solve,SUCCESS,4,500,4.0,4.0,196.44,1774602504.520312,1774602504.716755
sess-0090-11253af7,plan_and_solve,SUCCESS,3,500,3.0,3.0,471.42,1774602504.349709,1774602504.821657
sess-0000-a882abfa,plan_and_solve,CASCADE_FAILED,3,500,1.0,0.0,2003.96,1774602502.988865,1774602504.992821
sess-0001-d6ec63e6,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,2002.90,1774602502.989968,1774602504.993380
sess-0110-5de2b500,plan_and_solve,SUCCESS,4,500,4.0,4.0,483.58,1774602504.514377,1774602504.998511
sess-0002-bcc1b6e2,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1974.16,1774602503.057380,1774602505.031545
sess-0006-48b7ea3b,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1997.55,1774602503.090338,1774602505.087893
sess-0005-0668659f,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1998.74,1774602503.089153,1774602505.087893
sess-0007-34e3c02c,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1997.23,1774602503.091182,1774602505.088442
sess-0008-c3e7eb15,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,2007.54,1774602503.147686,1774602505.155225
sess-0003-7117ac1d,plan_and_solve,CASCADE_FAILED,3,500,2.0,0.0,2179.62,1774602503.060132,1774602505.240329
sess-0012-29c220af,plan_and_solve,CASCADE_FAILED,6,500,1.0,0.0,1989.28,1774602503.251050,1774602505.240329
sess-0004-04d09354,plan_and_solve,CASCADE_FAILED,7,500,2.0,0.0,2152.37,1774602503.087961,1774602505.240329
sess-0013-367edf49,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1983.85,1774602503.301287,1774602505.285142
sess-0017-e3092767,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1998.47,1774602503.311041,1774602505.309513
sess-0016-bc5d39d8,plan_and_solve,CASCADE_FAILED,5,500,1.0,0.0,2001.83,1774602503.308186,1774602505.310084
sess-0019-7f152a08,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1993.28,1774602503.316825,1774602505.310102
sess-0022-9fbe33e5,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1997.97,1774602503.348997,1774602505.346962
sess-0024-3ca48ce7,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1994.34,1774602503.352555,1774602505.346962
sess-0010-1fc88746,plan_and_solve,CASCADE_FAILED,5,500,4.0,0.0,2187.62,1774602503.190068,1774602505.378201
sess-0028-f0e405dc,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2017.41,1774602503.360790,1774602505.378201
sess-0021-d1facf5e,plan_and_solve,CASCADE_FAILED,7,500,1.0,0.0,2031.56,1774602503.347212,1774602505.378772
sess-0027-e4571de2,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2019.19,1774602503.359586,1774602505.378772
sess-0030-281c247b,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2005.90,1774602503.372870,1774602505.378772
sess-0029-c67a0127,plan_and_solve,CASCADE_FAILED,7,500,1.0,0.0,2006.48,1774602503.372870,1774602505.379345
sess-0128-73fbdd2e,plan_and_solve,SUCCESS,4,500,4.0,4.0,204.68,1774602505.241074,1774602505.445843
sess-0015-740c423a,plan_and_solve,CASCADE_FAILED,7,500,2.0,0.0,2144.38,1774602503.305562,1774602505.450937
sess-0020-cdf69c56,plan_and_solve,CASCADE_FAILED,4,500,1.0,0.0,2131.43,1774602503.319533,1774602505.451494
sess-0018-3b8b4bbf,plan_and_solve,CASCADE_FAILED,7,500,1.0,0.0,2137.61,1774602503.313354,1774602505.451494
sess-0131-3be79997,plan_and_solve,SUCCESS,7,500,7.0,7.0,177.02,1774602505.285199,1774602505.462222
sess-0127-9ccf3dca,plan_and_solve,SUCCESS,6,500,6.0,6.0,329.19,1774602505.155453,1774602505.485258
sess-0023-139e9460,plan_and_solve,CASCADE_FAILED,5,500,2.0,0.0,2180.49,1774602503.350810,1774602505.532302
sess-0011-73269f61,plan_and_solve,CASCADE_FAILED,7,500,3.0,0.0,2340.01,1774602503.191709,1774602505.532302
sess-0009-4d1967d1,plan_and_solve,CASCADE_FAILED,6,500,4.0,0.0,2353.11,1774602503.178649,1774602505.532302
sess-0026-2d1a88d4,plan_and_solve,CASCADE_FAILED,7,500,5.0,0.0,2173.97,1774602503.357819,1774602505.532302
sess-0033-bd47df34,plan_and_solve,CASCADE_FAILED,5,500,1.0,0.0,2150.60,1774602503.409509,1774602505.560635
sess-0037-c58c340b,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1990.22,1774602503.570398,1774602505.560635
sess-0042-df3433f7,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1990.80,1774602503.584831,1774602505.575634
sess-0041-7f6567b1,plan_and_solve,CASCADE_FAILED,3,500,2.0,0.0,1992.93,1774602503.583188,1774602505.576167
sess-0039-348365c3,plan_and_solve,CASCADE_FAILED,6,500,2.0,0.0,1999.76,1774602503.576373,1774602505.576167
sess-0149-d40ecbb6,plan_and_solve,SUCCESS,5,500,5.0,5.0,51.17,1774602505.533296,1774602505.584468
sess-0124-9641cd28,plan_and_solve,SUCCESS,5,500,5.0,5.0,510.37,1774602505.088442,1774602505.599423
sess-0034-9395e591,plan_and_solve,CASCADE_FAILED,7,500,4.0,0.0,2182.80,1774602503.472325,1774602505.655129
sess-0044-de8dc13d,plan_and_solve,CASCADE_FAILED,6,500,1.0,0.0,2018.37,1774602503.637291,1774602505.655665
sess-0047-e06a3526,plan_and_solve,CASCADE_FAILED,4,500,1.0,0.0,1985.62,1774602503.670049,1774602505.655665
sess-0040-c60a59a4,plan_and_solve,CASCADE_FAILED,5,500,1.0,0.0,2151.52,1774602503.579866,1774602505.731894
sess-0052-bb51571c,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1994.10,1774602503.788140,1774602505.783241
sess-0045-94187bbc,plan_and_solve,CASCADE_FAILED,3,500,1.0,0.0,2144.76,1774602503.638377,1774602505.783241
sess-0143-bfe091ff,plan_and_solve,SUCCESS,6,500,6.0,6.0,341.33,1774602505.445843,1774602505.787242
sess-0053-49f82ed8,plan_and_solve,CASCADE_FAILED,3,500,1.0,0.0,1999.84,1774602503.826921,1774602505.826759
sess-0135-5b0fc79e,plan_and_solve,SUCCESS,5,500,5.0,5.0,489.80,1774602505.346962,1774602505.836759
sess-0049-d50aed5c,plan_and_solve,CASCADE_FAILED,4,500,2.0,0.0,2176.50,1774602503.693084,1774602505.870281
sess-0169-1ce08c8c,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.52,1774602505.870815,1774602505.873332
sess-0170-e818bb15,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.00,1774602505.873332,1774602505.875331
sess-0171-e3e6b505,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1.00,1774602505.875331,1774602505.876332
sess-0172-b6064ae3,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.00,1774602505.876332,1774602505.877331
sess-0150-e87a2723,plan_and_solve,SUCCESS,4,500,4.0,4.0,343.50,1774602505.534299,1774602505.878331
sess-0173-a0a1de21,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.00,1774602505.877331,1774602505.880332
sess-0174-9c26f20c,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.00,1774602505.879331,1774602505.881332
sess-0175-c0147f91,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.00,1774602505.880332,1774602505.882331
sess-0176-a91f2f70,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.00,1774602505.881332,1774602505.883331
sess-0177-af5e72d4,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,2.00,1774602505.882331,1774602505.885331
sess-0178-d7c113ab,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,2.00,1774602505.883331,1774602505.886331
sess-0179-8a912108,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,2.00,1774602505.885331,1774602505.887332
sess-0180-ab69fc4b,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,2.00,1774602505.886331,1774602505.888331
sess-0181-b462bf8c,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,2.00,1774602505.887332,1774602505.889332
sess-0182-bf14fe62,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.00,1774602505.888331,1774602505.890330
sess-0183-5e4ac9e5,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.00,1774602505.889332,1774602505.891330
