session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0050-8dc6eeab,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,4.36,1774674322.057520,1774674322.061883
sess-0051-5c185e5c,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.76,1774674322.129600,1774674322.131943
sess-0052-3a3b002a,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.85,1774674322.163066,1774674322.164915
sess-0053-46deee52,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1.09,1774674322.200320,1774674322.201408
sess-0054-eb854592,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.06,1774674322.235258,1774674322.236382
sess-0055-6e4fc78c,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.63,1774674322.270740,1774674322.272400
sess-0003-711383cc,plan_and_solve,SUCCESS,3,500,7.0,7.0,970.47,1774674321.351476,1774674322.322501
sess-0057-9122aa22,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,5.12,1774674322.323803,1774674322.328924
sess-0058-ee7d4f3d,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,8.29,1774674322.324899,1774674322.333186
sess-0060-7eaf546b,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.60,1774674322.330154,1774674322.333751
sess-0059-130acfe1,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,8.34,1774674322.326545,1774674322.334887
sess-0062-dbfd4d68,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.67,1774674322.334325,1774674322.335999
sess-0061-4a3b1ae0,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,4.73,1774674322.331833,1774674322.336560
sess-0063-96e83492,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.28,1774674322.378469,1774674322.381751
sess-0064-493b98af,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.71,1774674322.379586,1774674322.382291
sess-0065-42a6688c,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.61,1774674322.380670,1774674322.382825
sess-0066-2dee749d,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,3.31,1774674322.409020,1774674322.412853
sess-0067-8b744d5f,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.09,1774674322.411233,1774674322.412853
sess-0068-24c3f6a6,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.59,1774674322.455636,1774674322.458227
sess-0069-137dcf55,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.13,1774674322.456636,1774674322.458766
sess-0070-9cea2008,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1.12,1774674322.548774,1774674322.550435
sess-0071-1aba04b1,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.93,1774674322.594761,1774674322.598244
sess-0072-07ea9b20,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.25,1774674322.595568,1774674322.598818
sess-0073-be900171,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.79,1774674322.597145,1774674322.599937
sess-0074-9d676a78,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.68,1774674322.639922,1774674322.642134
sess-0075-1cff4706,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.68,1774674322.686312,1774674322.687993
sess-0076-844eb03b,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.19,1774674322.716537,1774674322.718735
sess-0077-57585839,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.74,1774674322.762417,1774674322.765158
sess-0078-12fd3afa,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.72,1774674322.764028,1774674322.766750
sess-0079-77a6cb23,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.12,1774674322.765697,1774674322.768343
sess-0080-cca42ae4,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.10,1774674322.766750,1774674322.768380
sess-0034-53442b58,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1013.18,1774674321.781864,1774674322.795590
sess-0014-6a58d700,plan_and_solve,CASCADE_FAILED,3,500,1.0,0.0,1198.76,1774674321.598425,1774674322.797186
