session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0025-c6652d26,plan_and_solve,SUCCESS,4,500,4.0,4.0,13.40,1774602132.817796,1774602132.831254
sess-0014-ff25aa9e,plan_and_solve,SUCCESS,3,500,3.0,3.0,175.41,1774602132.790688,1774602132.966099
sess-0031-4a35eba8,plan_and_solve,SUCCESS,5,500,5.0,5.0,326.34,1774602132.893866,1774602133.220209
sess-0043-3020e49a,plan_and_solve,SUCCESS,3,500,3.0,3.0,168.61,1774602133.117259,1774602133.285923
sess-0032-a9a4222c,plan_and_solve,SUCCESS,4,500,4.0,4.0,474.35,1774602132.894889,1774602133.369831
sess-0038-a22628c8,plan_and_solve,SUCCESS,7,500,7.0,7.0,634.30,1774602133.064748,1774602133.700085
sess-0035-c16ce003,plan_and_solve,SUCCESS,7,500,7.0,7.0,797.52,1774602133.032295,1774602133.830462
sess-0070-d997a3b9,plan_and_solve,SUCCESS,3,500,3.0,3.0,176.90,1774602133.670646,1774602133.847549
sess-0064-b6d120fc,plan_and_solve,SUCCESS,4,500,4.0,4.0,322.46,1774602133.545096,1774602133.867591
sess-0059-70a6ae58,plan_and_solve,SUCCESS,4,500,4.0,4.0,489.75,1774602133.510188,1774602133.999935
sess-0086-8b3bb13f,plan_and_solve,SUCCESS,3,500,3.0,3.0,172.82,1774602133.836791,1774602134.009608
sess-0063-caf3a2c4,plan_and_solve,SUCCESS,7,500,7.0,7.0,479.24,1774602133.544002,1774602134.023238
sess-0089-affbe0d4,plan_and_solve,SUCCESS,3,500,3.0,3.0,166.05,1774602133.899786,1774602134.065833
sess-0069-186715e0,plan_and_solve,SUCCESS,7,500,7.0,7.0,505.28,1774602133.596266,1774602134.102597
sess-0108-81185f30,plan_and_solve,SUCCESS,3,500,3.0,3.0,29.25,1774602134.075509,1774602134.104759
sess-0095-150e5cf4,plan_and_solve,CASCADE_FAILED,5,500,1.0,0.0,158.21,1774602133.986801,1774602134.145538
sess-0113-8550a35e,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,0.55,1774602134.144990,1774602134.145538
sess-0096-1c6c0334,plan_and_solve,CASCADE_FAILED,6,500,1.0,0.0,158.21,1774602133.988955,1774602134.147161
sess-0100-37c61aa0,plan_and_solve,CASCADE_FAILED,6,500,1.0,0.0,163.85,1774602133.997760,1774602134.162683
sess-0098-11c77a8b,plan_and_solve,CASCADE_FAILED,6,500,2.0,0.0,169.84,1774602133.992846,1774602134.162683
sess-0102-107a906e,plan_and_solve,CASCADE_FAILED,7,500,1.0,0.0,153.64,1774602134.013938,1774602134.167574
sess-0104-2a51db64,plan_and_solve,CASCADE_FAILED,6,500,2.0,0.0,159.10,1774602134.015557,1774602134.175218
sess-0114-b3ca3741,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.06,1774602134.174668,1774602134.175763
sess-0103-34c473a1,plan_and_solve,CASCADE_FAILED,5,500,3.0,0.0,162.39,1774602134.014470,1774602134.176856
sess-0115-8ad2214a,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.14,1774602134.204931,1774602134.206598
sess-0090-7f1e7006,plan_and_solve,CASCADE_FAILED,3,500,2.0,0.0,313.60,1774602133.900336,1774602134.213937
sess-0105-70d1b865,plan_and_solve,CASCADE_FAILED,5,500,1.0,0.0,157.58,1774602134.066544,1774602134.224125
sess-0106-4cbe304d,plan_and_solve,CASCADE_FAILED,7,500,1.0,0.0,158.58,1774602134.067059,1774602134.225641
sess-0092-b67c8616,plan_and_solve,CASCADE_FAILED,7,500,4.0,0.0,325.14,1774602133.906196,1774602134.231332
sess-0116-bf113805,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.98,1774602134.231332,1774602134.233316
sess-0093-5a327a5e,plan_and_solve,CASCADE_FAILED,7,500,2.0,0.0,321.84,1774602133.919200,1774602134.241041
sess-0110-df9d45c6,plan_and_solve,CASCADE_FAILED,4,500,1.0,0.0,166.45,1774602134.081679,1774602134.248133
sess-0080-a5ded639,plan_and_solve,SUCCESS,5,500,5.0,5.0,488.54,1774602133.770844,1774602134.259411
sess-0077-1274cbff,plan_and_solve,SUCCESS,5,500,5.0,5.0,497.22,1774602133.765382,1774602134.263130
