session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0025-4f333011,plan_and_solve,SUCCESS,4,500,4.0,4.0,24.72,1774602792.176321,1774602792.202111
sess-0014-5e69cecd,plan_and_solve,SUCCESS,3,500,3.0,3.0,169.74,1774602792.138651,1774602792.308949
sess-0031-3c6c422c,plan_and_solve,SUCCESS,5,500,5.0,5.0,321.22,1774602792.228297,1774602792.550130
sess-0043-b616da08,plan_and_solve,SUCCESS,3,500,3.0,3.0,160.89,1774602792.427291,1774602792.589232
sess-0032-fd307058,plan_and_solve,SUCCESS,4,500,4.0,4.0,470.77,1774602792.229979,1774602792.700746
sess-0038-f1804496,plan_and_solve,SUCCESS,7,500,7.0,7.0,630.65,1774602792.416478,1774602793.047133
sess-0070-03b08688,plan_and_solve,SUCCESS,3,500,3.0,3.0,169.43,1774602792.937868,1774602793.108303
sess-0064-b5f9e85c,plan_and_solve,SUCCESS,4,500,4.0,4.0,315.27,1774602792.817495,1774602793.132957
sess-0083-ca9e763b,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.32,1774602793.144436,1774602793.147268
sess-0084-f2dcffb2,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.87,1774602793.145525,1774602793.148390
sess-0085-bb84e6d1,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,2.74,1774602793.146192,1774602793.148927
sess-0086-7ba43ac6,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1.66,1774602793.147257,1774602793.148927
sess-0035-e55dae30,plan_and_solve,SUCCESS,7,500,7.0,7.0,777.37,1774602792.382275,1774602793.159680
sess-0088-a4b44c32,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,0.53,1774602793.170663,1774602793.171196
sess-0089-8e603449,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1.62,1774602793.204117,1774602793.206282
sess-0090-e0f3b38e,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,2.20,1774602793.204679,1774602793.207402
sess-0091-b97d8e03,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1.87,1774602793.206282,1774602793.208156
sess-0092-baa60e0e,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.06,1774602793.239187,1774602793.240315
sess-0093-ca6a2ebb,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.19,1774602793.253761,1774602793.254964
sess-0059-59461711,plan_and_solve,SUCCESS,4,500,4.0,4.0,474.93,1774602792.782206,1774602793.257132
sess-0063-a017f0b3,plan_and_solve,SUCCESS,7,500,7.0,7.0,472.17,1774602792.817478,1774602793.290181
sess-0096-cd701e24,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,0.56,1774602793.290213,1774602793.291288
sess-0097-9fd843a2,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.07,1774602793.290751,1774602793.291826
