session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0025-4b9c457a,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.66,1774603061.534872,1774603061.537532
sess-0026-a3d32366,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.62,1774603061.576031,1774603061.577646
sess-0027-383c10cf,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.60,1774603061.576588,1774603061.578697
sess-0028-fac22288,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.62,1774603061.577113,1774603061.578732
sess-0029-e09664c1,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.08,1774603061.606773,1774603061.608361
sess-0030-5edf28b2,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.07,1774603061.607327,1774603061.608395
sess-0031-bf8c9b65,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.19,1774603061.637634,1774603061.640863
sess-0032-7d2b6b73,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.54,1774603061.638696,1774603061.641233
sess-0033-2d333cdd,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.98,1774603061.639783,1774603061.641766
sess-0014-967e33a4,plan_and_solve,SUCCESS,3,500,3.0,3.0,177.24,1774603061.501326,1774603061.678710
sess-0035-50474f47,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.15,1774603061.760811,1774603061.762961
sess-0036-75f11d75,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.28,1774603061.791343,1774603061.794623
sess-0037-9509ca4c,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.26,1774603061.792331,1774603061.795160
sess-0038-b4be51a8,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.64,1774603061.793514,1774603061.795706
sess-0039-4a1342ca,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.67,1774603061.795706,1774603061.798380
sess-0040-23704fb9,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.26,1774603061.796688,1774603061.798950
sess-0041-d2b0dd88,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,2.54,1774603061.797842,1774603061.800378
sess-0042-88a55b4a,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.95,1774603061.799479,1774603061.801434
sess-0043-91ed6e1a,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1.06,1774603061.800378,1774603061.801961
sess-0044-fd46a46d,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.64,1774603061.852376,1774603061.855017
sess-0045-0bdcd4d1,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1.05,1774603061.853437,1774603061.855017
sess-0046-67bc25b9,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.17,1774603061.860316,1774603061.862485
sess-0047-ea932a16,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.20,1774603061.861355,1774603061.863555
sess-0034-8765fefc,plan_and_solve,CASCADE_FAILED,7,500,4.0,0.0,179.85,1774603061.685287,1774603061.865132
sess-0049-d28198ff,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.45,1774603061.883533,1774603061.885987
sess-0050-77a7592a,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.65,1774603061.884894,1774603061.886541
sess-0051-f3eedfa7,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.84,1774603061.959226,1774603061.961062
sess-0052-9b3a3634,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.56,1774603062.004987,1774603062.007583
sess-0053-43035ea3,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,2.25,1774603062.066056,1774603062.068309
sess-0054-2736731e,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.07,1774603062.128765,1774603062.129838
sess-0055-b5a8336a,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,0.00,1774603062.158636,1774603062.159635
sess-0056-47758af2,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.00,1774603062.219382,1774603062.222382
sess-0057-411e6206,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,2.00,1774603062.220383,1774603062.222382
sess-0058-bae9e4c0,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.00,1774603062.221382,1774603062.224382
sess-0059-fd506787,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.00,1774603062.223382,1774603062.225383
sess-0060-8782c36d,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.00,1774603062.224382,1774603062.226382
sess-0061-6676eeff,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.00,1774603062.225383,1774603062.227383
sess-0062-403e1b65,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.00,1774603062.226382,1774603062.227383
sess-0063-6c97eff5,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.65,1774603062.265487,1774603062.267716
sess-0064-ab07fa00,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.12,1774603062.266594,1774603062.268247
sess-0065-61facd35,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,0.99,1774603062.268247,1774603062.269238
sess-0066-c65e5aa6,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.00,1774603062.297237,1774603062.298236
sess-0067-6bf41ef2,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.00,1774603062.297237,1774603062.298236
sess-0068-787df81a,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.00,1774603062.345237,1774603062.346237
sess-0069-50eee7b7,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.00,1774603062.345237,1774603062.346237
sess-0070-dd41009b,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,2.00,1774603062.436665,1774603062.438664
sess-0071-9019b9c6,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.12,1774603062.483686,1774603062.486809
sess-0072-aece4b44,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.64,1774603062.484805,1774603062.487449
